"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":21409}]","21409","instructions","0","21411","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2047},{""page_index"":1,""viewing_time"":8177},{""page_index"":2,""viewing_time"":2256},{""page_index"":3,""viewing_time"":2294},{""page_index"":4,""viewing_time"":225427}]","240201","instructions","1","261613","0.0-1.0","","","","","","","","","","","","",""
"","12349","survey-multi-choice","2","273968","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1688},{""page_index"":1,""viewing_time"":13989}]","15677","instructions","3","289645","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2766","same-different-html-trial","4","298422","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7986}]","7986","instructions","5","307409","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4970","same-different-html","6","314383","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4569}]","4570","instructions","7","319955","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3890","same-different-html","8","325849","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4104},{""page_index"":1,""viewing_time"":3369}]","7473","instructions","9","334325","0.0-3.0-6.0","","","","","","","","","","","","",""
"","4209","same-different-html-trial","10","344543","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5955}]","5955","instructions","11","351500","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4086","same-different-html","12","357590","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3513","same-different-html","13","364108","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2364},{""page_index"":1,""viewing_time"":17914}]","20279","instructions","14","385389","0.0-3.0-11.0","","","","","","","","","","","","",""
"","9216","same-different-html-trial","15","400612","0.0-3.0-12.0","","451-1","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","1"
"","6919","same-different-html-trial","16","414539","0.0-3.0-13.0","","451-1","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","2"
"","6630","same-different-html-trial","17","428177","0.0-3.0-14.0","","451-1","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","3"
"","6067","same-different-html-trial","18","441253","0.0-3.0-15.0","","451-1","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","4"
"","4113","same-different-html-trial","19","452373","0.0-3.0-16.0","","451-1","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","5"
"","21968","same-different-html-trial","20","481347","0.0-3.0-17.0","","451-1","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","6"
"","6187","same-different-html-trial","21","494542","0.0-3.0-18.0","","451-1","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","7"
"","14759","same-different-html-trial","22","516309","0.0-3.0-19.0","","451-1","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","8"
"","9763","same-different-html-trial","23","533082","0.0-3.0-20.0","","451-1","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","9"
"","3540","same-different-html-trial","24","543629","0.0-3.0-21.0","","451-1","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","10"
"","7243","same-different-html-trial","25","557880","0.0-3.0-22.0","","451-1","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","11"
"","13919","same-different-html-trial","26","578812","0.0-3.0-23.0","","451-1","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","12"
"","10582","same-different-html-trial","27","596401","0.0-3.0-24.0","","451-1","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","13"
"","8257","same-different-html-trial","28","611665","0.0-3.0-25.0","","451-1","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","14"
"","4604","same-different-html-trial","29","623277","0.0-3.0-26.0","","451-1","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","15"
"","6963","same-different-html-trial","30","637256","0.0-3.0-27.0","","451-1","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","16"
"","1309","same-different-html-trial","31","645574","0.0-3.0-28.0","","451-1","""whole""","""goso.wav""","32","whole","NRI","","","","","","17"
"","9059","same-different-html-trial","32","661641","0.0-3.0-29.0","","451-1","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","18"
"","3178","same-different-html-trial","33","671824","0.0-3.0-30.0","","451-1","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","19"
"","11024","same-different-html-trial","34","689855","0.0-3.0-31.0","","451-1","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","20"
"","5144","same-different-html-trial","35","702007","0.0-3.0-32.0","","451-1","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","21"
"","3352","same-different-html-trial","36","712365","0.0-3.0-33.0","","451-1","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","22"
"","28926","same-different-html-trial","37","748298","0.0-3.0-34.0","","451-1","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","23"
"","9810","same-different-html-trial","38","765116","0.0-3.0-35.0","","451-1","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","24"
"","2111","same-different-html-trial","39","774234","0.0-3.0-36.0","","451-1","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","25"
"","12315","same-different-html-trial","40","793559","0.0-3.0-37.0","","451-1","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","26"
"","9114","same-different-html-trial","41","809685","0.0-3.0-38.0","","451-1","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","27"
"","2581","same-different-html-trial","42","819272","0.0-3.0-39.0","","451-1","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","28"
"","1485","same-different-html-trial","43","827765","0.0-3.0-40.0","","451-1","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","29"
"","1819","same-different-html-trial","44","836591","0.0-3.0-41.0","","451-1","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","30"
"","5496","same-different-html-trial","45","849092","0.0-3.0-42.0","","451-1","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","31"
"","1869","same-different-html-trial","46","857967","0.0-3.0-43.0","","451-1","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","32"
"","2340","same-different-html-trial","47","867315","0.0-3.0-44.0","","451-1","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","33"
"","722","same-different-html-trial","48","875043","0.0-3.0-45.0","","451-1","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","34"
"","148","same-different-html-trial","49","882201","0.0-3.0-46.0","","451-1","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","35"
"","3437","same-different-html-trial","50","892645","0.0-3.0-47.0","","451-1","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","36"
"","632","same-different-html-trial","51","900285","0.0-3.0-48.0","","451-1","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","37"
"","2944","same-different-html-trial","52","910237","0.0-3.0-49.0","","451-1","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","38"
"","2190","same-different-html-trial","53","919437","0.0-3.0-50.0","","451-1","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","39"
"","353","same-different-html-trial","54","926798","0.0-3.0-51.0","","451-1","""whole""","""goso.wav""","32","whole","NRI","","","","","","40"
"","474","same-different-html-trial","55","934279","0.0-3.0-52.0","","451-1","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","41"
"","2204","same-different-html-trial","56","943488","0.0-3.0-53.0","","451-1","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","42"
"","3008","same-different-html-trial","57","953504","0.0-3.0-54.0","","451-1","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","43"
"","9602","same-different-html-trial","58","970111","0.0-3.0-55.0","","451-1","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","44"
"","1938","same-different-html-trial","59","979059","0.0-3.0-56.0","","451-1","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","45"
"","1755","same-different-html-trial","60","987821","0.0-3.0-57.0","","451-1","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","46"
"","1335","same-different-html-trial","61","996165","0.0-3.0-58.0","","451-1","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","47"
"","2595","same-different-html-trial","62","1005769","0.0-3.0-59.0","","451-1","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":29477}]","29477","instructions","63","1036249","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3397","same-different-html","64","1041650","0.0-3.0-61.0","","451-1","""noisy""","""muri.wav""","90","impossible","NAdj","different","1","D","noisy","Y","1"
"","1658","same-different-html","65","1046313","0.0-3.0-62.0","","451-1","""vulgar""","""zokuzoku.wav""","191","vulgar","RNAdj","same","1","T","vulgar","Y","2"
"","2927","same-different-html","66","1052245","0.0-3.0-63.0","","451-1","""fragile""","""yawayawa.wav""","191","fragile","RNAdj","same","1","T","fragile","Y","3"
"","4333","same-different-html","67","1059582","0.0-3.0-64.0","","451-1","""crowded""","""koku.wav""","90","harsh","NAdj","different","1","D","crowded","Y","4"
"","1889","same-different-html","68","1064476","0.0-3.0-65.0","","451-1","""worn out""","""boroboro.wav""","191","worn out","RI","same","1","T","worn out","Y","5"
"","2610","same-different-html","69","1070093","0.0-3.0-66.0","","451-1","""whole""","""damedame.wav""","90","useless","RNAdj","different","1","D","whole","Y","6"
"","2511","same-different-html","70","1075610","0.0-3.0-67.0","","451-1","""whispering""","""yura.wav""","90","wobbly","SRI","different","1","D","whispering","Y","7"
"","3233","same-different-html","71","1081848","0.0-3.0-68.0","","451-1","""useless""","""harahara.wav""","90","suspenseful","RI","different","1","D","useless","Y","8"
"","4129","same-different-html","72","1088980","0.0-3.0-69.0","","451-1","""shivering""","""buru.wav""","191","shivering","SRI","same","1","T","shivering","Y","9"
"","7227","same-different-html","73","1099212","0.0-3.0-70.0","","451-1","""gaping""","""potcharipotchari.wav""","90","plump","RNRI","different","1","D","gaping","Y","10"
"","3568","same-different-html","74","1105785","0.0-3.0-71.0","","451-1","""wobbly""","""yura.wav""","191","wobbly","SRI","same","1","T","wobbly","Y","11"
"","4290","same-different-html","75","1113079","0.0-3.0-72.0","","451-1","""gaudy""","""bisshiribisshiri.wav""","90","crowded","RNRI","different","1","D","gaudy","Y","12"
"","4336","same-different-html","76","1120420","0.0-3.0-73.0","","451-1","""supple""","""hisohiso.wav""","90","whispering","RI","different","1","D","supple","Y","13"
"","2752","same-different-html","77","1126177","0.0-3.0-74.0","","451-1","""harsh""","""goso.wav""","90","whole","NRI","different","1","D","harsh","Y","14"
"","7873","same-different-html","78","1137053","0.0-3.0-75.0","","451-1","""sloppy""","""poka.wav""","90","gaping","NRI","different","1","D","sloppy","Y","15"
"","2375","same-different-html","79","1142434","0.0-3.0-76.0","","451-1","""fast asleep""","""gussurigussuri.wav""","191","fast asleep","RNRI","same","1","T","fast asleep","Y","16"
"","7620","same-different-html","80","1153058","0.0-3.0-77.0","","451-1","""suspenseful""","""gussurigussuri.wav""","191","fast asleep","RNRI","different","0","D","suspenseful","Y","17"
"","9275","same-different-html","81","1165336","0.0-3.0-78.0","","451-1","""shivering""","""bera.wav""","90","chatty","SRI","different","1","D","shivering","Y","18"
"","3307","same-different-html","82","1171646","0.0-3.0-79.0","","451-1","""whole""","""goso.wav""","191","whole","NRI","same","1","T","whole","Y","19"
"","4537","same-different-html","83","1179186","0.0-3.0-80.0","","451-1","""subdued""","""jimijimi.wav""","191","subdued","RNAdj","same","1","T","subdued","Y","20"
"","1943","same-different-html","84","1184134","0.0-3.0-81.0","","451-1","""supple""","""shinnari.wav""","191","supple","NRI","same","1","T","supple","Y","21"
"","10983","same-different-html","85","1198121","0.0-3.0-82.0","","451-1","""nonchalantly""","""yawayawa.wav""","90","fragile","RNAdj","different","1","D","nonchalantly","Y","22"
"","2262","same-different-html","86","1203387","0.0-3.0-83.0","","451-1","""impossible""","""muri.wav""","191","impossible","NAdj","same","1","T","impossible","Y","23"
"","3230","same-different-html","87","1209621","0.0-3.0-84.0","","451-1","""gaudy""","""kabi.wav""","191","gaudy","NAdj","same","1","T","gaudy","Y","24"
"","1048","same-different-html","88","1213672","0.0-3.0-85.0","","451-1","""chatty""","""bera.wav""","191","chatty","SRI","same","1","T","chatty","Y","25"
"","1740","same-different-html","89","1218418","0.0-3.0-86.0","","451-1","""chatty""","""garagara.wav""","90","to change ocmpletely","RNRI","different","1","D","chatty","Y","26"
"","5818","same-different-html","90","1227241","0.0-3.0-87.0","","451-1","""to change ocmpletely""","""shinnari.wav""","90","supple","NRI","different","1","D","to change ocmpletely","Y","27"
"","3284","same-different-html","91","1233530","0.0-3.0-88.0","","451-1","""sloppy""","""zatsu.wav""","191","sloppy","NAdj","same","1","T","sloppy","Y","28"
"","18985","same-different-html","92","1255520","0.0-3.0-89.0","","451-1","""wobbly""","""jimijimi.wav""","90","subdued","RNAdj","different","1","D","wobbly","Y","29"
"","3430","same-different-html","93","1261954","0.0-3.0-90.0","","451-1","""vulgar""","""moji.wav""","90","hesitant","SRI","different","1","D","vulgar","Y","30"
"","1482","same-different-html","94","1266441","0.0-3.0-91.0","","451-1","""to change ocmpletely""","""garagara.wav""","191","to change ocmpletely","RNRI","same","1","T","to change ocmpletely","Y","31"
"","7868","same-different-html","95","1277311","0.0-3.0-92.0","","451-1","""hesitant""","""moji.wav""","191","hesitant","SRI","same","1","T","hesitant","Y","32"
"","4393","same-different-html","96","1284708","0.0-3.0-93.0","","451-1","""subdued""","""kabi.wav""","90","gaudy","NAdj","different","1","D","subdued","Y","33"
"","3679","same-different-html","97","1291389","0.0-3.0-94.0","","451-1","""noisy""","""gayagaya.wav""","191","noisy","RI","same","1","T","noisy","Y","34"
"","2669","same-different-html","98","1297063","0.0-3.0-95.0","","451-1","""harsh""","""koku.wav""","191","harsh","NAdj","same","1","T","harsh","Y","35"
"","1995","same-different-html","99","1302065","0.0-3.0-96.0","","451-1","""plump""","""buru.wav""","90","shivering","SRI","different","1","D","plump","Y","36"
"","1500","same-different-html","100","1306569","0.0-3.0-97.0","","451-1","""nonchalantly""","""kero.wav""","191","nonchalantly","NRI","same","1","T","nonchalantly","Y","37"
"","3248","same-different-html","101","1312821","0.0-3.0-98.0","","451-1","""fast asleep""","""gayagaya.wav""","90","noisy","RI","different","1","D","fast asleep","Y","38"
"","2308","same-different-html","102","1318134","0.0-3.0-99.0","","451-1","""worn out""","""zatsu.wav""","90","sloppy","NAdj","different","1","D","worn out","Y","39"
"","6741","same-different-html","103","1327881","0.0-3.0-100.0","","451-1","""crowded""","""bisshiribisshiri.wav""","191","crowded","RNRI","same","1","T","crowded","Y","40"
"","1833","same-different-html","104","1332717","0.0-3.0-101.0","","451-1","""impossible""","""kero.wav""","90","nonchalantly","NRI","different","1","D","impossible","Y","41"
"","1795","same-different-html","105","1337514","0.0-3.0-102.0","","451-1","""useless""","""damedame.wav""","191","useless","RNAdj","same","1","T","useless","Y","42"
