"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":3489}]","3490","instructions","0","3491","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1567},{""page_index"":1,""viewing_time"":2095},{""page_index"":2,""viewing_time"":1837},{""page_index"":3,""viewing_time"":1284},{""page_index"":4,""viewing_time"":25328}]","32111","instructions","1","35602","0.0-1.0","","","","","","","","","","","","",""
"","10793","survey-multi-choice","2","46399","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1179},{""page_index"":1,""viewing_time"":18739}]","19918","instructions","3","66317","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5200","same-different-html-trial","4","77530","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8786}]","8786","instructions","5","87318","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5491","same-different-html","6","94814","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2820}]","2820","instructions","7","98634","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3062","same-different-html","8","103699","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3500},{""page_index"":1,""viewing_time"":2337}]","5837","instructions","9","110538","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2145","same-different-html-trial","10","118691","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1391}]","1391","instructions","11","121083","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3363","same-different-html","12","126451","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2945","same-different-html","13","132402","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1632},{""page_index"":1,""viewing_time"":3945}]","5577","instructions","14","138980","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1589","same-different-html-trial","15","146579","0.0-3.0-12.0","","2466-3","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","1"
"","4966","same-different-html-trial","16","158554","0.0-3.0-13.0","","2466-3","""offended""","""kachin.wav""","32","offended","NRI","","","","","","2"
"","12744","same-different-html-trial","17","178307","0.0-3.0-14.0","","2466-3","""useless""","""dame.wav""","32","useless","NAdj","","","","","","3"
"","4073","same-different-html-trial","18","189387","0.0-3.0-15.0","","2466-3","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","4"
"","11092","same-different-html-trial","19","207491","0.0-3.0-16.0","","2466-3","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","5"
"","9130","same-different-html-trial","20","223627","0.0-3.0-17.0","","2466-3","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","6"
"","2455","same-different-html-trial","21","233090","0.0-3.0-18.0","","2466-3","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","7"
"","2257","same-different-html-trial","22","242354","0.0-3.0-19.0","","2466-3","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","8"
"","585","same-different-html-trial","23","249947","0.0-3.0-20.0","","2466-3","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","9"
"","1830","same-different-html-trial","24","258786","0.0-3.0-21.0","","2466-3","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","10"
"","16127","same-different-html-trial","25","281922","0.0-3.0-22.0","","2466-3","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","11"
"","4537","same-different-html-trial","26","293467","0.0-3.0-23.0","","2466-3","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","12"
"","688","same-different-html-trial","27","301162","0.0-3.0-24.0","","2466-3","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","13"
"","4539","same-different-html-trial","28","312708","0.0-3.0-25.0","","2466-3","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","14"
"","6701","same-different-html-trial","29","326417","0.0-3.0-26.0","","2466-3","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","15"
"","8295","same-different-html-trial","30","341723","0.0-3.0-27.0","","2466-3","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","16"
"","5358","same-different-html-trial","31","354089","0.0-3.0-28.0","","2466-3","""fat""","""debu.wav""","32","fat","SRI","","","","","","17"
"","2292","same-different-html-trial","32","363387","0.0-3.0-29.0","","2466-3","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","18"
"","2306","same-different-html-trial","33","372698","0.0-3.0-30.0","","2466-3","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","19"
"","2854","same-different-html-trial","34","382562","0.0-3.0-31.0","","2466-3","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","20"
"","3777","same-different-html-trial","35","393348","0.0-3.0-32.0","","2466-3","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","21"
"","2306","same-different-html-trial","36","402659","0.0-3.0-33.0","","2466-3","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","22"
"","1893","same-different-html-trial","37","411561","0.0-3.0-34.0","","2466-3","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","23"
"","7289","same-different-html-trial","38","425859","0.0-3.0-35.0","","2466-3","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","24"
"","4494","same-different-html-trial","39","437363","0.0-3.0-36.0","","2466-3","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","25"
