"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":12999}]","12999","instructions","0","13002","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1150},{""page_index"":1,""viewing_time"":1144},{""page_index"":2,""viewing_time"":1512},{""page_index"":3,""viewing_time"":4504},{""page_index"":4,""viewing_time"":124332}]","132642","instructions","1","145646","0.0-1.0","","","","","","","","","","","","",""
"","29417","survey-multi-choice","2","175070","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":931},{""page_index"":1,""viewing_time"":2048}]","2980","instructions","3","178051","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2217","same-different-html-trial","4","186286","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1613}]","1613","instructions","5","188899","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4987","same-different-html","6","195889","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":1690}]","1690","instructions","7","198580","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2912","same-different-html","8","203496","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1081},{""page_index"":1,""viewing_time"":928}]","2009","instructions","9","206507","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1297","same-different-html-trial","10","213811","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1594}]","1595","instructions","11","216408","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2896","same-different-html","12","221307","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2780","same-different-html","13","227090","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":23982},{""page_index"":1,""viewing_time"":3295}]","27277","instructions","14","255368","0.0-3.0-11.0","","","","","","","","","","","","",""
"","807","same-different-html-trial","15","262182","0.0-3.0-12.0","","6189-3","""offended""","""kachin.wav""","32","offended","NRI","","","","","","1"
"","338","same-different-html-trial","16","269527","0.0-3.0-13.0","","6189-3","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","2"
"","492","same-different-html-trial","17","277027","0.0-3.0-14.0","","6189-3","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","3"
