"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7567}]","7567","instructions","0","7571","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2563},{""page_index"":1,""viewing_time"":5870},{""page_index"":2,""viewing_time"":4360},{""page_index"":3,""viewing_time"":11207},{""page_index"":4,""viewing_time"":48888}]","72888","instructions","1","80467","0.0-1.0","","","","","","","","","","","","",""
"","19147","survey-multi-choice","2","99628","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4832},{""page_index"":1,""viewing_time"":8265}]","13098","instructions","3","112730","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2529","same-different-html-trial","4","121274","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9396}]","9396","instructions","5","131672","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5079","same-different-html","6","138758","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4466}]","4466","instructions","7","144225","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4857","same-different-html","8","151090","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":5452},{""page_index"":1,""viewing_time"":1761}]","7213","instructions","9","159304","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2111","same-different-html-trial","10","167425","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3446}]","3446","instructions","11","171873","0.0-3.0-8.0","","","","","","","","","","","","",""
"","25259","same-different-html","12","199136","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2970","same-different-html","13","205112","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3032},{""page_index"":1,""viewing_time"":24751}]","27783","instructions","14","233895","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2179","same-different-html-trial","15","242082","0.0-3.0-12.0","","8697-9","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","1"
"","1775","same-different-html-trial","16","250865","0.0-3.0-13.0","","8697-9","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","2"
"","2338","same-different-html-trial","17","260227","0.0-3.0-14.0","","8697-9","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","3"
"","2421","same-different-html-trial","18","269657","0.0-3.0-15.0","","8697-9","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","4"
"","2315","same-different-html-trial","19","278977","0.0-3.0-16.0","","8697-9","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","5"
