"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":1483}]","1483","instructions","0","1485","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1712},{""page_index"":1,""viewing_time"":1734},{""page_index"":2,""viewing_time"":1676},{""page_index"":3,""viewing_time"":683},{""page_index"":4,""viewing_time"":1946}]","7753","instructions","1","9241","0.0-1.0","","","","","","","","","","","","",""
"","4844","survey-multi-choice","2","14101","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":999},{""page_index"":1,""viewing_time"":2679}]","3678","instructions","3","17784","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2898","same-different-html-trial","4","26693","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2025}]","2025","instructions","5","29719","0.0-3.0-2.0","","","","","","","","","","","","",""
"","9975","same-different-html","6","41699","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2318}]","2319","instructions","7","45020","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4603","same-different-html","8","51627","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3891},{""page_index"":1,""viewing_time"":1638}]","5529","instructions","9","58158","0.0-3.0-6.0","","","","","","","","","","","","",""
"","4293","same-different-html-trial","10","68460","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2079}]","2079","instructions","11","71541","0.0-3.0-8.0","","","","","","","","","","","","",""
"","9977","same-different-html","12","83522","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","90","","","same","0","","","0",""
"","1651","same-different-html","13","88178","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1902},{""page_index"":1,""viewing_time"":9297}]","11200","instructions","14","100379","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2174","same-different-html-trial","15","108560","0.0-3.0-12.0","","9714-6","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","1"
"","1333","same-different-html-trial","16","116901","0.0-3.0-13.0","","9714-6","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","2"
"","553","same-different-html-trial","17","124461","0.0-3.0-14.0","","9714-6","""offended""","""kachin.wav""","32","offended","NRI","","","","","","3"
"","736","same-different-html-trial","18","132203","0.0-3.0-15.0","","9714-6","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","4"
"","1441","same-different-html-trial","19","140652","0.0-3.0-16.0","","9714-6","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","5"
"","1379","same-different-html-trial","20","149038","0.0-3.0-17.0","","9714-6","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","6"
"","1197","same-different-html-trial","21","157244","0.0-3.0-18.0","","9714-6","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","7"
"","1229","same-different-html-trial","22","165483","0.0-3.0-19.0","","9714-6","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","8"
"","1375","same-different-html-trial","23","173868","0.0-3.0-20.0","","9714-6","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","9"
"","1128","same-different-html-trial","24","182002","0.0-3.0-21.0","","9714-6","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","10"
"","1328","same-different-html-trial","25","190334","0.0-3.0-22.0","","9714-6","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","11"
"","1442","same-different-html-trial","26","198782","0.0-3.0-23.0","","9714-6","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","12"
"","1939","same-different-html-trial","27","207729","0.0-3.0-24.0","","9714-6","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","13"
"","1831","same-different-html-trial","28","216565","0.0-3.0-25.0","","9714-6","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","14"
"","1265","same-different-html-trial","29","224835","0.0-3.0-26.0","","9714-6","""free""","""himahima.wav""","32","free","RNAdj","","","","","","15"
"","1224","same-different-html-trial","30","233068","0.0-3.0-27.0","","9714-6","""plump""","""potchari.wav""","32","plump","NRI","","","","","","16"
"","1115","same-different-html-trial","31","241191","0.0-3.0-28.0","","9714-6","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","17"
"","766","same-different-html-trial","32","248964","0.0-3.0-29.0","","9714-6","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","18"
"","1358","same-different-html-trial","33","257328","0.0-3.0-30.0","","9714-6","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","19"
"","1260","same-different-html-trial","34","265594","0.0-3.0-31.0","","9714-6","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","20"
"","2382","same-different-html-trial","35","274982","0.0-3.0-32.0","","9714-6","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","21"
"","1362","same-different-html-trial","36","283351","0.0-3.0-33.0","","9714-6","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","22"
"","1432","same-different-html-trial","37","291789","0.0-3.0-34.0","","9714-6","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","23"
"","1606","same-different-html-trial","38","300402","0.0-3.0-35.0","","9714-6","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","24"
"","1550","same-different-html-trial","39","308959","0.0-3.0-36.0","","9714-6","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","25"
"","1496","same-different-html-trial","40","317462","0.0-3.0-37.0","","9714-6","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","26"
"","2416","same-different-html-trial","41","326884","0.0-3.0-38.0","","9714-6","""free""","""himahima.wav""","32","free","RNAdj","","","","","","27"
"","1160","same-different-html-trial","42","335050","0.0-3.0-39.0","","9714-6","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","28"
"","819","same-different-html-trial","43","342876","0.0-3.0-40.0","","9714-6","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","29"
"","1431","same-different-html-trial","44","351314","0.0-3.0-41.0","","9714-6","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","30"
"","1658","same-different-html-trial","45","359979","0.0-3.0-42.0","","9714-6","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","31"
"","724","same-different-html-trial","46","367710","0.0-3.0-43.0","","9714-6","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","32"
"","871","same-different-html-trial","47","375588","0.0-3.0-44.0","","9714-6","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","33"
"","2130","same-different-html-trial","48","384724","0.0-3.0-45.0","","9714-6","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","34"
"","579","same-different-html-trial","49","392309","0.0-3.0-46.0","","9714-6","""plump""","""potchari.wav""","32","plump","NRI","","","","","","35"
"","662","same-different-html-trial","50","399978","0.0-3.0-47.0","","9714-6","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","36"
"","559","same-different-html-trial","51","407546","0.0-3.0-48.0","","9714-6","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","37"
"","685","same-different-html-trial","52","415237","0.0-3.0-49.0","","9714-6","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","38"
"","1475","same-different-html-trial","53","423719","0.0-3.0-50.0","","9714-6","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","39"
"","1132","same-different-html-trial","54","431858","0.0-3.0-51.0","","9714-6","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","40"
"","427","same-different-html-trial","55","439294","0.0-3.0-52.0","","9714-6","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","41"
