"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":19050}]","19051","instructions","0","19051","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1413},{""page_index"":1,""viewing_time"":1568},{""page_index"":2,""viewing_time"":1449},{""page_index"":3,""viewing_time"":12480},{""page_index"":4,""viewing_time"":41261}]","58171","instructions","1","77223","0.0-1.0","","","","","","","","","","","","",""
"","15910","survey-multi-choice","2","93138","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2134},{""page_index"":1,""viewing_time"":5511}]","7645","instructions","3","100783","0.0-3.0-0.0","","","","","","","","","","","","",""
"","7170","same-different-html-trial","4","113964","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7222}]","7223","instructions","5","122188","0.0-3.0-2.0","","","","","","","","","","","","",""
"","18904","same-different-html","6","143095","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":3976}]","3976","instructions","7","148072","0.0-3.0-4.0","","","","","","","","","","","","",""
"","6464","same-different-html","8","156539","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":7365},{""page_index"":1,""viewing_time"":2453}]","9818","instructions","9","167358","0.0-3.0-6.0","","","","","","","","","","","","",""
"","4240","same-different-html-trial","10","177605","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16833}]","16833","instructions","11","195440","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4322","same-different-html","12","201765","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2299","same-different-html","13","207068","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1858},{""page_index"":1,""viewing_time"":23288}]","25147","instructions","14","233216","0.0-3.0-11.0","","","","","","","","","","","","",""
"","4135","same-different-html-trial","15","243357","0.0-3.0-12.0","","451-9","""whole""","""goso.wav""","32","whole","NRI","","","","","","1"
"","3217","same-different-html-trial","16","253582","0.0-3.0-13.0","","451-9","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","2"
"","5507","same-different-html-trial","17","266096","0.0-3.0-14.0","","451-9","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","3"
"","2395","same-different-html-trial","18","275498","0.0-3.0-15.0","","451-9","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","4"
"","3963","same-different-html-trial","19","286468","0.0-3.0-16.0","","451-9","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","5"
"","3234","same-different-html-trial","20","296711","0.0-3.0-17.0","","451-9","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","6"
"","3915","same-different-html-trial","21","307633","0.0-3.0-18.0","","451-9","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","7"
"","6662","same-different-html-trial","22","321303","0.0-3.0-19.0","","451-9","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","8"
"","2391","same-different-html-trial","23","330702","0.0-3.0-20.0","","451-9","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","9"
