"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":39149}]","39150","instructions","0","39151","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2916},{""page_index"":1,""viewing_time"":3031},{""page_index"":2,""viewing_time"":5731},{""page_index"":3,""viewing_time"":2393},{""page_index"":4,""viewing_time"":40540}]","54611","instructions","1","93762","0.0-1.0","","","","","","","","","","","","",""
"","18923","survey-multi-choice","2","112691","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2670},{""page_index"":1,""viewing_time"":4898}]","7569","instructions","3","120261","0.0-3.0-0.0","","","","","","","","","","","","",""
"","9467","same-different-html-trial","4","135744","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6499}]","6500","instructions","5","143245","0.0-3.0-2.0","","","","","","","","","","","","",""
"","16190","same-different-html","6","161443","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4537}]","4538","instructions","7","166982","0.0-3.0-4.0","","","","","","","","","","","","",""
"","39241","same-different-html","8","208226","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3220},{""page_index"":1,""viewing_time"":2707}]","5928","instructions","9","215156","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2455","same-different-html-trial","10","223620","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4778}]","4778","instructions","11","229399","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3024","same-different-html","12","234428","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3179","same-different-html","13","240614","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2261},{""page_index"":1,""viewing_time"":26010}]","28271","instructions","14","269886","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2664","same-different-html-trial","15","278560","0.0-3.0-12.0","","539-6","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","1"
"","3029","same-different-html-trial","16","288600","0.0-3.0-13.0","","539-6","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","2"
"","6649","same-different-html-trial","17","302267","0.0-3.0-14.0","","539-6","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","3"
"","5929","same-different-html-trial","18","315208","0.0-3.0-15.0","","539-6","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","4"
