"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7850}]","7850","instructions","0","7851","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2006},{""page_index"":1,""viewing_time"":2480},{""page_index"":2,""viewing_time"":4664},{""page_index"":3,""viewing_time"":9743},{""page_index"":4,""viewing_time"":167502}]","186395","instructions","1","194246","0.0-1.0","","","","","","","","","","","","",""
"","12143","survey-multi-choice","2","206396","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1988},{""page_index"":1,""viewing_time"":11439}]","13428","instructions","3","219825","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3890","same-different-html-trial","4","229730","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10230}]","10231","instructions","5","240961","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5226","same-different-html","6","248193","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4143}]","4143","instructions","7","253336","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4141","same-different-html","8","259481","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":8110},{""page_index"":1,""viewing_time"":3289}]","11400","instructions","9","271882","0.0-3.0-6.0","","","","","","","","","","","","",""
"","809","same-different-html-trial","10","278698","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9831}]","9831","instructions","11","289529","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4070","same-different-html","12","295600","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2877","same-different-html","13","301481","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":16239},{""page_index"":1,""viewing_time"":30959}]","47198","instructions","14","349680","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2680","same-different-html-trial","15","358369","0.0-3.0-12.0","","4028-10","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","1"
"","10664","same-different-html-trial","16","376040","0.0-3.0-13.0","","4028-10","""free""","""hima.wav""","32","free","NAdj","","","","","","2"
"","22521","same-different-html-trial","17","405571","0.0-3.0-14.0","","4028-10","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","3"
"","2053","same-different-html-trial","18","414633","0.0-3.0-15.0","","4028-10","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","4"
"","5520","same-different-html-trial","19","427161","0.0-3.0-16.0","","4028-10","""whole""","""goso.wav""","32","whole","NRI","","","","","","5"
"","7667","same-different-html-trial","20","441834","0.0-3.0-17.0","","4028-10","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","6"
"","5553","same-different-html-trial","21","454394","0.0-3.0-18.0","","4028-10","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","7"
"","3952","same-different-html-trial","22","465354","0.0-3.0-19.0","","4028-10","""fat""","""debudebu.wav""","32","fat","RI","","","","","","8"
"","6601","same-different-html-trial","23","478961","0.0-3.0-20.0","","4028-10","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","9"
"","17226","same-different-html-trial","24","503194","0.0-3.0-21.0","","4028-10","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","10"
"","5097","same-different-html-trial","25","515298","0.0-3.0-22.0","","4028-10","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","11"
"","6976","same-different-html-trial","26","529281","0.0-3.0-23.0","","4028-10","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","12"
"","6970","same-different-html-trial","27","543257","0.0-3.0-24.0","","4028-10","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","13"
"","5457","same-different-html-trial","28","555721","0.0-3.0-25.0","","4028-10","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","14"
