"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":5412}]","5414","instructions","0","5417","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3707},{""page_index"":1,""viewing_time"":3063},{""page_index"":2,""viewing_time"":2800},{""page_index"":3,""viewing_time"":16857},{""page_index"":4,""viewing_time"":11256}]","37684","instructions","1","43103","0.0-1.0","","","","","","","","","","","","",""
"","9162","survey-multi-choice","2","52281","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2795},{""page_index"":1,""viewing_time"":6832}]","9629","instructions","3","61911","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5257","same-different-html-trial","4","73191","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4468}]","4469","instructions","5","78661","0.0-3.0-2.0","","","","","","","","","","","","",""
"","19303","same-different-html","6","99972","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":5752}]","5754","instructions","7","106727","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3503","same-different-html","8","112237","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4879},{""page_index"":1,""viewing_time"":3543}]","8423","instructions","9","121661","0.0-3.0-6.0","","","","","","","","","","","","",""
"","4338","same-different-html-trial","10","132011","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1904}]","1904","instructions","11","134918","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4521","same-different-html","12","141445","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","90","","","same","0","","","0",""
"","3261","same-different-html","13","147708","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2049},{""page_index"":1,""viewing_time"":15105}]","17154","instructions","14","165862","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1440","same-different-html-trial","15","173317","0.0-3.0-12.0","","2132-5","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","1"
"","3444","same-different-html-trial","16","183773","0.0-3.0-13.0","","2132-5","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","2"
"","2668","same-different-html-trial","17","193452","0.0-3.0-14.0","","2132-5","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","3"
"","1463","same-different-html-trial","18","201925","0.0-3.0-15.0","","2132-5","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","4"
"","1406","same-different-html-trial","19","210340","0.0-3.0-16.0","","2132-5","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","5"
"","2750","same-different-html-trial","20","220102","0.0-3.0-17.0","","2132-5","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","6"
"","4120","same-different-html-trial","21","231236","0.0-3.0-18.0","","2132-5","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","7"
"","3687","same-different-html-trial","22","241933","0.0-3.0-19.0","","2132-5","""chatty""","""berabera.wav""","32","chatty","RI","","","","","","8"
"","3592","same-different-html-trial","23","252541","0.0-3.0-20.0","","2132-5","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","9"
"","4657","same-different-html-trial","24","264221","0.0-3.0-21.0","","2132-5","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","10"
"","3964","same-different-html-trial","25","275197","0.0-3.0-22.0","","2132-5","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","11"
"","1619","same-different-html-trial","26","283830","0.0-3.0-23.0","","2132-5","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","12"
