"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":5909}]","5910","instructions","0","5911","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2374},{""page_index"":1,""viewing_time"":1680},{""page_index"":2,""viewing_time"":1056},{""page_index"":3,""viewing_time"":6392},{""page_index"":4,""viewing_time"":58113}]","69615","instructions","1","75527","0.0-1.0","","","","","","","","","","","","",""
"","18261","survey-multi-choice","2","93791","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3366},{""page_index"":1,""viewing_time"":8736}]","12103","instructions","3","105895","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4130","same-different-html-trial","4","116047","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5397}]","5397","instructions","5","122446","0.0-3.0-2.0","","","","","","","","","","","","",""
"","17084","same-different-html","6","141537","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3764}]","3765","instructions","7","146303","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3963","same-different-html","8","152272","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2548},{""page_index"":1,""viewing_time"":2488}]","5036","instructions","9","158310","0.0-3.0-6.0","","","","","","","","","","","","",""
"","8725","same-different-html-trial","10","173049","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1093}]","1093","instructions","11","175143","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2869","same-different-html","12","180017","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3018","same-different-html","13","186040","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":23213},{""page_index"":1,""viewing_time"":25200}]","48413","instructions","14","235454","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5897","same-different-html-trial","15","247367","0.0-3.0-12.0","","3372-8","""wobbly""","""yurayura.wav""","32","wobbly","RI","","","","","","1"
"","7012","same-different-html-trial","16","261394","0.0-3.0-13.0","","3372-8","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","2"
"","1537","same-different-html-trial","17","269942","0.0-3.0-14.0","","3372-8","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","3"
"","5973","same-different-html-trial","18","282926","0.0-3.0-15.0","","3372-8","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","4"
"","1757","same-different-html-trial","19","291695","0.0-3.0-16.0","","3372-8","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","5"
"","5975","same-different-html-trial","20","304681","0.0-3.0-17.0","","3372-8","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","6"
"","1352","same-different-html-trial","21","313046","0.0-3.0-18.0","","3372-8","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","7"
"","2886","same-different-html-trial","22","322944","0.0-3.0-19.0","","3372-8","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","8"
"","4115","same-different-html-trial","23","334070","0.0-3.0-20.0","","3372-8","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","9"
"","2187","same-different-html-trial","24","343270","0.0-3.0-21.0","","3372-8","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","10"
"","3870","same-different-html-trial","25","354149","0.0-3.0-22.0","","3372-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","11"
"","6352","same-different-html-trial","26","367513","0.0-3.0-23.0","","3372-8","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","12"
"","1721","same-different-html-trial","27","376247","0.0-3.0-24.0","","3372-8","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","13"
"","3342","same-different-html-trial","28","386601","0.0-3.0-25.0","","3372-8","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","14"
"","1127","same-different-html-trial","29","394743","0.0-3.0-26.0","","3372-8","""free""","""himahima.wav""","32","free","RNAdj","","","","","","15"
"","2984","same-different-html-trial","30","404736","0.0-3.0-27.0","","3372-8","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","16"
"","1291","same-different-html-trial","31","413039","0.0-3.0-28.0","","3372-8","""fat""","""debudebu.wav""","32","fat","RI","","","","","","17"
"","1541","same-different-html-trial","32","421598","0.0-3.0-29.0","","3372-8","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","18"
"","1939","same-different-html-trial","33","430549","0.0-3.0-30.0","","3372-8","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","19"
"","12","same-different-html-trial","34","437577","0.0-3.0-31.0","","3372-8","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","20"
"","1539","same-different-html-trial","35","446128","0.0-3.0-32.0","","3372-8","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","21"
"","2714","same-different-html-trial","36","455856","0.0-3.0-33.0","","3372-8","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","22"
"","2788","same-different-html-trial","37","465655","0.0-3.0-34.0","","3372-8","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","23"
"","1584","same-different-html-trial","38","474254","0.0-3.0-35.0","","3372-8","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","24"
"","1172","same-different-html-trial","39","482441","0.0-3.0-36.0","","3372-8","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","25"
"","436","same-different-html-trial","40","489888","0.0-3.0-37.0","","3372-8","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","26"
"","4434","same-different-html-trial","41","501336","0.0-3.0-38.0","","3372-8","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","27"
"","1507","same-different-html-trial","42","509854","0.0-3.0-39.0","","3372-8","""fat""","""debudebu.wav""","32","fat","RI","","","","","","28"
"","643","same-different-html-trial","43","517510","0.0-3.0-40.0","","3372-8","""free""","""himahima.wav""","32","free","RNAdj","","","","","","29"
"","2002","same-different-html-trial","44","526785","0.0-3.0-41.0","","3372-8","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","30"
"","428","same-different-html-trial","45","534224","0.0-3.0-42.0","","3372-8","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","31"
"","1005","same-different-html-trial","46","542240","0.0-3.0-43.0","","3372-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","32"
"","2867","same-different-html-trial","47","552120","0.0-3.0-44.0","","3372-8","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","33"
"","428","same-different-html-trial","48","559558","0.0-3.0-45.0","","3372-8","""wobbly""","""yurayura.wav""","32","wobbly","RI","","","","","","34"
"","5604","same-different-html-trial","49","572175","0.0-3.0-46.0","","3372-8","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","35"
"","661","same-different-html-trial","50","579845","0.0-3.0-47.0","","3372-8","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","36"
"","7372","same-different-html-trial","51","594229","0.0-3.0-48.0","","3372-8","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","37"
"","3242","same-different-html-trial","52","604488","0.0-3.0-49.0","","3372-8","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","38"
"","398","same-different-html-trial","53","611902","0.0-3.0-50.0","","3372-8","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","39"
"","3639","same-different-html-trial","54","622552","0.0-3.0-51.0","","3372-8","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","40"
"","5408","same-different-html-trial","55","634975","0.0-3.0-52.0","","3372-8","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","41"
"","1739","same-different-html-trial","56","643727","0.0-3.0-53.0","","3372-8","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","42"
"","3563","same-different-html-trial","57","654303","0.0-3.0-54.0","","3372-8","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","43"
"","460","same-different-html-trial","58","661774","0.0-3.0-55.0","","3372-8","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","44"
"","4402","same-different-html-trial","59","673189","0.0-3.0-56.0","","3372-8","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","45"
"","1438","same-different-html-trial","60","681639","0.0-3.0-57.0","","3372-8","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","46"
"","1659","same-different-html-trial","61","690310","0.0-3.0-58.0","","3372-8","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","47"
"","1828","same-different-html-trial","62","699150","0.0-3.0-59.0","","3372-8","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":20055}]","20055","instructions","63","720205","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3179","same-different-html","64","725392","0.0-3.0-61.0","","3372-8","""steaming""","""shinnari.wav""","90","supple","NRI","different","1","D","steaming","Y","1"
"","1567","same-different-html","65","729967","0.0-3.0-62.0","","3372-8","""careful""","""jikkuri.wav""","191","careful","NRI","same","1","T","careful","Y","2"
"","1665","same-different-html","66","734638","0.0-3.0-63.0","","3372-8","""subdued""","""jimi.wav""","191","subdued","NAdj","same","1","T","subdued","Y","3"
"","1287","same-different-html","67","738935","0.0-3.0-64.0","","3372-8","""smooth""","""nopperi.wav""","191","smooth","NRI","same","1","T","smooth","Y","4"
"","1521","same-different-html","68","743463","0.0-3.0-65.0","","3372-8","""beneficial""","""tokutoku.wav""","191","beneficial","RNAdj","same","1","T","beneficial","Y","5"
"","1495","same-different-html","69","747968","0.0-3.0-66.0","","3372-8","""deficient""","""fubi.wav""","191","deficient","NAdj","same","1","T","deficient","Y","6"
"","7681","same-different-html","70","758655","0.0-3.0-67.0","","3372-8","""stiff""","""gowagowa.wav""","90","stiff","RI","same","0","T","stiff","Y","7"
"","3184","same-different-html","71","764846","0.0-3.0-68.0","","3372-8","""steaming""","""hoka.wav""","191","steaming","SRI","same","1","T","steaming","Y","8"
"","4043","same-different-html","72","771895","0.0-3.0-69.0","","3372-8","""fat""","""buru.wav""","90","shivering","SRI","different","1","D","fat","Y","9"
"","9739","same-different-html","73","784640","0.0-3.0-70.0","","3372-8","""subdued""","""kukkirikukkiri.wav""","90","clear","RNRI","different","1","D","subdued","Y","10"
"","3216","same-different-html","74","790863","0.0-3.0-71.0","","3372-8","""supple""","""shinnari.wav""","191","supple","NRI","same","1","T","supple","Y","11"
"","2418","same-different-html","75","796287","0.0-3.0-72.0","","3372-8","""smug""","""nopperi.wav""","90","smooth","NRI","different","1","D","smug","Y","12"
"","1880","same-different-html","76","801174","0.0-3.0-73.0","","3372-8","""rash""","""mucha.wav""","191","rash","NAdj","same","1","T","rash","Y","13"
"","7572","same-different-html","77","811751","0.0-3.0-74.0","","3372-8","""clear""","""kukkirikukkiri.wav""","191","clear","RNRI","same","1","T","clear","Y","14"
"","2375","same-different-html","78","817135","0.0-3.0-75.0","","3372-8","""smooth""","""moji.wav""","90","hesitant","SRI","different","1","D","smooth","Y","15"
"","5098","same-different-html","79","825239","0.0-3.0-76.0","","3372-8","""exact""","""kakkirikakkiri.wav""","191","exact","RNRI","same","1","T","exact","Y","16"
"","1880","same-different-html","80","830127","0.0-3.0-77.0","","3372-8","""smug""","""kizakiza.wav""","191","smug","RNAdj","same","1","T","smug","Y","17"
"","15975","same-different-html","81","849109","0.0-3.0-78.0","","3372-8","""wobbly""","""yurayura.wav""","191","wobbly","RI","same","1","T","wobbly","Y","18"
"","2073","same-different-html","82","854189","0.0-3.0-79.0","","3372-8","""sullen""","""hoka.wav""","90","steaming","SRI","different","1","D","sullen","Y","19"
"","1617","same-different-html","83","858814","0.0-3.0-80.0","","3372-8","""free""","""mucha.wav""","90","rash","NAdj","different","1","D","free","Y","20"
"","1946","same-different-html","84","863765","0.0-3.0-81.0","","3372-8","""noisy""","""gayagaya.wav""","191","noisy","RI","same","1","T","noisy","Y","21"
"","16989","same-different-html","85","883761","0.0-3.0-82.0","","3372-8","""careful""","""fubi.wav""","90","deficient","NAdj","different","1","D","careful","Y","22"
"","3725","same-different-html","86","890495","0.0-3.0-83.0","","3372-8","""deficient""","""yurayura.wav""","90","wobbly","RI","different","1","D","deficient","Y","23"
"","1026","same-different-html","87","894527","0.0-3.0-84.0","","3372-8","""hesitant""","""moji.wav""","191","hesitant","SRI","same","1","T","hesitant","Y","24"
"","2752","same-different-html","88","900287","0.0-3.0-85.0","","3372-8","""shivering""","""buru.wav""","191","shivering","SRI","same","1","T","shivering","Y","25"
"","2777","same-different-html","89","906070","0.0-3.0-86.0","","3372-8","""free""","""himahima.wav""","90","free","RNAdj","same","0","T","free","Y","26"
"","1429","same-different-html","90","910505","0.0-3.0-87.0","","3372-8","""sullen""","""musumusu.wav""","191","sullen","RNRI","same","1","T","sullen","Y","27"
"","5606","same-different-html","91","919117","0.0-3.0-88.0","","3372-8","""to change ocmpletely""","""gara.wav""","191","to change ocmpletely","NRI","same","1","T","to change ocmpletely","Y","28"
"","4843","same-different-html","92","926966","0.0-3.0-89.0","","3372-8","""supple""","""kizakiza.wav""","90","smug","RNAdj","different","1","D","supple","Y","29"
"","1505","same-different-html","93","931476","0.0-3.0-90.0","","3372-8","""energetic""","""debudebu.wav""","191","fat","RI","different","0","D","energetic","Y","30"
"","5313","same-different-html","94","939798","0.0-3.0-91.0","","3372-8","""beneficial""","""musumusu.wav""","90","sullen","RNRI","different","1","D","beneficial","Y","31"
"","2095","same-different-html","95","944900","0.0-3.0-92.0","","3372-8","""shivering""","""zokuzoku.wav""","191","vulgar","RNAdj","different","0","D","shivering","Y","32"
"","5761","same-different-html","96","953670","0.0-3.0-93.0","","3372-8","""to change ocmpletely""","""furi.wav""","191","disadvantaged","NAdj","different","0","D","to change ocmpletely","Y","33"
"","4081","same-different-html","97","960758","0.0-3.0-94.0","","3372-8","""rash""","""jikkuri.wav""","90","careful","NRI","different","1","D","rash","Y","34"
"","7396","same-different-html","98","971159","0.0-3.0-95.0","","3372-8","""energetic""","""kibi.wav""","191","energetic","SRI","same","1","T","energetic","Y","35"
"","4532","same-different-html","99","978696","0.0-3.0-96.0","","3372-8","""clear""","""kakkirikakkiri.wav""","191","exact","RNRI","different","0","D","clear","Y","36"
"","2390","same-different-html","100","984093","0.0-3.0-97.0","","3372-8","""exact""","""gayagaya.wav""","90","noisy","RI","different","1","D","exact","Y","37"
"","3779","same-different-html","101","990878","0.0-3.0-98.0","","3372-8","""vulgar""","""zokuzoku.wav""","191","vulgar","RNAdj","same","1","T","vulgar","Y","38"
"","1215","same-different-html","102","995103","0.0-3.0-99.0","","3372-8","""noisy""","""jimi.wav""","90","subdued","NAdj","different","1","D","noisy","Y","39"
"","3281","same-different-html","103","1001391","0.0-3.0-100.0","","3372-8","""stiff""","""tokutoku.wav""","90","beneficial","RNAdj","different","1","D","stiff","Y","40"
"","4080","same-different-html","104","1008477","0.0-3.0-101.0","","3372-8","""disadvantaged""","""kibi.wav""","191","energetic","SRI","different","0","D","disadvantaged","Y","41"
"","2651","same-different-html","105","1014135","0.0-3.0-102.0","","3372-8","""plump""","""potcharipotchari.wav""","191","plump","RNRI","same","1","T","plump","Y","42"
"","1001","same-different-html","106","1018141","0.0-3.0-103.0","","3372-8","""disadvantaged""","""furi.wav""","191","disadvantaged","NAdj","same","1","T","disadvantaged","Y","43"
"","2148","same-different-html","107","1023294","0.0-3.0-104.0","","3372-8","""hesitant""","""himahima.wav""","90","free","RNAdj","different","1","D","hesitant","Y","44"
"","1551","same-different-html","108","1027853","0.0-3.0-105.0","","3372-8","""vulgar""","""gowagowa.wav""","90","stiff","RI","different","1","D","vulgar","Y","45"
