"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":5227}]","5229","instructions","0","5236","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1398},{""page_index"":1,""viewing_time"":4568},{""page_index"":2,""viewing_time"":15168},{""page_index"":3,""viewing_time"":11191},{""page_index"":4,""viewing_time"":4904}]","37230","instructions","1","42468","0.0-1.0","","","","","","","","","","","","",""
"","11202","survey-multi-choice","2","53689","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1849},{""page_index"":1,""viewing_time"":2472}]","4322","instructions","3","58016","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3130","same-different-html-trial","4","67245","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4285}]","4285","instructions","5","72547","0.0-3.0-2.0","","","","","","","","","","","","",""
"","12581","same-different-html","6","87162","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4394}]","4394","instructions","7","92566","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2479","same-different-html","8","97062","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1455},{""page_index"":1,""viewing_time"":2663}]","4118","instructions","9","102189","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1836","same-different-html-trial","10","110104","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1963}]","1963","instructions","11","113137","0.0-3.0-8.0","","","","","","","","","","","","",""
"","18680","same-different-html","12","133843","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","90","","","same","0","","","0",""
"","3107","same-different-html","13","140002","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1827},{""page_index"":1,""viewing_time"":3131}]","4960","instructions","14","145970","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1772","same-different-html-trial","15","153795","0.0-3.0-12.0","","131-10","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","1"
"","694","same-different-html-trial","16","161576","0.0-3.0-13.0","","131-10","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","2"
"","450","same-different-html-trial","17","169084","0.0-3.0-14.0","","131-10","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","3"
"","1052","same-different-html-trial","18","177226","0.0-3.0-15.0","","131-10","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","4"
"","754","same-different-html-trial","19","185055","0.0-3.0-16.0","","131-10","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","5"
