"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":3213}]","3213","instructions","0","3215","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7583},{""page_index"":1,""viewing_time"":1480},{""page_index"":2,""viewing_time"":1920},{""page_index"":3,""viewing_time"":6768},{""page_index"":4,""viewing_time"":28297}]","46048","instructions","1","49263","0.0-1.0","","","","","","","","","","","","",""
"","9309","survey-multi-choice","2","58577","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1846},{""page_index"":1,""viewing_time"":4257}]","6103","instructions","3","64680","0.0-3.0-0.0","","","","","","","","","","","","",""
"","6096","same-different-html-trial","4","76792","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3196}]","3196","instructions","5","80992","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7218","same-different-html","6","90217","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2596}]","2596","instructions","7","93816","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3658","same-different-html","8","99481","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2589},{""page_index"":1,""viewing_time"":1785}]","4374","instructions","9","104857","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2051","same-different-html-trial","10","112923","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4940}]","4940","instructions","11","118865","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3792","same-different-html","12","124666","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3685","same-different-html","13","131362","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1860},{""page_index"":1,""viewing_time"":18137}]","19997","instructions","14","152362","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2221","same-different-html-trial","15","160595","0.0-3.0-12.0","","6285-8","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","1"
"","1925","same-different-html-trial","16","169540","0.0-3.0-13.0","","6285-8","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","2"
"","2344","same-different-html-trial","17","178907","0.0-3.0-14.0","","6285-8","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","3"
"","1918","same-different-html-trial","18","187836","0.0-3.0-15.0","","6285-8","""happy""","""uki.wav""","32","happy","SRI","","","","","","4"
"","5429","same-different-html-trial","19","200284","0.0-3.0-16.0","","6285-8","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","5"
"","2772","same-different-html-trial","20","210077","0.0-3.0-17.0","","6285-8","""whole""","""goso.wav""","32","whole","NRI","","","","","","6"
"","2961","same-different-html-trial","21","220060","0.0-3.0-18.0","","6285-8","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","7"
"","2919","same-different-html-trial","22","229999","0.0-3.0-19.0","","6285-8","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","8"
"","2996","same-different-html-trial","23","240013","0.0-3.0-20.0","","6285-8","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","9"
"","2247","same-different-html-trial","24","249285","0.0-3.0-21.0","","6285-8","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","10"
"","1552","same-different-html-trial","25","257854","0.0-3.0-22.0","","6285-8","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","11"
"","2802","same-different-html-trial","26","267678","0.0-3.0-23.0","","6285-8","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","12"
"","905","same-different-html-trial","27","275607","0.0-3.0-24.0","","6285-8","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","13"
"","2572","same-different-html-trial","28","285198","0.0-3.0-25.0","","6285-8","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","14"
