"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2299}]","2300","instructions","0","2303","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1327},{""page_index"":1,""viewing_time"":2519},{""page_index"":2,""viewing_time"":2072},{""page_index"":3,""viewing_time"":9271},{""page_index"":4,""viewing_time"":3231}]","18421","instructions","1","20724","0.0-1.0","","","","","","","","","","","","",""
"","13715","survey-multi-choice","2","34447","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4009},{""page_index"":1,""viewing_time"":4589}]","8598","instructions","3","43046","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5821","same-different-html-trial","4","54892","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1218}]","1218","instructions","5","57114","0.0-3.0-2.0","","","","","","","","","","","","",""
"","12235","same-different-html","6","71356","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":4055}]","4056","instructions","7","76414","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3149","same-different-html","8","81572","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":1184},{""page_index"":1,""viewing_time"":1360}]","2545","instructions","9","85122","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1403","same-different-html-trial","10","92546","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1563}]","1564","instructions","11","95112","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4979","same-different-html","12","102103","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
