"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":5056}]","5057","instructions","0","5059","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1436},{""page_index"":1,""viewing_time"":2696},{""page_index"":2,""viewing_time"":1971},{""page_index"":3,""viewing_time"":8882},{""page_index"":4,""viewing_time"":36959}]","51944","instructions","1","57003","0.0-1.0","","","","","","","","","","","","",""
"","10162","survey-multi-choice","2","67168","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4370},{""page_index"":1,""viewing_time"":7492}]","11863","instructions","3","79031","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5765","same-different-html-trial","4","90807","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9051}]","9051","instructions","5","100861","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4671","same-different-html","6","107535","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3225}]","3225","instructions","7","111761","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2722","same-different-html","8","116486","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3212},{""page_index"":1,""viewing_time"":2430}]","5642","instructions","9","123130","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3910","same-different-html-trial","10","133045","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2561}]","2562","instructions","11","136608","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1763","same-different-html","12","140373","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1756","same-different-html","13","145135","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1852},{""page_index"":1,""viewing_time"":22115}]","23968","instructions","14","170104","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5143","same-different-html-trial","15","181255","0.0-3.0-12.0","","3136-6","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","1"
"","8279","same-different-html-trial","16","196541","0.0-3.0-13.0","","3136-6","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","2"
"","5751","same-different-html-trial","17","209301","0.0-3.0-14.0","","3136-6","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","3"
"","5810","same-different-html-trial","18","222117","0.0-3.0-15.0","","3136-6","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","4"
"","2450","same-different-html-trial","19","231573","0.0-3.0-16.0","","3136-6","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","5"
"","2002","same-different-html-trial","20","240582","0.0-3.0-17.0","","3136-6","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","6"
"","3843","same-different-html-trial","21","251429","0.0-3.0-18.0","","3136-6","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","7"
"","2104","same-different-html-trial","22","260541","0.0-3.0-19.0","","3136-6","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","8"
"","7402","same-different-html-trial","23","274950","0.0-3.0-20.0","","3136-6","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","9"
"","6120","same-different-html-trial","24","288077","0.0-3.0-21.0","","3136-6","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","10"
"","5010","same-different-html-trial","25","300094","0.0-3.0-22.0","","3136-6","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","11"
"","4986","same-different-html-trial","26","312085","0.0-3.0-23.0","","3136-6","""rare""","""mare.wav""","32","rare","NAdj","","","","","","12"
"","4521","same-different-html-trial","27","323614","0.0-3.0-24.0","","3136-6","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","13"
"","3442","same-different-html-trial","28","334061","0.0-3.0-25.0","","3136-6","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","14"
"","4112","same-different-html-trial","29","345181","0.0-3.0-26.0","","3136-6","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","15"
"","4585","same-different-html-trial","30","356774","0.0-3.0-27.0","","3136-6","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","16"
"","6930","same-different-html-trial","31","370710","0.0-3.0-28.0","","3136-6","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","17"
"","2188","same-different-html-trial","32","379902","0.0-3.0-29.0","","3136-6","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","18"
"","5761","same-different-html-trial","33","392670","0.0-3.0-30.0","","3136-6","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","19"
"","36913","same-different-html-trial","34","436590","0.0-3.0-31.0","","3136-6","""messy""","""gocha.wav""","32","messy","SRI","","","","","","20"
"","1893","same-different-html-trial","35","445494","0.0-3.0-32.0","","3136-6","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","21"
"","3516","same-different-html-trial","36","456014","0.0-3.0-33.0","","3136-6","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","22"
"","17999","same-different-html-trial","37","481022","0.0-3.0-34.0","","3136-6","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","23"
"","3257","same-different-html-trial","38","491286","0.0-3.0-35.0","","3136-6","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","24"
"","1602","same-different-html-trial","39","499894","0.0-3.0-36.0","","3136-6","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","25"
"","3767","same-different-html-trial","40","510670","0.0-3.0-37.0","","3136-6","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","26"
"","1674","same-different-html-trial","41","519350","0.0-3.0-38.0","","3136-6","""messy""","""gocha.wav""","32","messy","SRI","","","","","","27"
"","1505","same-different-html-trial","42","527861","0.0-3.0-39.0","","3136-6","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","28"
"","1506","same-different-html-trial","43","536374","0.0-3.0-40.0","","3136-6","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","29"
"","2641","same-different-html-trial","44","546021","0.0-3.0-41.0","","3136-6","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","30"
"","2050","same-different-html-trial","45","555077","0.0-3.0-42.0","","3136-6","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","31"
"","2017","same-different-html-trial","46","564102","0.0-3.0-43.0","","3136-6","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","32"
"","1623","same-different-html-trial","47","572734","0.0-3.0-44.0","","3136-6","""rare""","""mare.wav""","32","rare","NAdj","","","","","","33"
"","1802","same-different-html-trial","48","581542","0.0-3.0-45.0","","3136-6","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","34"
"","1243","same-different-html-trial","49","589791","0.0-3.0-46.0","","3136-6","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","35"
"","1745","same-different-html-trial","50","598542","0.0-3.0-47.0","","3136-6","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","36"
"","1746","same-different-html-trial","51","607293","0.0-3.0-48.0","","3136-6","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","37"
"","2034","same-different-html-trial","52","616335","0.0-3.0-49.0","","3136-6","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","38"
"","1642","same-different-html-trial","53","624982","0.0-3.0-50.0","","3136-6","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","39"
"","1843","same-different-html-trial","54","633830","0.0-3.0-51.0","","3136-6","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","40"
"","3802","same-different-html-trial","55","644638","0.0-3.0-52.0","","3136-6","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","41"
"","1410","same-different-html-trial","56","653054","0.0-3.0-53.0","","3136-6","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","42"
