"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":17043}]","17044","instructions","0","17044","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1274},{""page_index"":1,""viewing_time"":1841},{""page_index"":2,""viewing_time"":736},{""page_index"":3,""viewing_time"":727},{""page_index"":4,""viewing_time"":1188}]","5766","instructions","1","22811","0.0-1.0","","","","","","","","","","","","",""
"","8438","survey-multi-choice","2","31262","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1494},{""page_index"":1,""viewing_time"":4014}]","5508","instructions","3","36772","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3855","same-different-html-trial","4","46640","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8044}]","8045","instructions","5","55688","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5862","same-different-html","6","63556","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":1701}]","1701","instructions","7","66263","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2860","same-different-html","8","71135","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2404},{""page_index"":1,""viewing_time"":2216}]","4620","instructions","9","76760","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2363","same-different-html-trial","10","85139","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2908}]","2909","instructions","11","89053","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2901","same-different-html","12","93958","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2843","same-different-html","13","99812","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":8641},{""page_index"":1,""viewing_time"":38832}]","47474","instructions","14","148289","0.0-3.0-11.0","","","","","","","","","","","","",""
"","498","same-different-html-trial","15","154796","0.0-3.0-12.0","","1598-3","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","1"
"","299","same-different-html-trial","16","162118","0.0-3.0-13.0","","1598-3","""rude""","""zuke.wav""","32","rude","SRI","","","","","","2"
"","3075","same-different-html-trial","17","172206","0.0-3.0-14.0","","1598-3","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","3"
"","3390","same-different-html-trial","18","182614","0.0-3.0-15.0","","1598-3","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","4"
"","19097","same-different-html-trial","19","209663","0.0-3.0-16.0","","1598-3","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","5"
"","1156","same-different-html-trial","20","217837","0.0-3.0-17.0","","1598-3","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","6"
"","1731","same-different-html-trial","21","226586","0.0-3.0-18.0","","1598-3","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","7"
"","782","same-different-html-trial","22","234389","0.0-3.0-19.0","","1598-3","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","8"
"","1310","same-different-html-trial","23","242720","0.0-3.0-20.0","","1598-3","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","9"
"","67","same-different-html-trial","24","249801","0.0-3.0-21.0","","1598-3","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","10"
"","1166","same-different-html-trial","25","257985","0.0-3.0-22.0","","1598-3","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","11"
"","1352","same-different-html-trial","26","266354","0.0-3.0-23.0","","1598-3","""happy""","""uki.wav""","32","happy","SRI","","","","","","12"
"","2505","same-different-html-trial","27","275882","0.0-3.0-24.0","","1598-3","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","13"
"","116","same-different-html-trial","28","283016","0.0-3.0-25.0","","1598-3","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","14"
"","663","same-different-html-trial","29","290702","0.0-3.0-26.0","","1598-3","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","15"
"","153","same-different-html-trial","30","297878","0.0-3.0-27.0","","1598-3","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","16"
"","584","same-different-html-trial","31","305481","0.0-3.0-28.0","","1598-3","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","17"
"","650","same-different-html-trial","32","313149","0.0-3.0-29.0","","1598-3","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","18"
"","420","same-different-html-trial","33","320586","0.0-3.0-30.0","","1598-3","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","19"
"","230","same-different-html-trial","34","327833","0.0-3.0-31.0","","1598-3","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","20"
"","3510","same-different-html-trial","35","338360","0.0-3.0-32.0","","1598-3","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","21"
"","94","same-different-html-trial","36","345476","0.0-3.0-33.0","","1598-3","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","22"
"","318","same-different-html-trial","37","352808","0.0-3.0-34.0","","1598-3","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","23"
"","443","same-different-html-trial","38","360266","0.0-3.0-35.0","","1598-3","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","24"
"","51","same-different-html-trial","39","367337","0.0-3.0-36.0","","1598-3","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","25"
"","251","same-different-html-trial","40","374609","0.0-3.0-37.0","","1598-3","""rude""","""zuke.wav""","32","rude","SRI","","","","","","26"
"","126","same-different-html-trial","41","381758","0.0-3.0-38.0","","1598-3","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","27"
"","4078","same-different-html-trial","42","392855","0.0-3.0-39.0","","1598-3","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","28"
"","385","same-different-html-trial","43","400252","0.0-3.0-40.0","","1598-3","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","29"
"","103","same-different-html-trial","44","407647","0.0-3.0-41.0","","1598-3","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","30"
"","111","same-different-html-trial","45","414774","0.0-3.0-42.0","","1598-3","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","31"
