"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":4842}]","4842","instructions","0","4842","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1137},{""page_index"":1,""viewing_time"":1344},{""page_index"":2,""viewing_time"":1703},{""page_index"":3,""viewing_time"":6942},{""page_index"":4,""viewing_time"":26687}]","37814","instructions","1","42659","0.0-1.0","","","","","","","","","","","","",""
"","7555","survey-multi-choice","2","50239","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1635},{""page_index"":1,""viewing_time"":1587}]","3222","instructions","3","53463","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2480","same-different-html-trial","4","61960","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2691}]","2692","instructions","5","65655","0.0-3.0-2.0","","","","","","","","","","","","",""
"","2701","same-different-html","6","70372","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3144}]","3145","instructions","7","74521","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3177","same-different-html","8","79710","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3280},{""page_index"":1,""viewing_time"":1739}]","5020","instructions","9","85735","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1759","same-different-html-trial","10","93505","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2924}]","2924","instructions","11","97433","0.0-3.0-8.0","","","","","","","","","","","","",""
"","18219","same-different-html","12","117657","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","90","","","same","0","","","0",""
"","3025","same-different-html","13","123688","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1914},{""page_index"":1,""viewing_time"":4974}]","6889","instructions","14","131581","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2222","same-different-html-trial","15","139821","0.0-3.0-12.0","","6342-9","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","1"
"","2318","same-different-html-trial","16","149153","0.0-3.0-13.0","","6342-9","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","2"
"","1238","same-different-html-trial","17","157408","0.0-3.0-14.0","","6342-9","""fat""","""debudebu.wav""","32","fat","RI","","","","","","3"
"","1283","same-different-html-trial","18","165704","0.0-3.0-15.0","","6342-9","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","4"
"","3257","same-different-html-trial","19","175976","0.0-3.0-16.0","","6342-9","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","5"
"","4765","same-different-html-trial","20","187753","0.0-3.0-17.0","","6342-9","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","6"
"","849","same-different-html-trial","21","195609","0.0-3.0-18.0","","6342-9","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","7"
"","2944","same-different-html-trial","22","205561","0.0-3.0-19.0","","6342-9","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","8"
"","1701","same-different-html-trial","23","214280","0.0-3.0-20.0","","6342-9","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","9"
"","5950","same-different-html-trial","24","227241","0.0-3.0-21.0","","6342-9","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","10"
"","1481","same-different-html-trial","25","235738","0.0-3.0-22.0","","6342-9","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","11"
"","693","same-different-html-trial","26","243441","0.0-3.0-23.0","","6342-9","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","12"
"","1139","same-different-html-trial","27","251600","0.0-3.0-24.0","","6342-9","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","13"
"","1713","same-different-html-trial","28","260328","0.0-3.0-25.0","","6342-9","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","14"
"","1073","same-different-html-trial","29","268409","0.0-3.0-26.0","","6342-9","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","15"
"","1273","same-different-html-trial","30","276696","0.0-3.0-27.0","","6342-9","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","16"
"","1266","same-different-html-trial","31","284977","0.0-3.0-28.0","","6342-9","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","17"
"","1156","same-different-html-trial","32","293145","0.0-3.0-29.0","","6342-9","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","18"
"","648","same-different-html-trial","33","300800","0.0-3.0-30.0","","6342-9","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","19"
"","1327","same-different-html-trial","34","309144","0.0-3.0-31.0","","6342-9","""happy""","""uki.wav""","32","happy","SRI","","","","","","20"
"","950","same-different-html-trial","35","317104","0.0-3.0-32.0","","6342-9","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","21"
"","1209","same-different-html-trial","36","325328","0.0-3.0-33.0","","6342-9","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","22"
"","1746","same-different-html-trial","37","334088","0.0-3.0-34.0","","6342-9","""plump""","""potchari.wav""","32","plump","NRI","","","","","","23"
"","2001","same-different-html-trial","38","343097","0.0-3.0-35.0","","6342-9","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","24"
"","1182","same-different-html-trial","39","351296","0.0-3.0-36.0","","6342-9","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","25"
"","2005","same-different-html-trial","40","360312","0.0-3.0-37.0","","6342-9","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","26"
"","189","same-different-html-trial","41","367504","0.0-3.0-38.0","","6342-9","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","27"
"","337","same-different-html-trial","42","374865","0.0-3.0-39.0","","6342-9","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","28"
"","345","same-different-html-trial","43","382217","0.0-3.0-40.0","","6342-9","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","29"
"","1836","same-different-html-trial","44","391064","0.0-3.0-41.0","","6342-9","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","30"
"","486","same-different-html-trial","45","398560","0.0-3.0-42.0","","6342-9","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","31"
"","2623","same-different-html-trial","46","408192","0.0-3.0-43.0","","6342-9","""fat""","""debudebu.wav""","32","fat","RI","","","","","","32"
"","429","same-different-html-trial","47","415632","0.0-3.0-44.0","","6342-9","""plump""","""potchari.wav""","32","plump","NRI","","","","","","33"
"","919","same-different-html-trial","48","423568","0.0-3.0-45.0","","6342-9","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","34"
"","1028","same-different-html-trial","49","431608","0.0-3.0-46.0","","6342-9","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","35"
"","20439","same-different-html-trial","50","459064","0.0-3.0-47.0","","6342-9","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","36"
"","349","same-different-html-trial","51","466428","0.0-3.0-48.0","","6342-9","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","37"
"","605","same-different-html-trial","52","474051","0.0-3.0-49.0","","6342-9","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","38"
"","631","same-different-html-trial","53","481700","0.0-3.0-50.0","","6342-9","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","39"
"","1146","same-different-html-trial","54","489865","0.0-3.0-51.0","","6342-9","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","40"
"","557","same-different-html-trial","55","497432","0.0-3.0-52.0","","6342-9","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","41"
"","1173","same-different-html-trial","56","505617","0.0-3.0-53.0","","6342-9","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","42"
"","674","same-different-html-trial","57","513302","0.0-3.0-54.0","","6342-9","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","43"
"","721","same-different-html-trial","58","521032","0.0-3.0-55.0","","6342-9","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","44"
"","407","same-different-html-trial","59","528449","0.0-3.0-56.0","","6342-9","""happy""","""uki.wav""","32","happy","SRI","","","","","","45"
"","455","same-different-html-trial","60","535913","0.0-3.0-57.0","","6342-9","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","46"
"","374","same-different-html-trial","61","543296","0.0-3.0-58.0","","6342-9","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","47"
"","933","same-different-html-trial","62","551240","0.0-3.0-59.0","","6342-9","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":9054}]","9054","instructions","63","561296","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3537","same-different-html","64","566840","0.0-3.0-61.0","","6342-9","""rare""","""maremare.wav""","90","rare","RNAdj","same","0","T","rare","Y","1"
"","5760","same-different-html","65","575609","0.0-3.0-62.0","","6342-9","""shivering""","""buruburu.wav""","90","shivering","RI","same","0","T","shivering","Y","2"
