"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7801}]","7804","instructions","0","7811","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4364},{""page_index"":1,""viewing_time"":10988},{""page_index"":2,""viewing_time"":12696},{""page_index"":3,""viewing_time"":4673},{""page_index"":4,""viewing_time"":86360}]","119082","instructions","1","126897","0.0-1.0","","","","","","","","","","","","",""
"","19152","survey-multi-choice","2","146071","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4954},{""page_index"":1,""viewing_time"":10633}]","15590","instructions","3","161664","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3987","same-different-html-trial","4","171683","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8176}]","8178","instructions","5","180862","0.0-3.0-2.0","","","","","","","","","","","","",""
"","3492","same-different-html","6","186367","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5316}]","5316","instructions","7","192685","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2639","same-different-html","8","197338","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1860},{""page_index"":1,""viewing_time"":3701}]","5561","instructions","9","203914","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2671","same-different-html-trial","10","212601","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7560}]","7562","instructions","11","221163","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3475","same-different-html","12","226642","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1878","same-different-html","13","231528","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2606},{""page_index"":1,""viewing_time"":17620}]","20227","instructions","14","252757","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2904","same-different-html-trial","15","261676","0.0-3.0-12.0","","6651-8","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","1"
"","4717","same-different-html-trial","16","273409","0.0-3.0-13.0","","6651-8","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","2"
"","4461","same-different-html-trial","17","284887","0.0-3.0-14.0","","6651-8","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","3"
"","3688","same-different-html-trial","18","295591","0.0-3.0-15.0","","6651-8","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","4"
"","4401","same-different-html-trial","19","307012","0.0-3.0-16.0","","6651-8","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","5"
"","3974","same-different-html-trial","20","318000","0.0-3.0-17.0","","6651-8","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","6"
"","4037","same-different-html-trial","21","329058","0.0-3.0-18.0","","6651-8","""free""","""hima.wav""","32","free","NAdj","","","","","","7"
"","4918","same-different-html-trial","22","340992","0.0-3.0-19.0","","6651-8","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","8"
"","4657","same-different-html-trial","23","352665","0.0-3.0-20.0","","6651-8","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","9"
"","3470","same-different-html-trial","24","363157","0.0-3.0-21.0","","6651-8","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","10"
"","4042","same-different-html-trial","25","374214","0.0-3.0-22.0","","6651-8","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","11"
"","3879","same-different-html-trial","26","385122","0.0-3.0-23.0","","6651-8","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","12"
"","3790","same-different-html-trial","27","395926","0.0-3.0-24.0","","6651-8","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","13"
"","7476","same-different-html-trial","28","410417","0.0-3.0-25.0","","6651-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","14"
"","3143","same-different-html-trial","29","420581","0.0-3.0-26.0","","6651-8","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","15"
"","5226","same-different-html-trial","30","432822","0.0-3.0-27.0","","6651-8","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","16"
"","4584","same-different-html-trial","31","444422","0.0-3.0-28.0","","6651-8","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","17"
"","1573","same-different-html-trial","32","453011","0.0-3.0-29.0","","6651-8","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","18"
"","4297","same-different-html-trial","33","464325","0.0-3.0-30.0","","6651-8","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","19"
"","1301","same-different-html-trial","34","472665","0.0-3.0-31.0","","6651-8","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","20"
"","1638","same-different-html-trial","35","481319","0.0-3.0-32.0","","6651-8","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","21"
"","1624","same-different-html-trial","36","489952","0.0-3.0-33.0","","6651-8","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","22"
"","2734","same-different-html-trial","37","499748","0.0-3.0-34.0","","6651-8","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","23"
"","1536","same-different-html-trial","38","508303","0.0-3.0-35.0","","6651-8","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","24"
"","2479","same-different-html-trial","39","517795","0.0-3.0-36.0","","6651-8","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","25"
"","176","same-different-html-trial","40","524986","0.0-3.0-37.0","","6651-8","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","26"
"","4667","same-different-html-trial","41","536667","0.0-3.0-38.0","","6651-8","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","27"
"","2705","same-different-html-trial","42","546387","0.0-3.0-39.0","","6651-8","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","28"
"","1559","same-different-html-trial","43","554966","0.0-3.0-40.0","","6651-8","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","29"
"","913","same-different-html-trial","44","562894","0.0-3.0-41.0","","6651-8","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","30"
