"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":10119}]","10119","instructions","0","10124","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1675},{""page_index"":1,""viewing_time"":1741},{""page_index"":2,""viewing_time"":3326},{""page_index"":3,""viewing_time"":7583},{""page_index"":4,""viewing_time"":41352}]","55677","instructions","1","65801","0.0-1.0","","","","","","","","","","","","",""
"","22261","survey-multi-choice","2","88072","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2518},{""page_index"":1,""viewing_time"":9286}]","11805","instructions","3","99877","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4036","same-different-html-trial","4","109933","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":18259}]","18259","instructions","5","129201","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5607","same-different-html","6","136812","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4889}]","4890","instructions","7","142703","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3239","same-different-html","8","147979","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":11258},{""page_index"":1,""viewing_time"":1702}]","12960","instructions","9","161939","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1217","same-different-html-trial","10","169177","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2880}]","2880","instructions","11","173059","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3241","same-different-html","12","178302","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3183","same-different-html","13","184492","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1442},{""page_index"":1,""viewing_time"":3547}]","4990","instructions","14","190486","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1712","same-different-html-trial","15","198203","0.0-3.0-12.0","","451-10","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","1"
"","421","same-different-html-trial","16","205632","0.0-3.0-13.0","","451-10","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","2"
"","1067","same-different-html-trial","17","213712","0.0-3.0-14.0","","451-10","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","3"
"","524","same-different-html-trial","18","221246","0.0-3.0-15.0","","451-10","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","4"
"","454","same-different-html-trial","19","228726","0.0-3.0-16.0","","451-10","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","5"
"","6091","same-different-html-trial","20","241823","0.0-3.0-17.0","","451-10","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","6"
"","523","same-different-html-trial","21","250132","0.0-3.0-18.0","","451-10","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","7"
"","646","same-different-html-trial","22","258272","0.0-3.0-19.0","","451-10","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","8"
"","638","same-different-html-trial","23","265921","0.0-3.0-20.0","","451-10","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","9"
"","414","same-different-html-trial","24","273353","0.0-3.0-21.0","","451-10","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","10"
"","1117","same-different-html-trial","25","281484","0.0-3.0-22.0","","451-10","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","11"
"","2312","same-different-html-trial","26","290803","0.0-3.0-23.0","","451-10","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","12"
"","8824","same-different-html-trial","27","306635","0.0-3.0-24.0","","451-10","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","13"
"","1419","same-different-html-trial","28","315065","0.0-3.0-25.0","","451-10","""whole""","""goso.wav""","32","whole","NRI","","","","","","14"
"","6914","same-different-html-trial","29","328992","0.0-3.0-26.0","","451-10","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","15"
"","498","same-different-html-trial","30","336511","0.0-3.0-27.0","","451-10","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","16"
"","541","same-different-html-trial","31","344059","0.0-3.0-28.0","","451-10","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","17"
"","4283","same-different-html-trial","32","355358","0.0-3.0-29.0","","451-10","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","18"
"","3242","same-different-html-trial","33","365622","0.0-3.0-30.0","","451-10","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","19"
"","6553","same-different-html-trial","34","379177","0.0-3.0-31.0","","451-10","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","20"
"","1354","same-different-html-trial","35","387539","0.0-3.0-32.0","","451-10","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","21"
"","319","same-different-html-trial","36","394866","0.0-3.0-33.0","","451-10","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","22"
"","761","same-different-html-trial","37","402631","0.0-3.0-34.0","","451-10","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","23"
"","1437","same-different-html-trial","38","411101","0.0-3.0-35.0","","451-10","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","24"
"","551","same-different-html-trial","39","418656","0.0-3.0-36.0","","451-10","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","25"
"","1375","same-different-html-trial","40","427038","0.0-3.0-37.0","","451-10","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","26"
"","6234","same-different-html-trial","41","442851","0.0-3.0-38.0","","451-10","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","27"
"","3290","same-different-html-trial","42","453150","0.0-3.0-39.0","","451-10","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","28"
"","376","same-different-html-trial","43","460981","0.0-3.0-40.0","","451-10","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","29"
"","2299","same-different-html-trial","44","470291","0.0-3.0-41.0","","451-10","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","30"
"","4887","same-different-html-trial","45","482237","0.0-3.0-42.0","","451-10","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","31"
"","5071","same-different-html-trial","46","494330","0.0-3.0-43.0","","451-10","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","32"
"","1151","same-different-html-trial","47","502504","0.0-3.0-44.0","","451-10","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","33"
"","1024","same-different-html-trial","48","510537","0.0-3.0-45.0","","451-10","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","34"
"","412","same-different-html-trial","49","517954","0.0-3.0-46.0","","451-10","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","35"
"","936","same-different-html-trial","50","525901","0.0-3.0-47.0","","451-10","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","36"
"","277","same-different-html-trial","51","533185","0.0-3.0-48.0","","451-10","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","37"
"","665","same-different-html-trial","52","540853","0.0-3.0-49.0","","451-10","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","38"
"","2585","same-different-html-trial","53","551408","0.0-3.0-50.0","","451-10","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","39"
"","537","same-different-html-trial","54","559011","0.0-3.0-51.0","","451-10","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","40"
"","2480","same-different-html-trial","55","568500","0.0-3.0-52.0","","451-10","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","41"
"","1014","same-different-html-trial","56","576566","0.0-3.0-53.0","","451-10","""whole""","""goso.wav""","32","whole","NRI","","","","","","42"
"","1267","same-different-html-trial","57","584842","0.0-3.0-54.0","","451-10","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","43"
"","1349","same-different-html-trial","58","593201","0.0-3.0-55.0","","451-10","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","44"
"","355","same-different-html-trial","59","600572","0.0-3.0-56.0","","451-10","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","45"
"","1957","same-different-html-trial","60","609540","0.0-3.0-57.0","","451-10","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","46"
"","937","same-different-html-trial","61","617485","0.0-3.0-58.0","","451-10","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","47"
"","8041","same-different-html-trial","62","632532","0.0-3.0-59.0","","451-10","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":16925}]","16925","instructions","63","650458","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3966","same-different-html","64","656427","0.0-3.0-61.0","","451-10","""whole""","""bisshiribisshiri.wav""","90","crowded","RNRI","different","1","D","whole","Y","1"
"","1672","same-different-html","65","661116","0.0-3.0-62.0","","451-10","""hesitant""","""goso.wav""","191","whole","NRI","different","0","D","hesitant","Y","2"
"","1639","same-different-html","66","665758","0.0-3.0-63.0","","451-10","""wobbly""","""yura.wav""","90","wobbly","SRI","same","0","T","wobbly","Y","3"
"","4011","same-different-html","67","672770","0.0-3.0-64.0","","451-10","""fragile""","""garagara.wav""","191","to change ocmpletely","RNRI","different","0","D","fragile","Y","4"
"","2485","same-different-html","68","678288","0.0-3.0-65.0","","451-10","""gaudy""","""muri.wav""","90","impossible","NAdj","different","1","D","gaudy","Y","5"
"","2270","same-different-html","69","683576","0.0-3.0-66.0","","451-10","""harsh""","""koku.wav""","90","harsh","NAdj","same","0","T","harsh","Y","6"
"","8027","same-different-html","70","695624","0.0-3.0-67.0","","451-10","""hesitant""","""moji.wav""","90","hesitant","SRI","same","0","T","hesitant","Y","7"
"","3518","same-different-html","71","702144","0.0-3.0-68.0","","451-10","""crowded""","""bisshiribisshiri.wav""","90","crowded","RNRI","same","0","T","crowded","Y","8"
"","1971","same-different-html","72","707118","0.0-3.0-69.0","","451-10","""to change ocmpletely""","""garagara.wav""","191","to change ocmpletely","RNRI","same","1","T","to change ocmpletely","Y","9"
"","3188","same-different-html","73","713309","0.0-3.0-70.0","","451-10","""whispering""","""hisohiso.wav""","90","whispering","RI","same","0","T","whispering","Y","10"
"","3526","same-different-html","74","719848","0.0-3.0-71.0","","451-10","""fast asleep""","""gussurigussuri.wav""","90","fast asleep","RNRI","same","0","T","fast asleep","Y","11"
"","1539","same-different-html","75","724393","0.0-3.0-72.0","","451-10","""sloppy""","""zatsu.wav""","191","sloppy","NAdj","same","1","T","sloppy","Y","12"
"","4461","same-different-html","76","731880","0.0-3.0-73.0","","451-10","""noisy""","""gayagaya.wav""","90","noisy","RI","same","0","T","noisy","Y","13"
"","4739","same-different-html","77","739625","0.0-3.0-74.0","","451-10","""fast asleep""","""potcharipotchari.wav""","191","plump","RNRI","different","0","D","fast asleep","Y","14"
"","4316","same-different-html","78","746946","0.0-3.0-75.0","","451-10","""nonchalantly""","""kero.wav""","191","nonchalantly","NRI","same","1","T","nonchalantly","Y","15"
"","2595","same-different-html","79","752545","0.0-3.0-76.0","","451-10","""useless""","""damedame.wav""","90","useless","RNAdj","same","0","T","useless","Y","16"
"","4345","same-different-html","80","759899","0.0-3.0-77.0","","451-10","""worn out""","""buru.wav""","90","shivering","SRI","different","1","D","worn out","Y","17"
"","1661","same-different-html","81","764621","0.0-3.0-78.0","","451-10","""gaping""","""poka.wav""","191","gaping","NRI","same","1","T","gaping","Y","18"
"","7200","same-different-html","82","774822","0.0-3.0-79.0","","451-10","""chatty""","""bera.wav""","90","chatty","SRI","same","0","T","chatty","Y","19"
"","5221","same-different-html","83","783048","0.0-3.0-80.0","","451-10","""crowded""","""poka.wav""","90","gaping","NRI","different","1","D","crowded","Y","20"
"","2220","same-different-html","84","788275","0.0-3.0-81.0","","451-10","""whole""","""goso.wav""","191","whole","NRI","same","1","T","whole","Y","21"
"","3431","same-different-html","85","794717","0.0-3.0-82.0","","451-10","""suspenseful""","""harahara.wav""","191","suspenseful","RI","same","1","T","suspenseful","Y","22"
"","2294","same-different-html","86","800018","0.0-3.0-83.0","","451-10","""vulgar""","""zokuzoku.wav""","90","vulgar","RNAdj","same","0","T","vulgar","Y","23"
