"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":3471}]","3471","instructions","0","3473","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1889},{""page_index"":1,""viewing_time"":6981},{""page_index"":2,""viewing_time"":2781},{""page_index"":3,""viewing_time"":3287},{""page_index"":4,""viewing_time"":35264}]","50202","instructions","1","53675","0.0-1.0","","","","","","","","","","","","",""
"","20485","survey-multi-choice","2","74166","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2141},{""page_index"":1,""viewing_time"":4868}]","7009","instructions","3","81175","0.0-3.0-0.0","","","","","","","","","","","","",""
"","6479","same-different-html-trial","4","93671","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5589}]","5589","instructions","5","100261","0.0-3.0-2.0","","","","","","","","","","","","",""
"","14768","same-different-html","6","117033","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5118}]","5118","instructions","7","123153","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2489","same-different-html","8","127648","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4237},{""page_index"":1,""viewing_time"":2598}]","6836","instructions","9","135486","0.0-3.0-6.0","","","","","","","","","","","","",""
"","6331","same-different-html-trial","10","147827","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5112}]","5112","instructions","11","153939","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4269","same-different-html","12","160213","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1686","same-different-html","13","164905","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":5116},{""page_index"":1,""viewing_time"":15232}]","20348","instructions","14","186254","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5541","same-different-html-trial","15","197800","0.0-3.0-12.0","","4028-1","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","1"
"","4130","same-different-html-trial","16","208940","0.0-3.0-13.0","","4028-1","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","2"
"","3794","same-different-html-trial","17","219747","0.0-3.0-14.0","","4028-1","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","3"
"","2403","same-different-html-trial","18","229161","0.0-3.0-15.0","","4028-1","""useless""","""dame.wav""","32","useless","NAdj","","","","","","4"
"","6971","same-different-html-trial","19","243144","0.0-3.0-16.0","","4028-1","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","5"
"","1195","same-different-html-trial","20","251348","0.0-3.0-17.0","","4028-1","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","6"
"","3560","same-different-html-trial","21","261915","0.0-3.0-18.0","","4028-1","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","7"
"","1264","same-different-html-trial","22","270189","0.0-3.0-19.0","","4028-1","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","8"
"","363","same-different-html-trial","23","277561","0.0-3.0-20.0","","4028-1","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","9"
"","2173","same-different-html-trial","24","286740","0.0-3.0-21.0","","4028-1","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","10"
"","9757","same-different-html-trial","25","303888","0.0-3.0-22.0","","4028-1","""whole""","""goso.wav""","32","whole","NRI","","","","","","11"
"","2689","same-different-html-trial","26","313589","0.0-3.0-23.0","","4028-1","""free""","""hima.wav""","32","free","NAdj","","","","","","12"
"","5201","same-different-html-trial","27","325799","0.0-3.0-24.0","","4028-1","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","13"
"","3404","same-different-html-trial","28","336209","0.0-3.0-25.0","","4028-1","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","14"
"","3415","same-different-html-trial","29","346631","0.0-3.0-26.0","","4028-1","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","15"
"","1297","same-different-html-trial","30","354938","0.0-3.0-27.0","","4028-1","""fat""","""debudebu.wav""","32","fat","RI","","","","","","16"
"","3908","same-different-html-trial","31","365857","0.0-3.0-28.0","","4028-1","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","17"
