"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":118607}]","118608","instructions","0","118608","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1631},{""page_index"":1,""viewing_time"":2944},{""page_index"":2,""viewing_time"":5416},{""page_index"":3,""viewing_time"":6263},{""page_index"":4,""viewing_time"":33385}]","49639","instructions","1","168247","0.0-1.0","","","","","","","","","","","","",""
"","13174","survey-multi-choice","2","181424","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2143},{""page_index"":1,""viewing_time"":4440}]","6583","instructions","3","188007","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4275","same-different-html-trial","4","198288","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6029}]","6030","instructions","5","205319","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5717","same-different-html","6","213040","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2230}]","2230","instructions","7","216272","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3508","same-different-html","8","221783","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3177},{""page_index"":1,""viewing_time"":1879}]","5057","instructions","9","227839","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2075","same-different-html-trial","10","235919","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3079}]","3079","instructions","11","239999","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3068","same-different-html","12","245071","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3076","same-different-html","13","251152","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1061},{""page_index"":1,""viewing_time"":19136}]","20197","instructions","14","272350","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2908","same-different-html-trial","15","281263","0.0-3.0-12.0","","2269-3","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","1"
"","3171","same-different-html-trial","16","291439","0.0-3.0-13.0","","2269-3","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","2"
"","2049","same-different-html-trial","17","300496","0.0-3.0-14.0","","2269-3","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","3"
"","4099","same-different-html-trial","18","311600","0.0-3.0-15.0","","2269-3","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","4"
"","2018","same-different-html-trial","19","320623","0.0-3.0-16.0","","2269-3","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","5"
"","2355","same-different-html-trial","20","329984","0.0-3.0-17.0","","2269-3","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","6"
"","2258","same-different-html-trial","21","339248","0.0-3.0-18.0","","2269-3","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","7"
"","2386","same-different-html-trial","22","348639","0.0-3.0-19.0","","2269-3","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","8"
"","2770","same-different-html-trial","23","358416","0.0-3.0-20.0","","2269-3","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","9"
