"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":3299}]","3300","instructions","0","3303","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2000},{""page_index"":1,""viewing_time"":1460},{""page_index"":2,""viewing_time"":1182},{""page_index"":3,""viewing_time"":3925},{""page_index"":4,""viewing_time"":40760}]","49328","instructions","1","52631","0.0-1.0","","","","","","","","","","","","",""
"","15116","survey-multi-choice","2","67758","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2560},{""page_index"":1,""viewing_time"":5565}]","8125","instructions","3","75883","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5089","same-different-html-trial","4","87004","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3705}]","3705","instructions","5","91710","0.0-3.0-2.0","","","","","","","","","","","","",""
"","11336","same-different-html","6","105058","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":4065}]","4065","instructions","7","110129","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3816","same-different-html","8","115954","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3939},{""page_index"":1,""viewing_time"":2360}]","6300","instructions","9","123257","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1445","same-different-html-trial","10","130721","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3047}]","3047","instructions","11","134770","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4096","same-different-html","12","140874","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1597","same-different-html","13","145481","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1442},{""page_index"":1,""viewing_time"":15378}]","16820","instructions","14","163304","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1543","same-different-html-trial","15","170872","0.0-3.0-12.0","","539-3","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","1"
"","4129","same-different-html-trial","16","182026","0.0-3.0-13.0","","539-3","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","2"
"","1683","same-different-html-trial","17","190729","0.0-3.0-14.0","","539-3","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","3"
"","3148","same-different-html-trial","18","200898","0.0-3.0-15.0","","539-3","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","4"
"","2689","same-different-html-trial","19","210609","0.0-3.0-16.0","","539-3","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","5"
"","2422","same-different-html-trial","20","220057","0.0-3.0-17.0","","539-3","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","6"
"","1916","same-different-html-trial","21","228999","0.0-3.0-18.0","","539-3","""happy""","""uki.wav""","32","happy","SRI","","","","","","7"
"","2498","same-different-html-trial","22","238521","0.0-3.0-19.0","","539-3","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","8"
"","2867","same-different-html-trial","23","248410","0.0-3.0-20.0","","539-3","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","9"
"","2224","same-different-html-trial","24","257655","0.0-3.0-21.0","","539-3","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","10"
"","2284","same-different-html-trial","25","266961","0.0-3.0-22.0","","539-3","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","11"
"","2381","same-different-html-trial","26","276362","0.0-3.0-23.0","","539-3","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","12"
"","2131","same-different-html-trial","27","285521","0.0-3.0-24.0","","539-3","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","13"
"","2321","same-different-html-trial","28","294865","0.0-3.0-25.0","","539-3","""fat""","""debu.wav""","32","fat","SRI","","","","","","14"
"","2508","same-different-html-trial","29","304400","0.0-3.0-26.0","","539-3","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","15"
"","1938","same-different-html-trial","30","313362","0.0-3.0-27.0","","539-3","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","16"
"","2793","same-different-html-trial","31","323178","0.0-3.0-28.0","","539-3","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","17"
"","1955","same-different-html-trial","32","332160","0.0-3.0-29.0","","539-3","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","18"
"","1665","same-different-html-trial","33","340849","0.0-3.0-30.0","","539-3","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","19"
"","1803","same-different-html-trial","34","349672","0.0-3.0-31.0","","539-3","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","20"
"","2266","same-different-html-trial","35","358953","0.0-3.0-32.0","","539-3","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","21"
"","3289","same-different-html-trial","36","369263","0.0-3.0-33.0","","539-3","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","22"
"","2815","same-different-html-trial","37","379104","0.0-3.0-34.0","","539-3","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","23"
"","1533","same-different-html-trial","38","387658","0.0-3.0-35.0","","539-3","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","24"
"","1858","same-different-html-trial","39","396537","0.0-3.0-36.0","","539-3","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","25"
"","1894","same-different-html-trial","40","405456","0.0-3.0-37.0","","539-3","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","26"
"","1633","same-different-html-trial","41","414112","0.0-3.0-38.0","","539-3","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","27"
"","1946","same-different-html-trial","42","423080","0.0-3.0-39.0","","539-3","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","28"
"","1891","same-different-html-trial","43","435001","0.0-3.0-40.0","","539-3","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","29"
"","2373","same-different-html-trial","44","444401","0.0-3.0-41.0","","539-3","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","30"
"","2702","same-different-html-trial","45","454130","0.0-3.0-42.0","","539-3","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","31"
"","2241","same-different-html-trial","46","463394","0.0-3.0-43.0","","539-3","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","32"
"","1901","same-different-html-trial","47","472320","0.0-3.0-44.0","","539-3","""happy""","""uki.wav""","32","happy","SRI","","","","","","33"
"","2479","same-different-html-trial","48","481824","0.0-3.0-45.0","","539-3","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","34"
"","2719","same-different-html-trial","49","491569","0.0-3.0-46.0","","539-3","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","35"
"","2188","same-different-html-trial","50","500783","0.0-3.0-47.0","","539-3","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","36"
"","2220","same-different-html-trial","51","510026","0.0-3.0-48.0","","539-3","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","37"
