"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":3605}]","3605","instructions","0","3606","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1726},{""page_index"":1,""viewing_time"":1337},{""page_index"":2,""viewing_time"":1450},{""page_index"":3,""viewing_time"":4056},{""page_index"":4,""viewing_time"":21068}]","29637","instructions","1","33244","0.0-1.0","","","","","","","","","","","","",""
"","13048","survey-multi-choice","2","46294","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1567},{""page_index"":1,""viewing_time"":4428}]","5995","instructions","3","52290","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5574","same-different-html-trial","4","63875","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3719}]","3719","instructions","5","68596","0.0-3.0-2.0","","","","","","","","","","","","",""
"","9184","same-different-html","6","79786","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3388}]","3388","instructions","7","84176","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3159","same-different-html","8","89338","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3401},{""page_index"":1,""viewing_time"":1733}]","5134","instructions","9","95475","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1936","same-different-html-trial","10","103417","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2837}]","2837","instructions","11","107256","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3590","same-different-html","12","112850","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2981","same-different-html","13","118834","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2053},{""page_index"":1,""viewing_time"":12527}]","14581","instructions","14","134417","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5293","same-different-html-trial","15","145715","0.0-3.0-12.0","","6285-9","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","1"
"","5100","same-different-html-trial","16","157818","0.0-3.0-13.0","","6285-9","""wobbly""","""yurayura.wav""","32","wobbly","RI","","","","","","2"
"","2618","same-different-html-trial","17","167442","0.0-3.0-14.0","","6285-9","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","3"
"","2762","same-different-html-trial","18","177211","0.0-3.0-15.0","","6285-9","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","4"
"","3097","same-different-html-trial","19","187315","0.0-3.0-16.0","","6285-9","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","5"
"","2296","same-different-html-trial","20","196619","0.0-3.0-17.0","","6285-9","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","6"
"","2113","same-different-html-trial","21","205739","0.0-3.0-18.0","","6285-9","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","7"
"","2803","same-different-html-trial","22","215547","0.0-3.0-19.0","","6285-9","""rare""","""mare.wav""","32","rare","NAdj","","","","","","8"
"","1821","same-different-html-trial","23","224379","0.0-3.0-20.0","","6285-9","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","9"
"","1963","same-different-html-trial","24","233347","0.0-3.0-21.0","","6285-9","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","10"
"","2206","same-different-html-trial","25","242562","0.0-3.0-22.0","","6285-9","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","11"
"","1873","same-different-html-trial","26","251442","0.0-3.0-23.0","","6285-9","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","12"
"","2225","same-different-html-trial","27","260675","0.0-3.0-24.0","","6285-9","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","13"
"","2475","same-different-html-trial","28","270155","0.0-3.0-25.0","","6285-9","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","14"
"","2442","same-different-html-trial","29","279602","0.0-3.0-26.0","","6285-9","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","15"
"","1832","same-different-html-trial","30","288442","0.0-3.0-27.0","","6285-9","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","16"
"","2344","same-different-html-trial","31","297802","0.0-3.0-28.0","","6285-9","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","17"
"","1905","same-different-html-trial","32","306714","0.0-3.0-29.0","","6285-9","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","18"
"","3153","same-different-html-trial","33","316874","0.0-3.0-30.0","","6285-9","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","19"
"","2278","same-different-html-trial","34","326163","0.0-3.0-31.0","","6285-9","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","20"
"","1718","same-different-html-trial","35","334890","0.0-3.0-32.0","","6285-9","""happy""","""uki.wav""","32","happy","SRI","","","","","","21"
"","1649","same-different-html-trial","36","343546","0.0-3.0-33.0","","6285-9","""whole""","""goso.wav""","32","whole","NRI","","","","","","22"
"","2259","same-different-html-trial","37","352810","0.0-3.0-34.0","","6285-9","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","23"
"","2857","same-different-html-trial","38","362675","0.0-3.0-35.0","","6285-9","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","24"
"","4530","same-different-html-trial","39","374218","0.0-3.0-36.0","","6285-9","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","25"
"","672","same-different-html-trial","40","381898","0.0-3.0-37.0","","6285-9","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","26"
"","1800","same-different-html-trial","41","390708","0.0-3.0-38.0","","6285-9","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","27"
"","2295","same-different-html-trial","42","400011","0.0-3.0-39.0","","6285-9","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","28"
"","4254","same-different-html-trial","43","411275","0.0-3.0-40.0","","6285-9","""wobbly""","""yurayura.wav""","32","wobbly","RI","","","","","","29"
"","1770","same-different-html-trial","44","420051","0.0-3.0-41.0","","6285-9","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","30"
"","2280","same-different-html-trial","45","429338","0.0-3.0-42.0","","6285-9","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","31"
"","13969","same-different-html-trial","46","450315","0.0-3.0-43.0","","6285-9","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","32"
"","2021","same-different-html-trial","47","459362","0.0-3.0-44.0","","6285-9","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","33"
