"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7894}]","7895","instructions","0","7896","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2287},{""page_index"":1,""viewing_time"":10870},{""page_index"":2,""viewing_time"":6649},{""page_index"":3,""viewing_time"":15824},{""page_index"":4,""viewing_time"":74136}]","109767","instructions","1","117664","0.0-1.0","","","","","","","","","","","","",""
"","22388","survey-multi-choice","2","140056","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1751},{""page_index"":1,""viewing_time"":11768}]","13519","instructions","3","153575","0.0-3.0-0.0","","","","","","","","","","","","",""
"","6123","same-different-html-trial","4","165718","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4727}]","4727","instructions","5","171447","0.0-3.0-2.0","","","","","","","","","","","","",""
"","581","same-different-html","6","174036","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4513}]","4513","instructions","7","179550","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1240","same-different-html","8","182795","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3050},{""page_index"":1,""viewing_time"":1608}]","4658","instructions","9","188455","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3483","same-different-html-trial","10","197955","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3915}]","3915","instructions","11","202871","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2047","same-different-html","12","206927","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1530","same-different-html","13","211464","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4116},{""page_index"":1,""viewing_time"":81841}]","85957","instructions","14","298423","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2401","same-different-html-trial","15","306836","0.0-3.0-12.0","","6189-6","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","1"
"","2151","same-different-html-trial","16","316000","0.0-3.0-13.0","","6189-6","""happy""","""uki.wav""","32","happy","SRI","","","","","","2"
"","1645","same-different-html-trial","17","324657","0.0-3.0-14.0","","6189-6","""chatty""","""berabera.wav""","32","chatty","RI","","","","","","3"
"","1377","same-different-html-trial","18","333044","0.0-3.0-15.0","","6189-6","""humid""","""mushi.wav""","32","humid","SRI","","","","","","4"
"","9454","same-different-html-trial","19","349508","0.0-3.0-16.0","","6189-6","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","5"
"","1208","same-different-html-trial","20","357730","0.0-3.0-17.0","","6189-6","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","6"
