"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":4560}]","4562","instructions","0","4563","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1686},{""page_index"":1,""viewing_time"":2977},{""page_index"":2,""viewing_time"":9647},{""page_index"":3,""viewing_time"":8941},{""page_index"":4,""viewing_time"":30145}]","53397","instructions","1","57960","0.0-1.0","","","","","","","","","","","","",""
"","11730","survey-multi-choice","2","69695","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1820},{""page_index"":1,""viewing_time"":4228}]","6048","instructions","3","75743","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2905","same-different-html-trial","4","84659","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5663}]","5664","instructions","5","91325","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4577","same-different-html","6","97908","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2573}]","2573","instructions","7","101481","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4806","same-different-html","8","108291","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4866},{""page_index"":1,""viewing_time"":1736}]","6603","instructions","9","115896","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3844","same-different-html-trial","10","125748","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2331}]","2331","instructions","11","129079","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3175","same-different-html","12","134260","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3157","same-different-html","13","140420","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2092},{""page_index"":1,""viewing_time"":17328}]","19420","instructions","14","160842","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1817","same-different-html-trial","15","168668","0.0-3.0-12.0","","6269-2","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","1"
"","1680","same-different-html-trial","16","177357","0.0-3.0-13.0","","6269-2","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","2"
"","1749","same-different-html-trial","17","186115","0.0-3.0-14.0","","6269-2","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","3"
"","3633","same-different-html-trial","18","196756","0.0-3.0-15.0","","6269-2","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","4"
"","1802","same-different-html-trial","19","205571","0.0-3.0-16.0","","6269-2","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","5"
"","3010","same-different-html-trial","20","215590","0.0-3.0-17.0","","6269-2","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","6"
"","2166","same-different-html-trial","21","224764","0.0-3.0-18.0","","6269-2","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","7"
"","2623","same-different-html-trial","22","234396","0.0-3.0-19.0","","6269-2","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","8"
"","2470","same-different-html-trial","23","243875","0.0-3.0-20.0","","6269-2","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","9"
"","2265","same-different-html-trial","24","253150","0.0-3.0-21.0","","6269-2","""offended""","""kachin.wav""","32","offended","NRI","","","","","","10"
"","1332","same-different-html-trial","25","261491","0.0-3.0-22.0","","6269-2","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","11"
"","2766","same-different-html-trial","26","271267","0.0-3.0-23.0","","6269-2","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","12"
"","2514","same-different-html-trial","27","280787","0.0-3.0-24.0","","6269-2","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","13"
"","2711","same-different-html-trial","28","290507","0.0-3.0-25.0","","6269-2","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","14"
"","2790","same-different-html-trial","29","300307","0.0-3.0-26.0","","6269-2","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","15"
"","2799","same-different-html-trial","30","310116","0.0-3.0-27.0","","6269-2","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","16"
"","5846","same-different-html-trial","31","322972","0.0-3.0-28.0","","6269-2","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","17"
"","1941","same-different-html-trial","32","331924","0.0-3.0-29.0","","6269-2","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","18"
"","3158","same-different-html-trial","33","342092","0.0-3.0-30.0","","6269-2","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","19"
"","5118","same-different-html-trial","34","354220","0.0-3.0-31.0","","6269-2","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","20"
"","2670","same-different-html-trial","35","363898","0.0-3.0-32.0","","6269-2","""useless""","""dame.wav""","32","useless","NAdj","","","","","","21"
"","3211","same-different-html-trial","36","374116","0.0-3.0-33.0","","6269-2","""happy""","""uki.wav""","32","happy","SRI","","","","","","22"
"","5341","same-different-html-trial","37","386467","0.0-3.0-34.0","","6269-2","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","23"
"","6189","same-different-html-trial","38","399667","0.0-3.0-35.0","","6269-2","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","24"
"","2944","same-different-html-trial","39","409619","0.0-3.0-36.0","","6269-2","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","25"
"","3417","same-different-html-trial","40","420051","0.0-3.0-37.0","","6269-2","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","26"
"","2117","same-different-html-trial","41","429179","0.0-3.0-38.0","","6269-2","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","27"
"","1744","same-different-html-trial","42","437933","0.0-3.0-39.0","","6269-2","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","28"
"","2702","same-different-html-trial","43","447644","0.0-3.0-40.0","","6269-2","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","29"
"","384","same-different-html-trial","44","455035","0.0-3.0-41.0","","6269-2","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","30"
"","1701","same-different-html-trial","45","463747","0.0-3.0-42.0","","6269-2","""happy""","""uki.wav""","32","happy","SRI","","","","","","31"
"","1677","same-different-html-trial","46","472437","0.0-3.0-43.0","","6269-2","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","32"
"","1892","same-different-html-trial","47","481339","0.0-3.0-44.0","","6269-2","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","33"
"","1711","same-different-html-trial","48","490060","0.0-3.0-45.0","","6269-2","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","34"
"","2142","same-different-html-trial","49","499212","0.0-3.0-46.0","","6269-2","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","35"
"","3316","same-different-html-trial","50","509540","0.0-3.0-47.0","","6269-2","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","36"
"","5413","same-different-html-trial","51","521964","0.0-3.0-48.0","","6269-2","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","37"
"","11354","same-different-html-trial","52","540332","0.0-3.0-49.0","","6269-2","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","38"
"","3775","same-different-html-trial","53","551116","0.0-3.0-50.0","","6269-2","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","39"
"","1021","same-different-html-trial","54","559147","0.0-3.0-51.0","","6269-2","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","40"
"","1887","same-different-html-trial","55","568044","0.0-3.0-52.0","","6269-2","""offended""","""kachin.wav""","32","offended","NRI","","","","","","41"
"","3062","same-different-html-trial","56","578115","0.0-3.0-53.0","","6269-2","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","42"
"","3095","same-different-html-trial","57","588220","0.0-3.0-54.0","","6269-2","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","43"
"","5096","same-different-html-trial","58","600323","0.0-3.0-55.0","","6269-2","""useless""","""dame.wav""","32","useless","NAdj","","","","","","44"
"","2014","same-different-html-trial","59","609348","0.0-3.0-56.0","","6269-2","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","45"
"","764","same-different-html-trial","60","617123","0.0-3.0-57.0","","6269-2","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","46"
"","1322","same-different-html-trial","61","625459","0.0-3.0-58.0","","6269-2","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","47"
"","1992","same-different-html-trial","62","634461","0.0-3.0-59.0","","6269-2","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":15104}]","15105","instructions","63","650567","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3230","same-different-html","64","655803","0.0-3.0-61.0","","6269-2","""fragile""","""gara.wav""","90","to change ocmpletely","NRI","different","1","D","fragile","Y","1"
"","1748","same-different-html","65","660555","0.0-3.0-62.0","","6269-2","""worn out""","""dame.wav""","90","useless","NAdj","different","1","D","worn out","Y","2"
"","1753","same-different-html","66","665315","0.0-3.0-63.0","","6269-2","""disadvantaged""","""zokuzoku.wav""","191","vulgar","RNAdj","different","0","D","disadvantaged","Y","3"
"","1655","same-different-html","67","669979","0.0-3.0-64.0","","6269-2","""to change ocmpletely""","""furifuri.wav""","191","disadvantaged","RNAdj","different","0","D","to change ocmpletely","Y","4"
"","1826","same-different-html","68","674812","0.0-3.0-65.0","","6269-2","""subdued""","""jimijimi.wav""","90","subdued","RNAdj","same","0","T","subdued","Y","5"
"","2266","same-different-html","69","680087","0.0-3.0-66.0","","6269-2","""subdued""","""seka.wav""","90","hasty","SRI","different","1","D","subdued","Y","6"
"","1946","same-different-html","70","685035","0.0-3.0-67.0","","6269-2","""harsh""","""koku.wav""","90","harsh","NAdj","same","0","T","harsh","Y","7"
"","2195","same-different-html","71","690235","0.0-3.0-68.0","","6269-2","""careful""","""jikkurijikkuri.wav""","191","careful","RNRI","same","1","T","careful","Y","8"
"","1861","same-different-html","72","695100","0.0-3.0-69.0","","6269-2","""whole""","""gosogoso.wav""","191","whole","RNRI","same","1","T","whole","Y","9"
"","1433","same-different-html","73","699539","0.0-3.0-70.0","","6269-2","""resolute""","""moji.wav""","90","hesitant","SRI","different","1","D","resolute","Y","10"
"","2051","same-different-html","74","704596","0.0-3.0-71.0","","6269-2","""sturdy""","""batchiribatchiri.wav""","90","perfect","RNRI","different","1","D","sturdy","Y","11"
"","1741","same-different-html","75","709340","0.0-3.0-72.0","","6269-2","""glossy""","""tsuya.wav""","191","glossy","SRI","same","1","T","glossy","Y","12"
"","2298","same-different-html","76","714643","0.0-3.0-73.0","","6269-2","""agitated""","""hikuhiku.wav""","191","agitated","RI","same","1","T","agitated","Y","13"
"","1777","same-different-html","77","719428","0.0-3.0-74.0","","6269-2","""worn out""","""boroboro.wav""","90","worn out","RI","same","0","T","worn out","Y","14"
"","2559","same-different-html","78","724994","0.0-3.0-75.0","","6269-2","""vulgar""","""zokuzoku.wav""","191","vulgar","RNAdj","same","1","T","vulgar","Y","15"
"","1682","same-different-html","79","729683","0.0-3.0-76.0","","6269-2","""hesitant""","""yawa.wav""","90","fragile","NAdj","different","1","D","hesitant","Y","16"
