"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":10714}]","10715","instructions","0","10716","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1822},{""page_index"":1,""viewing_time"":7392},{""page_index"":2,""viewing_time"":1634},{""page_index"":3,""viewing_time"":6502},{""page_index"":4,""viewing_time"":71274}]","88625","instructions","1","99345","0.0-1.0","","","","","","","","","","","","",""
"","21203","survey-multi-choice","2","120561","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1431},{""page_index"":1,""viewing_time"":2663}]","4095","instructions","3","124658","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2272","same-different-html-trial","4","132951","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3743}]","3745","instructions","5","137696","0.0-3.0-2.0","","","","","","","","","","","","",""
"","3746","same-different-html","6","143448","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2247}]","2248","instructions","7","146695","0.0-3.0-4.0","","","","","","","","","","","","",""
"","6924","same-different-html","8","155621","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1708},{""page_index"":1,""viewing_time"":1236}]","2944","instructions","9","159566","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1104","same-different-html-trial","10","166680","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":788}]","789","instructions","11","168469","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3418","same-different-html","12","173890","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3324","same-different-html","13","180218","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1579},{""page_index"":1,""viewing_time"":16771}]","18351","instructions","14","199570","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2067","same-different-html-trial","15","208814","0.0-3.0-12.0","","7788-4","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","1"
"","1943","same-different-html-trial","16","217764","0.0-3.0-13.0","","7788-4","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","2"
"","17574","same-different-html-trial","17","244321","0.0-3.0-14.0","","7788-4","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","3"
"","36793","same-different-html-trial","18","290539","0.0-3.0-15.0","","7788-4","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","4"
"","1304","same-different-html-trial","19","300756","0.0-3.0-16.0","","7788-4","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","5"
"","153","same-different-html-trial","20","310544","0.0-3.0-17.0","","7788-4","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","6"
"","2294","same-different-html-trial","21","322042","0.0-3.0-18.0","","7788-4","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","7"
"","28155","same-different-html-trial","22","360905","0.0-3.0-19.0","","7788-4","""pure""","""muku.wav""","32","pure","NAdj","","","","","","8"
"","1056","same-different-html-trial","23","369478","0.0-3.0-20.0","","7788-4","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","9"
"","61421","same-different-html-trial","24","441167","0.0-3.0-21.0","","7788-4","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","10"
"","13153","same-different-html-trial","25","464900","0.0-3.0-22.0","","7788-4","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","11"
"","712","same-different-html-trial","26","474462","0.0-3.0-23.0","","7788-4","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","12"
"","1320","same-different-html-trial","27","484066","0.0-3.0-24.0","","7788-4","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","13"
"","8747","same-different-html-trial","28","503492","0.0-3.0-25.0","","7788-4","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","14"
"","8379","same-different-html-trial","29","522126","0.0-3.0-26.0","","7788-4","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","15"
"","1075","same-different-html-trial","30","532222","0.0-3.0-27.0","","7788-4","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","16"
"","312","same-different-html-trial","31","541061","0.0-3.0-28.0","","7788-4","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","17"
"","8397","same-different-html-trial","32","559145","0.0-3.0-29.0","","7788-4","""fat""","""debudebu.wav""","32","fat","RI","","","","","","18"
"","9255","same-different-html-trial","33","579002","0.0-3.0-30.0","","7788-4","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","19"
"","472","same-different-html-trial","34","588249","0.0-3.0-31.0","","7788-4","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","20"
"","415","same-different-html-trial","35","596945","0.0-3.0-32.0","","7788-4","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","21"
"","1837","same-different-html-trial","36","609584","0.0-3.0-33.0","","7788-4","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","22"
"","982","same-different-html-trial","37","618893","0.0-3.0-34.0","","7788-4","""free""","""himahima.wav""","32","free","RNAdj","","","","","","23"
"","250","same-different-html-trial","38","627999","0.0-3.0-35.0","","7788-4","""useless""","""dame.wav""","32","useless","NAdj","","","","","","24"
"","327","same-different-html-trial","39","636077","0.0-3.0-36.0","","7788-4","""useless""","""dame.wav""","32","useless","NAdj","","","","","","25"
"","417","same-different-html-trial","40","644167","0.0-3.0-37.0","","7788-4","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","26"
"","1099","same-different-html-trial","41","652849","0.0-3.0-38.0","","7788-4","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","27"
"","1931","same-different-html-trial","42","665678","0.0-3.0-39.0","","7788-4","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","28"
"","9424","same-different-html-trial","43","685175","0.0-3.0-40.0","","7788-4","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","29"
"","5333","same-different-html-trial","44","701080","0.0-3.0-41.0","","7788-4","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","30"
"","251","same-different-html-trial","45","710836","0.0-3.0-42.0","","7788-4","""free""","""himahima.wav""","32","free","RNAdj","","","","","","31"
"","502","same-different-html-trial","46","722049","0.0-3.0-43.0","","7788-4","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","32"
"","8179","same-different-html-trial","47","740924","0.0-3.0-44.0","","7788-4","""pure""","""muku.wav""","32","pure","NAdj","","","","","","33"
"","374","same-different-html-trial","48","749141","0.0-3.0-45.0","","7788-4","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","34"
"","515","same-different-html-trial","49","757264","0.0-3.0-46.0","","7788-4","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","35"
"","650","same-different-html-trial","50","764918","0.0-3.0-47.0","","7788-4","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","36"
"","590","same-different-html-trial","51","772514","0.0-3.0-48.0","","7788-4","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","37"
"","603","same-different-html-trial","52","781351","0.0-3.0-49.0","","7788-4","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","38"
"","508","same-different-html-trial","53","790149","0.0-3.0-50.0","","7788-4","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","39"
"","457","same-different-html-trial","54","798204","0.0-3.0-51.0","","7788-4","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","40"
"","1350","same-different-html-trial","55","807096","0.0-3.0-52.0","","7788-4","""fat""","""debudebu.wav""","32","fat","RI","","","","","","41"
"","1092","same-different-html-trial","56","816844","0.0-3.0-53.0","","7788-4","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","42"
"","1918","same-different-html-trial","57","825767","0.0-3.0-54.0","","7788-4","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","43"
"","1294","same-different-html-trial","58","834069","0.0-3.0-55.0","","7788-4","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","44"
"","500","same-different-html-trial","59","841574","0.0-3.0-56.0","","7788-4","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","45"
"","3642","same-different-html-trial","60","852221","0.0-3.0-57.0","","7788-4","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","46"
"","4987","same-different-html-trial","61","864215","0.0-3.0-58.0","","7788-4","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","47"
"","388","same-different-html-trial","62","871611","0.0-3.0-59.0","","7788-4","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":3545}]","3547","instructions","63","876158","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3977","same-different-html","64","882136","0.0-3.0-61.0","","7788-4","""disadvantaged""","""furifuri.wav""","191","disadvantaged","RNAdj","same","1","T","disadvantaged","Y","1"
"","1765","same-different-html","65","886905","0.0-3.0-62.0","","7788-4","""sudden""","""zukezuke.wav""","90","rude","RI","different","1","D","sudden","Y","2"
"","974","same-different-html","66","890880","0.0-3.0-63.0","","7788-4","""beneficial""","""muku.wav""","191","pure","NAdj","different","0","D","beneficial","Y","3"
"","1938","same-different-html","67","895820","0.0-3.0-64.0","","7788-4","""suspenseful""","""kukkirikukkiri.wav""","191","clear","RNRI","different","0","D","suspenseful","Y","4"
"","1838","same-different-html","68","900660","0.0-3.0-65.0","","7788-4","""impossible""","""nopperi.wav""","191","smooth","NRI","different","0","D","impossible","Y","5"
"","1442","same-different-html","69","905109","0.0-3.0-66.0","","7788-4","""suspenseful""","""hara.wav""","90","suspenseful","SRI","same","0","T","suspenseful","Y","6"
"","1746","same-different-html","70","909857","0.0-3.0-67.0","","7788-4","""hasty""","""sekaseka.wav""","191","hasty","RI","same","1","T","hasty","Y","7"
"","1947","same-different-html","71","914807","0.0-3.0-68.0","","7788-4","""pure""","""muku.wav""","191","pure","NAdj","same","1","T","pure","Y","8"
"","1524","same-different-html","72","919333","0.0-3.0-69.0","","7788-4","""to change ocmpletely""","""garagara.wav""","90","to change ocmpletely","RNRI","same","0","T","to change ocmpletely","Y","9"
"","1465","same-different-html","73","923800","0.0-3.0-70.0","","7788-4","""pure""","""gowa.wav""","90","stiff","SRI","different","1","D","pure","Y","10"
"","1112","same-different-html","74","927914","0.0-3.0-71.0","","7788-4","""excessive""","""kabi.wav""","191","gaudy","NAdj","different","0","D","excessive","Y","11"
"","1746","same-different-html","75","932661","0.0-3.0-72.0","","7788-4","""happy""","""sekaseka.wav""","191","hasty","RI","different","0","D","happy","Y","12"
"","1313","same-different-html","76","936978","0.0-3.0-73.0","","7788-4","""smooth""","""gaku.wav""","191","dejected","NRI","different","0","D","smooth","Y","13"
