"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":69683}]","69683","instructions","0","69684","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2598},{""page_index"":1,""viewing_time"":12024},{""page_index"":2,""viewing_time"":7472},{""page_index"":3,""viewing_time"":19225},{""page_index"":4,""viewing_time"":46623}]","87942","instructions","1","157628","0.0-1.0","","","","","","","","","","","","",""
"","18185","survey-multi-choice","2","175817","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1592},{""page_index"":1,""viewing_time"":8017}]","9609","instructions","3","185427","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4138","same-different-html-trial","4","195571","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5446}]","5446","instructions","5","202019","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4723","same-different-html","6","208745","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4351}]","4351","instructions","7","214097","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3017","same-different-html","8","219119","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4703},{""page_index"":1,""viewing_time"":3103}]","7806","instructions","9","227925","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2030","same-different-html-trial","10","235960","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4774}]","4774","instructions","11","241735","0.0-3.0-8.0","","","","","","","","","","","","",""
"","49002","same-different-html","12","292739","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3217","same-different-html","13","298960","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2462},{""page_index"":1,""viewing_time"":17301}]","19763","instructions","14","319723","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2822","same-different-html-trial","15","328551","0.0-3.0-12.0","","8795-8","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","1"
"","2125","same-different-html-trial","16","337682","0.0-3.0-13.0","","8795-8","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","2"
"","1105","same-different-html-trial","17","345794","0.0-3.0-14.0","","8795-8","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","3"
"","1818","same-different-html-trial","18","354619","0.0-3.0-15.0","","8795-8","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","4"
"","2281","same-different-html-trial","19","363905","0.0-3.0-16.0","","8795-8","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","5"
"","1689","same-different-html-trial","20","372603","0.0-3.0-17.0","","8795-8","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","6"
"","4486","same-different-html-trial","21","384097","0.0-3.0-18.0","","8795-8","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","7"
"","2918","same-different-html-trial","22","394022","0.0-3.0-19.0","","8795-8","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","8"
"","1730","same-different-html-trial","23","402759","0.0-3.0-20.0","","8795-8","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","9"
"","1536","same-different-html-trial","24","411300","0.0-3.0-21.0","","8795-8","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","10"
"","1474","same-different-html-trial","25","419781","0.0-3.0-22.0","","8795-8","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","11"
"","2024","same-different-html-trial","26","428810","0.0-3.0-23.0","","8795-8","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","12"
"","2049","same-different-html-trial","27","437864","0.0-3.0-24.0","","8795-8","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","13"
"","1270","same-different-html-trial","28","446140","0.0-3.0-25.0","","8795-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","14"
"","2308","same-different-html-trial","29","455454","0.0-3.0-26.0","","8795-8","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","15"
"","1380","same-different-html-trial","30","463838","0.0-3.0-27.0","","8795-8","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","16"
"","1660","same-different-html-trial","31","472502","0.0-3.0-28.0","","8795-8","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","17"
"","2476","same-different-html-trial","32","481983","0.0-3.0-29.0","","8795-8","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","18"
"","1471","same-different-html-trial","33","490461","0.0-3.0-30.0","","8795-8","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","19"
"","1702","same-different-html-trial","34","499171","0.0-3.0-31.0","","8795-8","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","20"
"","1570","same-different-html-trial","35","507747","0.0-3.0-32.0","","8795-8","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","21"
"","2444","same-different-html-trial","36","517195","0.0-3.0-33.0","","8795-8","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","22"
"","4914","same-different-html-trial","37","529116","0.0-3.0-34.0","","8795-8","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","23"
"","2806","same-different-html-trial","38","538926","0.0-3.0-35.0","","8795-8","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","24"
"","8246","same-different-html-trial","39","554178","0.0-3.0-36.0","","8795-8","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","25"
"","1882","same-different-html-trial","40","563064","0.0-3.0-37.0","","8795-8","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","26"
"","1864","same-different-html-trial","41","571932","0.0-3.0-38.0","","8795-8","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","27"
"","1038","same-different-html-trial","42","579976","0.0-3.0-39.0","","8795-8","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","28"
"","9346","same-different-html-trial","43","596324","0.0-3.0-40.0","","8795-8","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","29"
"","1773","same-different-html-trial","44","605102","0.0-3.0-41.0","","8795-8","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","30"
"","359","same-different-html-trial","45","612464","0.0-3.0-42.0","","8795-8","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","31"
"","1349","same-different-html-trial","46","620821","0.0-3.0-43.0","","8795-8","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","32"
"","870","same-different-html-trial","47","628698","0.0-3.0-44.0","","8795-8","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","33"
"","1204","same-different-html-trial","48","636905","0.0-3.0-45.0","","8795-8","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","34"
"","5627","same-different-html-trial","49","649537","0.0-3.0-46.0","","8795-8","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","35"
"","1367","same-different-html-trial","50","657911","0.0-3.0-47.0","","8795-8","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","36"
"","5687","same-different-html-trial","51","670606","0.0-3.0-48.0","","8795-8","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","37"
"","1697","same-different-html-trial","52","679308","0.0-3.0-49.0","","8795-8","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","38"
"","2205","same-different-html-trial","53","688519","0.0-3.0-50.0","","8795-8","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","39"
"","1423","same-different-html-trial","54","696949","0.0-3.0-51.0","","8795-8","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","40"
"","5180","same-different-html-trial","55","709132","0.0-3.0-52.0","","8795-8","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","41"
"","1161","same-different-html-trial","56","717296","0.0-3.0-53.0","","8795-8","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","42"
"","1511","same-different-html-trial","57","725811","0.0-3.0-54.0","","8795-8","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","43"
"","1558","same-different-html-trial","58","734375","0.0-3.0-55.0","","8795-8","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","44"
"","1236","same-different-html-trial","59","742616","0.0-3.0-56.0","","8795-8","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","45"
"","1448","same-different-html-trial","60","751071","0.0-3.0-57.0","","8795-8","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","46"
"","1327","same-different-html-trial","61","759404","0.0-3.0-58.0","","8795-8","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","47"
"","1166","same-different-html-trial","62","767574","0.0-3.0-59.0","","8795-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","48"
"[{""page_index"":0,""viewing_time"":11940}]","11940","instructions","63","780515","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3100","same-different-html","64","785618","0.0-3.0-61.0","","8795-8","""rash""","""furi.wav""","90","disadvantaged","NAdj","different","1","D","rash","Y","1"
"","13609","same-different-html","65","802230","0.0-3.0-62.0","","8795-8","""gaping""","""poka.wav""","191","gaping","NRI","same","1","T","gaping","Y","2"
"","6693","same-different-html","66","811925","0.0-3.0-63.0","","8795-8","""stiff""","""gowa.wav""","191","stiff","SRI","same","1","T","stiff","Y","3"
"","5091","same-different-html","67","820016","0.0-3.0-64.0","","8795-8","""sullen""","""gowa.wav""","191","stiff","SRI","different","0","D","sullen","Y","4"
"","2867","same-different-html","68","825889","0.0-3.0-65.0","","8795-8","""chubby""","""bisshiri.wav""","90","crowded","NRI","different","1","D","chubby","Y","5"
"","3920","same-different-html","69","832814","0.0-3.0-66.0","","8795-8","""noisy""","""gochagocha.wav""","191","messy","RI","different","0","D","noisy","Y","6"
"","5505","same-different-html","70","841320","0.0-3.0-67.0","","8795-8","""subdued""","""yawa.wav""","191","fragile","NAdj","different","0","D","subdued","Y","7"
"","4342","same-different-html","71","848664","0.0-3.0-68.0","","8795-8","""disadvantaged""","""kachinkachin.wav""","90","offended","RNRI","different","1","D","disadvantaged","Y","8"
