"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":4494}]","4495","instructions","0","4497","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3486},{""page_index"":1,""viewing_time"":3376},{""page_index"":2,""viewing_time"":3913},{""page_index"":3,""viewing_time"":14728},{""page_index"":4,""viewing_time"":150056}]","175559","instructions","1","180056","0.0-1.0","","","","","","","","","","","","",""
"","26157","survey-multi-choice","2","206217","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2967},{""page_index"":1,""viewing_time"":5064}]","8031","instructions","3","214248","0.0-3.0-0.0","","","","","","","","","","","","",""
"","16306","same-different-html-trial","4","236569","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10703}]","10703","instructions","5","248273","0.0-3.0-2.0","","","","","","","","","","","","",""
"","16067","same-different-html","6","266345","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":10334}]","10334","instructions","7","277683","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3539","same-different-html","8","283227","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4854},{""page_index"":1,""viewing_time"":4312}]","9166","instructions","9","293393","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2945","same-different-html-trial","10","302345","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5678}]","5678","instructions","11","309025","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4004","same-different-html","12","315033","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3108","same-different-html","13","321145","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1655},{""page_index"":1,""viewing_time"":26696}]","28351","instructions","14","350497","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3462","same-different-html-trial","15","359969","0.0-3.0-12.0","","3478-4","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","1"
"","5104","same-different-html-trial","16","372081","0.0-3.0-13.0","","3478-4","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","2"
"","1568","same-different-html-trial","17","380656","0.0-3.0-14.0","","3478-4","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","3"
"","1199","same-different-html-trial","18","388868","0.0-3.0-15.0","","3478-4","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","4"
"","2008","same-different-html-trial","19","397881","0.0-3.0-16.0","","3478-4","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","5"
"","1246","same-different-html-trial","20","406138","0.0-3.0-17.0","","3478-4","""useless""","""dame.wav""","32","useless","NAdj","","","","","","6"
"","1334","same-different-html-trial","21","414481","0.0-3.0-18.0","","3478-4","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","7"
"","7174","same-different-html-trial","22","428665","0.0-3.0-19.0","","3478-4","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","8"
"","1832","same-different-html-trial","23","437506","0.0-3.0-20.0","","3478-4","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","9"
"","840","same-different-html-trial","24","445354","0.0-3.0-21.0","","3478-4","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","10"
"","1784","same-different-html-trial","25","454146","0.0-3.0-22.0","","3478-4","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","11"
"","1494","same-different-html-trial","26","462649","0.0-3.0-23.0","","3478-4","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","12"
"","2696","same-different-html-trial","27","472355","0.0-3.0-24.0","","3478-4","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","13"
"","1431","same-different-html-trial","28","480794","0.0-3.0-25.0","","3478-4","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","14"
"","1461","same-different-html-trial","29","489264","0.0-3.0-26.0","","3478-4","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","15"
"","623","same-different-html-trial","30","496898","0.0-3.0-27.0","","3478-4","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","16"
"","2659","same-different-html-trial","31","508161","0.0-3.0-28.0","","3478-4","""happy""","""uki.wav""","32","happy","SRI","","","","","","17"
"","1488","same-different-html-trial","32","516657","0.0-3.0-29.0","","3478-4","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","18"
"","1527","same-different-html-trial","33","525192","0.0-3.0-30.0","","3478-4","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","19"
"","1303","same-different-html-trial","34","533505","0.0-3.0-31.0","","3478-4","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","20"
"","737","same-different-html-trial","35","541250","0.0-3.0-32.0","","3478-4","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","21"
"","767","same-different-html-trial","36","549026","0.0-3.0-33.0","","3478-4","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","22"
"","813","same-different-html-trial","37","556851","0.0-3.0-34.0","","3478-4","""whole""","""goso.wav""","32","whole","NRI","","","","","","23"
"","688","same-different-html-trial","38","564546","0.0-3.0-35.0","","3478-4","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","24"
"","1294","same-different-html-trial","39","572849","0.0-3.0-36.0","","3478-4","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","25"
"","404","same-different-html-trial","40","580265","0.0-3.0-37.0","","3478-4","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","26"
