"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":4704}]","4705","instructions","0","4707","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1431},{""page_index"":1,""viewing_time"":1191},{""page_index"":2,""viewing_time"":2793},{""page_index"":3,""viewing_time"":1799},{""page_index"":4,""viewing_time"":7872}]","15086","instructions","1","19794","0.0-1.0","","","","","","","","","","","","",""
"","12764","survey-multi-choice","2","32562","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1438},{""page_index"":1,""viewing_time"":4728}]","6166","instructions","3","38729","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3050","same-different-html-trial","4","47809","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4055}]","4055","instructions","5","52867","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7089","same-different-html","6","61966","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3459}]","3459","instructions","7","66426","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3652","same-different-html","8","72086","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2938},{""page_index"":1,""viewing_time"":1544}]","4483","instructions","9","77570","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2139","same-different-html-trial","10","85723","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2759}]","2759","instructions","11","89482","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3044","same-different-html","12","94533","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3448","same-different-html","13","100989","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":2179},{""page_index"":1,""viewing_time"":8817}]","10996","instructions","14","112988","0.0-3.0-11.0","","","","","","","","","","","","",""
"","362","same-different-html-trial","15","119364","0.0-3.0-12.0","","8396-8","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","1"
"","651","same-different-html-trial","16","127030","0.0-3.0-13.0","","8396-8","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","2"
"","418","same-different-html-trial","17","134459","0.0-3.0-14.0","","8396-8","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","3"
"","644","same-different-html-trial","18","142115","0.0-3.0-15.0","","8396-8","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","4"
"","385","same-different-html-trial","19","150267","0.0-3.0-16.0","","8396-8","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","5"
"","504","same-different-html-trial","20","160389","0.0-3.0-17.0","","8396-8","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","6"
"","4128","same-different-html-trial","21","176003","0.0-3.0-18.0","","8396-8","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","7"
"","1035","same-different-html-trial","22","185852","0.0-3.0-19.0","","8396-8","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","8"
