"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":8817}]","8817","instructions","0","8819","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3746},{""page_index"":1,""viewing_time"":4512},{""page_index"":2,""viewing_time"":3343},{""page_index"":3,""viewing_time"":1704},{""page_index"":4,""viewing_time"":39946}]","53251","instructions","1","62072","0.0-1.0","","","","","","","","","","","","",""
"","18372","survey-multi-choice","2","80449","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2331},{""page_index"":1,""viewing_time"":6894}]","9225","instructions","3","89675","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3276","same-different-html-trial","4","98962","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10688}]","10689","instructions","5","110652","0.0-3.0-2.0","","","","","","","","","","","","",""
"","13259","same-different-html","6","125916","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":2637}]","2638","instructions","7","129555","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1539","same-different-html","8","133099","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3325},{""page_index"":1,""viewing_time"":2258}]","5584","instructions","9","139682","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2602","same-different-html-trial","10","148291","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3784}]","3784","instructions","11","153076","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1734","same-different-html","12","156816","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1119","same-different-html","13","160940","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2108},{""page_index"":1,""viewing_time"":6334}]","8442","instructions","14","170384","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1199","same-different-html-trial","15","177593","0.0-3.0-12.0","","8000-3","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","1"
"","883","same-different-html-trial","16","185484","0.0-3.0-13.0","","8000-3","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","2"
"","1763","same-different-html-trial","17","194254","0.0-3.0-14.0","","8000-3","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","3"
"","1094","same-different-html-trial","18","202360","0.0-3.0-15.0","","8000-3","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","4"
"","2161","same-different-html-trial","19","211528","0.0-3.0-16.0","","8000-3","""useless""","""dame.wav""","32","useless","NAdj","","","","","","5"
"","1410","same-different-html-trial","20","219948","0.0-3.0-17.0","","8000-3","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","6"
"","698","same-different-html-trial","21","227656","0.0-3.0-18.0","","8000-3","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","7"
"","992","same-different-html-trial","22","235659","0.0-3.0-19.0","","8000-3","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","8"
"","1742","same-different-html-trial","23","244407","0.0-3.0-20.0","","8000-3","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","9"
"","2099","same-different-html-trial","24","253516","0.0-3.0-21.0","","8000-3","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","10"
"","2634","same-different-html-trial","25","263158","0.0-3.0-22.0","","8000-3","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","11"
"","1912","same-different-html-trial","26","272081","0.0-3.0-23.0","","8000-3","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","12"
"","1643","same-different-html-trial","27","280733","0.0-3.0-24.0","","8000-3","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","13"
"","799","same-different-html-trial","28","288543","0.0-3.0-25.0","","8000-3","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","14"
"","1155","same-different-html-trial","29","296707","0.0-3.0-26.0","","8000-3","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","15"
"","1263","same-different-html-trial","30","304977","0.0-3.0-27.0","","8000-3","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","16"
"","999","same-different-html-trial","31","312985","0.0-3.0-28.0","","8000-3","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","17"
"","1479","same-different-html-trial","32","321472","0.0-3.0-29.0","","8000-3","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","18"
"","542","same-different-html-trial","33","329021","0.0-3.0-30.0","","8000-3","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","19"
"","3257","same-different-html-trial","34","339286","0.0-3.0-31.0","","8000-3","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","20"
"","439","same-different-html-trial","35","346733","0.0-3.0-32.0","","8000-3","""messy""","""gocha.wav""","32","messy","SRI","","","","","","21"
"","363","same-different-html-trial","36","354109","0.0-3.0-33.0","","8000-3","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","22"
"","863","same-different-html-trial","37","361980","0.0-3.0-34.0","","8000-3","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","23"
"","462","same-different-html-trial","38","369447","0.0-3.0-35.0","","8000-3","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","24"
"","1032","same-different-html-trial","39","377487","0.0-3.0-36.0","","8000-3","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","25"
"","390","same-different-html-trial","40","384886","0.0-3.0-37.0","","8000-3","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","26"
"","895","same-different-html-trial","41","392804","0.0-3.0-38.0","","8000-3","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","27"
"","417","same-different-html-trial","42","400231","0.0-3.0-39.0","","8000-3","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","28"
"","236","same-different-html-trial","43","407479","0.0-3.0-40.0","","8000-3","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","29"
"","454","same-different-html-trial","44","414941","0.0-3.0-41.0","","8000-3","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","30"
"","746","same-different-html-trial","45","422699","0.0-3.0-42.0","","8000-3","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","31"
"","301","same-different-html-trial","46","430007","0.0-3.0-43.0","","8000-3","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","32"
"","1036","same-different-html-trial","47","438051","0.0-3.0-44.0","","8000-3","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","33"
"","986","same-different-html-trial","48","446048","0.0-3.0-45.0","","8000-3","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","34"
"","768","same-different-html-trial","49","453828","0.0-3.0-46.0","","8000-3","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","35"
"","1216","same-different-html-trial","50","462054","0.0-3.0-47.0","","8000-3","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","36"
"","436","same-different-html-trial","51","469498","0.0-3.0-48.0","","8000-3","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","37"
"","659","same-different-html-trial","52","477168","0.0-3.0-49.0","","8000-3","""messy""","""gocha.wav""","32","messy","SRI","","","","","","38"
"","1297","same-different-html-trial","53","485476","0.0-3.0-50.0","","8000-3","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","39"
"","544","same-different-html-trial","54","493029","0.0-3.0-51.0","","8000-3","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","40"
"","400","same-different-html-trial","55","500437","0.0-3.0-52.0","","8000-3","""useless""","""dame.wav""","32","useless","NAdj","","","","","","41"
"","348","same-different-html-trial","56","507793","0.0-3.0-53.0","","8000-3","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","42"
"","360","same-different-html-trial","57","515162","0.0-3.0-54.0","","8000-3","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","43"
"","490","same-different-html-trial","58","522660","0.0-3.0-55.0","","8000-3","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","44"
"","473","same-different-html-trial","59","530144","0.0-3.0-56.0","","8000-3","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","45"
"","313","same-different-html-trial","60","537467","0.0-3.0-57.0","","8000-3","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","46"
"","1557","same-different-html-trial","61","546031","0.0-3.0-58.0","","8000-3","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","47"
"","926","same-different-html-trial","62","553967","0.0-3.0-59.0","","8000-3","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":13437}]","13437","instructions","63","568405","0.0-3.0-60.0","","","","","","","","","","","","",""
"","1994","same-different-html","64","572403","0.0-3.0-61.0","","8000-3","""smooth""","""nopperi.wav""","90","smooth","NRI","same","0","T","smooth","Y","1"
