"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":20163}]","20164","instructions","0","20165","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2152},{""page_index"":1,""viewing_time"":2774},{""page_index"":2,""viewing_time"":1770},{""page_index"":3,""viewing_time"":5572},{""page_index"":4,""viewing_time"":97816}]","110085","instructions","1","130251","0.0-1.0","","","","","","","","","","","","",""
"","9340","survey-multi-choice","2","139596","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1083},{""page_index"":1,""viewing_time"":2459}]","3542","instructions","3","143138","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3177","same-different-html-trial","4","152328","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15007}]","15007","instructions","5","168335","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5385","same-different-html","6","175726","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3587}]","3587","instructions","7","180313","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1385","same-different-html","8","183714","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3935},{""page_index"":1,""viewing_time"":1871}]","5806","instructions","9","190521","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1986","same-different-html-trial","10","198513","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2790}]","2790","instructions","11","202317","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1533","same-different-html","12","205858","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1329","same-different-html","13","210191","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":20736},{""page_index"":1,""viewing_time"":10962}]","31698","instructions","14","242889","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1575","same-different-html-trial","15","250472","0.0-3.0-12.0","","6477-8","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","1"
"","1271","same-different-html-trial","16","258756","0.0-3.0-13.0","","6477-8","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","2"
"","764","same-different-html-trial","17","266546","0.0-3.0-14.0","","6477-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","3"
"","1341","same-different-html-trial","18","274894","0.0-3.0-15.0","","6477-8","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","4"
"","453","same-different-html-trial","19","282354","0.0-3.0-16.0","","6477-8","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","5"
"","500","same-different-html-trial","20","289867","0.0-3.0-17.0","","6477-8","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","6"
"","2541","same-different-html-trial","21","299418","0.0-3.0-18.0","","6477-8","""chatty""","""berabera.wav""","32","chatty","RI","","","","","","7"
"","500","same-different-html-trial","22","306925","0.0-3.0-19.0","","6477-8","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","8"
"","497","same-different-html-trial","23","314429","0.0-3.0-20.0","","6477-8","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","9"
"","459","same-different-html-trial","24","321896","0.0-3.0-21.0","","6477-8","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","10"
"","557","same-different-html-trial","25","329473","0.0-3.0-22.0","","6477-8","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","11"
"","392","same-different-html-trial","26","336911","0.0-3.0-23.0","","6477-8","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","12"
"","2576","same-different-html-trial","27","346493","0.0-3.0-24.0","","6477-8","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","13"
"","256","same-different-html-trial","28","353759","0.0-3.0-25.0","","6477-8","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","14"
"","588","same-different-html-trial","29","361354","0.0-3.0-26.0","","6477-8","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","15"
