"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2645}]","2645","instructions","0","2647","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12960},{""page_index"":1,""viewing_time"":3233},{""page_index"":2,""viewing_time"":4514},{""page_index"":3,""viewing_time"":2507},{""page_index"":4,""viewing_time"":30937}]","54153","instructions","1","56800","0.0-1.0","","","","","","","","","","","","",""
"","14195","survey-multi-choice","2","70998","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1199},{""page_index"":1,""viewing_time"":5475}]","6674","instructions","3","77674","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2605","same-different-html-trial","4","86283","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5517}]","5518","instructions","5","92801","0.0-3.0-2.0","","","","","","","","","","","","",""
"","1318","same-different-html","6","96119","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2008}]","2008","instructions","7","99128","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1824","same-different-html","8","102952","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":976},{""page_index"":1,""viewing_time"":1596}]","2572","instructions","9","106524","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1382","same-different-html-trial","10","113907","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":939}]","939","instructions","11","115845","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4155","same-different-html","12","122000","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2859","same-different-html","13","127859","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2336},{""page_index"":1,""viewing_time"":4537}]","6873","instructions","14","135732","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1062","same-different-html-trial","15","142794","0.0-3.0-12.0","","451-7","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","1"
"","1655","same-different-html-trial","16","151450","0.0-3.0-13.0","","451-7","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","2"
"","1914","same-different-html-trial","17","160823","0.0-3.0-14.0","","451-7","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","3"
"","2750","same-different-html-trial","18","170661","0.0-3.0-15.0","","451-7","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","4"
"","2284","same-different-html-trial","19","179945","0.0-3.0-16.0","","451-7","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","5"
"","1651","same-different-html-trial","20","188602","0.0-3.0-17.0","","451-7","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","6"
"","2000","same-different-html-trial","21","197604","0.0-3.0-18.0","","451-7","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","7"
"","1843","same-different-html-trial","22","206755","0.0-3.0-19.0","","451-7","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","8"
"","2055","same-different-html-trial","23","215810","0.0-3.0-20.0","","451-7","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","9"
"","1900","same-different-html-trial","24","224711","0.0-3.0-21.0","","451-7","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","10"
"","2269","same-different-html-trial","25","233980","0.0-3.0-22.0","","451-7","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","11"
"","2490","same-different-html-trial","26","243470","0.0-3.0-23.0","","451-7","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","12"
"","1995","same-different-html-trial","27","252466","0.0-3.0-24.0","","451-7","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","13"
"","1383","same-different-html-trial","28","260852","0.0-3.0-25.0","","451-7","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","14"
"","1507","same-different-html-trial","29","269360","0.0-3.0-26.0","","451-7","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","15"
"","1556","same-different-html-trial","30","277916","0.0-3.0-27.0","","451-7","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","16"
"","1125","same-different-html-trial","31","286043","0.0-3.0-28.0","","451-7","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","17"
"","1188","same-different-html-trial","32","294231","0.0-3.0-29.0","","451-7","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","18"
"","1803","same-different-html-trial","33","303035","0.0-3.0-30.0","","451-7","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","19"
"","1468","same-different-html-trial","34","311503","0.0-3.0-31.0","","451-7","""whole""","""goso.wav""","32","whole","NRI","","","","","","20"
"","1364","same-different-html-trial","35","319867","0.0-3.0-32.0","","451-7","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","21"
"","1345","same-different-html-trial","36","328213","0.0-3.0-33.0","","451-7","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","22"
"","1179","same-different-html-trial","37","336392","0.0-3.0-34.0","","451-7","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","23"
"","1379","same-different-html-trial","38","344771","0.0-3.0-35.0","","451-7","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","24"
"","1391","same-different-html-trial","39","353164","0.0-3.0-36.0","","451-7","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","25"
"","1838","same-different-html-trial","40","362002","0.0-3.0-37.0","","451-7","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","26"
"","913","same-different-html-trial","41","369915","0.0-3.0-38.0","","451-7","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","27"
"","2684","same-different-html-trial","42","379598","0.0-3.0-39.0","","451-7","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","28"
"","3165","same-different-html-trial","43","389765","0.0-3.0-40.0","","451-7","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","29"
"","1856","same-different-html-trial","44","398620","0.0-3.0-41.0","","451-7","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","30"
"","1390","same-different-html-trial","45","407012","0.0-3.0-42.0","","451-7","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","31"
"","904","same-different-html-trial","46","414917","0.0-3.0-43.0","","451-7","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","32"
"","416","same-different-html-trial","47","422333","0.0-3.0-44.0","","451-7","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","33"
