"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":21510}]","21513","instructions","0","21522","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":26533},{""page_index"":1,""viewing_time"":9696},{""page_index"":2,""viewing_time"":12472},{""page_index"":3,""viewing_time"":11511},{""page_index"":4,""viewing_time"":71009}]","131222","instructions","1","152748","0.0-1.0","","","","","","","","","","","","",""
"","23413","survey-multi-choice","2","176182","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2291},{""page_index"":1,""viewing_time"":11872}]","14164","instructions","3","190347","0.0-3.0-0.0","","","","","","","","","","","","",""
"","9284","same-different-html-trial","4","205670","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12658}]","12660","instructions","5","219330","0.0-3.0-2.0","","","","","","","","","","","","",""
"","16780","same-different-html","6","238123","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":13699}]","13701","instructions","7","252826","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2782","same-different-html","8","257617","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":8779},{""page_index"":1,""viewing_time"":4736}]","13516","instructions","9","272137","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1999","same-different-html-trial","10","280154","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8884}]","8885","instructions","11","290041","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3871","same-different-html","12","295924","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1993","same-different-html","13","300928","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2470},{""page_index"":1,""viewing_time"":32736}]","35207","instructions","14","337138","0.0-3.0-11.0","","","","","","","","","","","","",""
"","11026","same-different-html-trial","15","354186","0.0-3.0-12.0","","4028-4","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","1"
"","9716","same-different-html-trial","16","370923","0.0-3.0-13.0","","4028-4","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","2"
"","2469","same-different-html-trial","17","380410","0.0-3.0-14.0","","4028-4","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","3"
"","4831","same-different-html-trial","18","392258","0.0-3.0-15.0","","4028-4","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","4"
"","3116","same-different-html-trial","19","402390","0.0-3.0-16.0","","4028-4","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","5"
"","2816","same-different-html-trial","20","412223","0.0-3.0-17.0","","4028-4","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","6"
"","2817","same-different-html-trial","21","422058","0.0-3.0-18.0","","4028-4","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","7"
"","4642","same-different-html-trial","22","433720","0.0-3.0-19.0","","4028-4","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","8"
"","3200","same-different-html-trial","23","443940","0.0-3.0-20.0","","4028-4","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","9"
"","2291","same-different-html-trial","24","453254","0.0-3.0-21.0","","4028-4","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","10"
"","4340","same-different-html-trial","25","464631","0.0-3.0-22.0","","4028-4","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","11"
