"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":12788}]","12789","instructions","0","12792","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3464},{""page_index"":1,""viewing_time"":15623},{""page_index"":2,""viewing_time"":8033},{""page_index"":3,""viewing_time"":15731},{""page_index"":4,""viewing_time"":78473}]","121325","instructions","1","134119","0.0-1.0","","","","","","","","","","","","",""
"","14413","survey-multi-choice","2","148544","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3811},{""page_index"":1,""viewing_time"":10144}]","13956","instructions","3","162501","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4080","same-different-html-trial","4","172600","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10268}]","10269","instructions","5","183871","0.0-3.0-2.0","","","","","","","","","","","","",""
"","2024","same-different-html","6","187902","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":6567}]","6568","instructions","7","195471","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1946","same-different-html","8","199423","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4210},{""page_index"":1,""viewing_time"":6197}]","10408","instructions","9","210831","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1900","same-different-html-trial","10","218742","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4519}]","4519","instructions","11","224263","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3867","same-different-html","12","230135","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2658","same-different-html","13","235800","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2844},{""page_index"":1,""viewing_time"":23998}]","26842","instructions","14","263643","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5531","same-different-html-trial","15","275186","0.0-3.0-12.0","","2554-4","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","1"
"","4506","same-different-html-trial","16","286704","0.0-3.0-13.0","","2554-4","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","2"
"","3732","same-different-html-trial","17","297447","0.0-3.0-14.0","","2554-4","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","3"
"","283","same-different-html-trial","18","304742","0.0-3.0-15.0","","2554-4","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","4"
"","542","same-different-html-trial","19","312294","0.0-3.0-16.0","","2554-4","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","5"
"","1438","same-different-html-trial","20","320743","0.0-3.0-17.0","","2554-4","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","6"
"","541","same-different-html-trial","21","328295","0.0-3.0-18.0","","2554-4","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","7"
"","310","same-different-html-trial","22","335616","0.0-3.0-19.0","","2554-4","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","8"
"","505","same-different-html-trial","23","343135","0.0-3.0-20.0","","2554-4","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","9"
"","1568","same-different-html-trial","24","351711","0.0-3.0-21.0","","2554-4","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","10"
"","412","same-different-html-trial","25","359135","0.0-3.0-22.0","","2554-4","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","11"
"","670","same-different-html-trial","26","366816","0.0-3.0-23.0","","2554-4","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","12"
"","528","same-different-html-trial","27","374358","0.0-3.0-24.0","","2554-4","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","13"
"","670","same-different-html-trial","28","382039","0.0-3.0-25.0","","2554-4","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","14"
"","541","same-different-html-trial","29","389590","0.0-3.0-26.0","","2554-4","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","15"
"","799","same-different-html-trial","30","397399","0.0-3.0-27.0","","2554-4","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","16"
"","1602","same-different-html-trial","31","406014","0.0-3.0-28.0","","2554-4","""rude""","""zuke.wav""","32","rude","SRI","","","","","","17"
"","4591","same-different-html-trial","32","417615","0.0-3.0-29.0","","2554-4","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","18"
"","923","same-different-html-trial","33","425550","0.0-3.0-30.0","","2554-4","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","19"
"","4766","same-different-html-trial","34","437329","0.0-3.0-31.0","","2554-4","""plump""","""potchari.wav""","32","plump","NRI","","","","","","20"
"","1553","same-different-html-trial","35","445895","0.0-3.0-32.0","","2554-4","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","21"
"","3885","same-different-html-trial","36","456791","0.0-3.0-33.0","","2554-4","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","22"
"","269","same-different-html-trial","37","464071","0.0-3.0-34.0","","2554-4","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","23"
"","1435","same-different-html-trial","38","472518","0.0-3.0-35.0","","2554-4","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","24"
"","1174","same-different-html-trial","39","480704","0.0-3.0-36.0","","2554-4","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","25"
"","1625","same-different-html-trial","40","489341","0.0-3.0-37.0","","2554-4","""plump""","""potchari.wav""","32","plump","NRI","","","","","","26"
"","1630","same-different-html-trial","41","497983","0.0-3.0-38.0","","2554-4","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","27"
"","1052","same-different-html-trial","42","506045","0.0-3.0-39.0","","2554-4","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","28"
"","3607","same-different-html-trial","43","516663","0.0-3.0-40.0","","2554-4","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","29"
"","3360","same-different-html-trial","44","527031","0.0-3.0-41.0","","2554-4","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","30"
"","4123","same-different-html-trial","45","538167","0.0-3.0-42.0","","2554-4","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","31"
"","6557","same-different-html-trial","46","551735","0.0-3.0-43.0","","2554-4","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","32"
"","3991","same-different-html-trial","47","562736","0.0-3.0-44.0","","2554-4","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","33"
"","7964","same-different-html-trial","48","577711","0.0-3.0-45.0","","2554-4","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","34"
"","3867","same-different-html-trial","49","588590","0.0-3.0-46.0","","2554-4","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","35"
"","1812","same-different-html-trial","50","597414","0.0-3.0-47.0","","2554-4","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","36"
"","4126","same-different-html-trial","51","608551","0.0-3.0-48.0","","2554-4","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","37"
"","2331","same-different-html-trial","52","617894","0.0-3.0-49.0","","2554-4","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","38"
"","798","same-different-html-trial","53","625702","0.0-3.0-50.0","","2554-4","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","39"
"","1302","same-different-html-trial","54","634013","0.0-3.0-51.0","","2554-4","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","40"
"","1178","same-different-html-trial","55","642207","0.0-3.0-52.0","","2554-4","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","41"
"","2075","same-different-html-trial","56","651293","0.0-3.0-53.0","","2554-4","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","42"
"","1820","same-different-html-trial","57","660126","0.0-3.0-54.0","","2554-4","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","43"
"","4118","same-different-html-trial","58","671254","0.0-3.0-55.0","","2554-4","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","44"
"","4128","same-different-html-trial","59","682392","0.0-3.0-56.0","","2554-4","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","45"
"","3993","same-different-html-trial","60","693398","0.0-3.0-57.0","","2554-4","""rude""","""zuke.wav""","32","rude","SRI","","","","","","46"
"","3607","same-different-html-trial","61","704016","0.0-3.0-58.0","","2554-4","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","47"
"","8990","same-different-html-trial","62","720015","0.0-3.0-59.0","","2554-4","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","48"
"[{""page_index"":0,""viewing_time"":20778}]","20779","instructions","63","741796","0.0-3.0-60.0","","","","","","","","","","","","",""
"","4493","same-different-html","64","748294","0.0-3.0-61.0","","2554-4","""tasteless""","""yabo.wav""","90","tasteless","NAdj","same","0","T","tasteless","Y","1"
"","1905","same-different-html","65","753206","0.0-3.0-62.0","","2554-4","""steaming""","""yura.wav""","191","wobbly","SRI","different","0","D","steaming","Y","2"
"","2081","same-different-html","66","758294","0.0-3.0-63.0","","2554-4","""steaming""","""hokahoka.wav""","191","steaming","RI","same","1","T","steaming","Y","3"
"","1586","same-different-html","67","762886","0.0-3.0-64.0","","2554-4","""deficient""","""hikuhiku.wav""","191","agitated","RI","different","0","D","deficient","Y","4"
"","2561","same-different-html","68","768454","0.0-3.0-65.0","","2554-4","""smug""","""gashigashi.wav""","90","sturdy","RNRI","different","1","D","smug","Y","5"
"","1534","same-different-html","69","772998","0.0-3.0-66.0","","2554-4","""wobbly""","""yura.wav""","191","wobbly","SRI","same","1","T","wobbly","Y","6"
"","1576","same-different-html","70","777583","0.0-3.0-67.0","","2554-4","""exact""","""muri.wav""","90","impossible","NAdj","different","1","D","exact","Y","7"
"","1794","same-different-html","71","782383","0.0-3.0-68.0","","2554-4","""rude""","""jimijimi.wav""","191","subdued","RNAdj","different","0","D","rude","Y","8"
"","1520","same-different-html","72","786909","0.0-3.0-69.0","","2554-4","""whispering""","""hiso.wav""","90","whispering","SRI","same","0","T","whispering","Y","9"
"","1617","same-different-html","73","791534","0.0-3.0-70.0","","2554-4","""sturdy""","""yabo.wav""","191","tasteless","NAdj","different","0","D","sturdy","Y","10"
"","2145","same-different-html","74","796686","0.0-3.0-71.0","","2554-4","""happy""","""hiso.wav""","90","whispering","SRI","different","1","D","happy","Y","11"
"","1586","same-different-html","75","801278","0.0-3.0-72.0","","2554-4","""sturdy""","""gashigashi.wav""","191","sturdy","RNRI","same","1","T","sturdy","Y","12"
"","1905","same-different-html","76","806190","0.0-3.0-73.0","","2554-4","""happy""","""ukiuki.wav""","191","happy","RI","same","1","T","happy","Y","13"
"","1633","same-different-html","77","810831","0.0-3.0-74.0","","2554-4","""agitated""","""hikuhiku.wav""","191","agitated","RI","same","1","T","agitated","Y","14"
"","1960","same-different-html","78","815799","0.0-3.0-75.0","","2554-4","""crowded""","""bisshiri.wav""","191","crowded","NRI","same","1","T","crowded","Y","15"
"","1713","same-different-html","79","820517","0.0-3.0-76.0","","2554-4","""impossible""","""maremare.wav""","90","rare","RNAdj","different","1","D","impossible","Y","16"
"","1714","same-different-html","80","825239","0.0-3.0-77.0","","2554-4","""noisy""","""pisha.wav""","90","decisive","NRI","different","1","D","noisy","Y","17"
"","1470","same-different-html","81","829717","0.0-3.0-78.0","","2554-4","""worn out""","""boro.wav""","191","worn out","SRI","same","1","T","worn out","Y","18"
"","1634","same-different-html","82","834357","0.0-3.0-79.0","","2554-4","""rude""","""zuke.wav""","191","rude","SRI","same","1","T","rude","Y","19"
"","1363","same-different-html","83","838727","0.0-3.0-80.0","","2554-4","""deficient""","""fubifubi.wav""","191","deficient","RNAdj","same","1","T","deficient","Y","20"
"","1263","same-different-html","84","842998","0.0-3.0-81.0","","2554-4","""decisive""","""pisha.wav""","90","decisive","NRI","same","0","T","decisive","Y","21"
"","2194","same-different-html","85","848198","0.0-3.0-82.0","","2554-4","""tasteless""","""boro.wav""","90","worn out","SRI","different","1","D","tasteless","Y","22"
"","1209","same-different-html","86","852415","0.0-3.0-83.0","","2554-4","""impossible""","""muri.wav""","191","impossible","NAdj","same","1","T","impossible","Y","23"
"","1922","same-different-html","87","857343","0.0-3.0-84.0","","2554-4","""whispering""","""gakugaku.wav""","191","dejected","RNRI","different","0","D","whispering","Y","24"
"","1311","same-different-html","88","861662","0.0-3.0-85.0","","2554-4","""decisive""","""gara.wav""","90","to change ocmpletely","NRI","different","1","D","decisive","Y","25"
"","1457","same-different-html","89","866127","0.0-3.0-86.0","","2554-4","""offended""","""kachinkachin.wav""","191","offended","RNRI","same","1","T","offended","Y","26"
"","1566","same-different-html","90","870701","0.0-3.0-87.0","","2554-4","""disadvantaged""","""fubifubi.wav""","191","deficient","RNAdj","different","0","D","disadvantaged","Y","27"
"","2579","same-different-html","91","876286","0.0-3.0-88.0","","2554-4","""wobbly""","""zuke.wav""","191","rude","SRI","different","0","D","wobbly","Y","28"
"","2032","same-different-html","92","881325","0.0-3.0-89.0","","2554-4","""smug""","""kiza.wav""","191","smug","NAdj","same","1","T","smug","Y","29"
"","2017","same-different-html","93","886349","0.0-3.0-90.0","","2554-4","""to change ocmpletely""","""gara.wav""","90","to change ocmpletely","NRI","same","0","T","to change ocmpletely","Y","30"
"","2091","same-different-html","94","891445","0.0-3.0-91.0","","2554-4","""dejected""","""gakugaku.wav""","191","dejected","RNRI","same","1","T","dejected","Y","31"
"","1376","same-different-html","95","895828","0.0-3.0-92.0","","2554-4","""rare""","""maremare.wav""","191","rare","RNAdj","same","1","T","rare","Y","32"
"","1892","same-different-html","96","900726","0.0-3.0-93.0","","2554-4","""to change ocmpletely""","""gayagaya.wav""","191","noisy","RI","different","0","D","to change ocmpletely","Y","33"
"","1584","same-different-html","97","905317","0.0-3.0-94.0","","2554-4","""excessive""","""kiza.wav""","90","smug","NAdj","different","1","D","excessive","Y","34"
"","1745","same-different-html","98","910069","0.0-3.0-95.0","","2554-4","""worn out""","""furi.wav""","90","disadvantaged","NAdj","different","1","D","worn out","Y","35"
"","1523","same-different-html","99","914597","0.0-3.0-96.0","","2554-4","""dejected""","""potchari.wav""","191","plump","NRI","different","0","D","dejected","Y","36"
"","2689","same-different-html","100","920293","0.0-3.0-97.0","","2554-4","""offended""","""kadokado.wav""","90","excessive","RNAdj","different","1","D","offended","Y","37"
"","1809","same-different-html","101","925109","0.0-3.0-98.0","","2554-4","""crowded""","""hokahoka.wav""","90","steaming","RI","different","1","D","crowded","Y","38"
"","1402","same-different-html","102","929517","0.0-3.0-99.0","","2554-4","""subdued""","""kakkirikakkiri.wav""","191","exact","RNRI","different","0","D","subdued","Y","39"
"","1586","same-different-html","103","934109","0.0-3.0-100.0","","2554-4","""excessive""","""kadokado.wav""","191","excessive","RNAdj","same","1","T","excessive","Y","40"
"","1459","same-different-html","104","938574","0.0-3.0-101.0","","2554-4","""rare""","""kachinkachin.wav""","191","offended","RNRI","different","0","D","rare","Y","41"
"","1679","same-different-html","105","943261","0.0-3.0-102.0","","2554-4","""subdued""","""jimijimi.wav""","191","subdued","RNAdj","same","1","T","subdued","Y","42"
"","2644","same-different-html","106","948912","0.0-3.0-103.0","","2554-4","""disadvantaged""","""furi.wav""","90","disadvantaged","NAdj","same","0","T","disadvantaged","Y","43"
"","1935","same-different-html","107","953853","0.0-3.0-104.0","","2554-4","""exact""","""kakkirikakkiri.wav""","191","exact","RNRI","same","1","T","exact","Y","44"
"","1665","same-different-html","108","958525","0.0-3.0-105.0","","2554-4","""noisy""","""gayagaya.wav""","191","noisy","RI","same","1","T","noisy","Y","45"
"","2036","same-different-html","109","963566","0.0-3.0-106.0","","2554-4","""plump""","""bisshiri.wav""","90","crowded","NRI","different","1","D","plump","Y","46"
"","1546","same-different-html","110","968118","0.0-3.0-107.0","","2554-4","""agitated""","""ukiuki.wav""","191","happy","RI","different","0","D","agitated","Y","47"
"","1809","same-different-html","111","972935","0.0-3.0-108.0","","2554-4","""plump""","""potchari.wav""","191","plump","NRI","same","1","T","plump","Y","48"
"[{""page_index"":0,""viewing_time"":6504}]","6504","instructions","112","980439","0.0-3.0-109.0","","","","","","","","","","","","",""
