"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":1752}]","1753","instructions","0","1758","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1305},{""page_index"":1,""viewing_time"":1864},{""page_index"":2,""viewing_time"":16760},{""page_index"":3,""viewing_time"":2183},{""page_index"":4,""viewing_time"":2282}]","24396","instructions","1","26155","0.0-1.0","","","","","","","","","","","","",""
"","8703","survey-multi-choice","2","34868","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1796},{""page_index"":1,""viewing_time"":1392}]","3188","instructions","3","38057","0.0-3.0-0.0","","","","","","","","","","","","",""
"","816466","same-different-html-trial","4","860537","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2420}]","2421","instructions","5","863969","0.0-3.0-2.0","","","","","","","","","","","","",""
"","3012","same-different-html","6","868984","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":1752}]","1752","instructions","7","871737","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3214","same-different-html","8","876953","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4966},{""page_index"":1,""viewing_time"":3680}]","8646","instructions","9","886601","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1629","same-different-html-trial","10","894234","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1000}]","1000","instructions","11","896233","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2957","same-different-html","12","901191","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","598","same-different-html","13","904792","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":840},{""page_index"":1,""viewing_time"":1680}]","2520","instructions","14","908312","0.0-3.0-11.0","","","","","","","","","","","","",""
"","650","same-different-html-trial","15","914970","0.0-3.0-12.0","","8320-10","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","1"
"","161","same-different-html-trial","16","922136","0.0-3.0-13.0","","8320-10","""resolute""","""bassaribassari.wav""","32","resolute","RNRI","","","","","","2"
"","83","same-different-html-trial","17","929224","0.0-3.0-14.0","","8320-10","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","3"
"","2","same-different-html-trial","18","936233","0.0-3.0-15.0","","8320-10","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","4"
"","220","same-different-html-trial","19","944043","0.0-3.0-16.0","","8320-10","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","5"
"","184","same-different-html-trial","20","951240","0.0-3.0-17.0","","8320-10","""free""","""hima.wav""","32","free","NAdj","","","","","","6"
"","21","same-different-html-trial","21","958267","0.0-3.0-18.0","","8320-10","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","7"
"","10","same-different-html-trial","22","965283","0.0-3.0-19.0","","8320-10","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","8"
"","3935","same-different-html-trial","23","976231","0.0-3.0-20.0","","8320-10","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","9"
"","6807","same-different-html-trial","24","991640","0.0-3.0-21.0","","8320-10","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","10"
"","5932","same-different-html-trial","25","1004585","0.0-3.0-22.0","","8320-10","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","11"
"","2195","same-different-html-trial","26","1013785","0.0-3.0-23.0","","8320-10","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","12"
"","51","same-different-html-trial","27","1020840","0.0-3.0-24.0","","8320-10","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","13"
"","181","same-different-html-trial","28","1028023","0.0-3.0-25.0","","8320-10","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","14"
"","8692","same-different-html-trial","29","1048504","0.0-3.0-26.0","","8320-10","""messy""","""gocha.wav""","32","messy","SRI","","","","","","15"
"","2229","same-different-html-trial","30","1057738","0.0-3.0-27.0","","8320-10","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","16"
"","388","same-different-html-trial","31","1065129","0.0-3.0-28.0","","8320-10","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","17"
"","274","same-different-html-trial","32","1072409","0.0-3.0-29.0","","8320-10","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","18"
"","22","same-different-html-trial","33","1079432","0.0-3.0-30.0","","8320-10","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","19"
"","7","same-different-html-trial","34","1086442","0.0-3.0-31.0","","8320-10","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","20"
"","114","same-different-html-trial","35","1093561","0.0-3.0-32.0","","8320-10","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","21"
"","180","same-different-html-trial","36","1100745","0.0-3.0-33.0","","8320-10","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","22"
"","51","same-different-html-trial","37","1107801","0.0-3.0-34.0","","8320-10","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","23"
"","23","same-different-html-trial","38","1114841","0.0-3.0-35.0","","8320-10","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","24"
"","101","same-different-html-trial","39","1121945","0.0-3.0-36.0","","8320-10","""messy""","""gocha.wav""","32","messy","SRI","","","","","","25"
"","20","same-different-html-trial","40","1128970","0.0-3.0-37.0","","8320-10","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","26"
"","147","same-different-html-trial","41","1136121","0.0-3.0-38.0","","8320-10","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","27"
"","22","same-different-html-trial","42","1143849","0.0-3.0-39.0","","8320-10","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","28"
"","90","same-different-html-trial","43","1150942","0.0-3.0-40.0","","8320-10","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","29"
"","62","same-different-html-trial","44","1158008","0.0-3.0-41.0","","8320-10","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","30"
"","52","same-different-html-trial","45","1165063","0.0-3.0-42.0","","8320-10","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","31"
"","100","same-different-html-trial","46","1172168","0.0-3.0-43.0","","8320-10","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","32"
"","38","same-different-html-trial","47","1179211","0.0-3.0-44.0","","8320-10","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","33"
"","177","same-different-html-trial","48","1186394","0.0-3.0-45.0","","8320-10","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","34"
"","97","same-different-html-trial","49","1193496","0.0-3.0-46.0","","8320-10","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","35"
"","20","same-different-html-trial","50","1200520","0.0-3.0-47.0","","8320-10","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","36"
"","100","same-different-html-trial","51","1207624","0.0-3.0-48.0","","8320-10","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","37"
