"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":88672}]","88672","instructions","0","88677","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2758},{""page_index"":1,""viewing_time"":5142},{""page_index"":2,""viewing_time"":6585},{""page_index"":3,""viewing_time"":10439},{""page_index"":4,""viewing_time"":23064}]","47988","instructions","1","136667","0.0-1.0","","","","","","","","","","","","",""
"","10608","survey-multi-choice","2","147284","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1253},{""page_index"":1,""viewing_time"":3430}]","4686","instructions","3","151971","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3080","same-different-html-trial","4","161066","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5806}]","5807","instructions","5","167874","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7073","same-different-html","6","176950","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3218}]","3218","instructions","7","181170","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3136","same-different-html","8","186310","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3371},{""page_index"":1,""viewing_time"":1850}]","5222","instructions","9","192531","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1360","same-different-html-trial","10","199900","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4887}]","4887","instructions","11","205786","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3197","same-different-html","12","210986","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2907","same-different-html","13","216897","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2089},{""page_index"":1,""viewing_time"":12487}]","14578","instructions","14","232474","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1996","same-different-html-trial","15","240478","0.0-3.0-12.0","","6651-1","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","1"
