"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":24631}]","24631","instructions","0","24632","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1991},{""page_index"":1,""viewing_time"":4079},{""page_index"":2,""viewing_time"":3913},{""page_index"":3,""viewing_time"":8471},{""page_index"":4,""viewing_time"":56392}]","74847","instructions","1","99480","0.0-1.0","","","","","","","","","","","","",""
"","16852","survey-multi-choice","2","116336","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2198},{""page_index"":1,""viewing_time"":4393}]","6591","instructions","3","122928","0.0-3.0-0.0","","","","","","","","","","","","",""
"","6689","same-different-html-trial","4","135630","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10490}]","10490","instructions","5","147121","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5623","same-different-html","6","154749","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4439}]","4439","instructions","7","160191","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4321","same-different-html","8","166517","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":6746},{""page_index"":1,""viewing_time"":1496}]","8242","instructions","9","175758","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3830","same-different-html-trial","10","185597","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7027}]","7027","instructions","11","193624","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3507","same-different-html","12","199133","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3130","same-different-html","13","205269","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2154},{""page_index"":1,""viewing_time"":15354}]","17508","instructions","14","223776","0.0-3.0-11.0","","","","","","","","","","","","",""
"","4454","same-different-html-trial","15","234238","0.0-3.0-12.0","","1254-3","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","1"
"","2461","same-different-html-trial","16","243709","0.0-3.0-13.0","","1254-3","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","2"
"","8474","same-different-html-trial","17","259189","0.0-3.0-14.0","","1254-3","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","3"
"","3564","same-different-html-trial","18","269758","0.0-3.0-15.0","","1254-3","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","4"
"","3502","same-different-html-trial","19","280270","0.0-3.0-16.0","","1254-3","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","5"
"","2186","same-different-html-trial","20","289460","0.0-3.0-17.0","","1254-3","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","6"
"","4987","same-different-html-trial","21","301452","0.0-3.0-18.0","","1254-3","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","7"
"","2721","same-different-html-trial","22","311181","0.0-3.0-19.0","","1254-3","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","8"
"","5312","same-different-html-trial","23","323501","0.0-3.0-20.0","","1254-3","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","9"
"","1819","same-different-html-trial","24","332323","0.0-3.0-21.0","","1254-3","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","10"
"","88","same-different-html-trial","25","339419","0.0-3.0-22.0","","1254-3","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","11"
"","4010","same-different-html-trial","26","350438","0.0-3.0-23.0","","1254-3","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","12"
