"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7958}]","7958","instructions","0","7958","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2264},{""page_index"":1,""viewing_time"":5066},{""page_index"":2,""viewing_time"":4485},{""page_index"":3,""viewing_time"":19880},{""page_index"":4,""viewing_time"":202285}]","233980","instructions","1","241940","0.0-1.0","","","","","","","","","","","","",""
"","27154","survey-multi-choice","2","269100","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3371},{""page_index"":1,""viewing_time"":18525}]","21896","instructions","3","290997","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2558","same-different-html-trial","4","299575","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":25174}]","25175","instructions","5","325753","0.0-3.0-2.0","","","","","","","","","","","","",""
"","1572","same-different-html","6","329332","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":22631}]","22632","instructions","7","352969","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1969","same-different-html","8","356947","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":14778},{""page_index"":1,""viewing_time"":5903}]","20682","instructions","9","378629","0.0-3.0-6.0","","","","","","","","","","","","",""
"","7433","same-different-html-trial","10","392079","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":23378}]","23378","instructions","11","416459","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1612","same-different-html","12","420082","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2066","same-different-html","13","425161","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":19908},{""page_index"":1,""viewing_time"":49597}]","69505","instructions","14","495668","0.0-3.0-11.0","","","","","","","","","","","","",""
"","4447","same-different-html-trial","15","506127","0.0-3.0-12.0","","6342-8","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","1"
"","34721","same-different-html-trial","16","547870","0.0-3.0-13.0","","6342-8","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","2"
"","4915","same-different-html-trial","17","559804","0.0-3.0-14.0","","6342-8","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","3"
"","15958","same-different-html-trial","18","582778","0.0-3.0-15.0","","6342-8","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","4"
"","22105","same-different-html-trial","19","611902","0.0-3.0-16.0","","6342-8","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","5"
"","4171","same-different-html-trial","20","623083","0.0-3.0-17.0","","6342-8","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","6"
"","7381","same-different-html-trial","21","637488","0.0-3.0-18.0","","6342-8","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","7"
"","7697","same-different-html-trial","22","652198","0.0-3.0-19.0","","6342-8","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","8"
"","6480","same-different-html-trial","23","665694","0.0-3.0-20.0","","6342-8","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","9"
"","6437","same-different-html-trial","24","679152","0.0-3.0-21.0","","6342-8","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","10"
"","4588","same-different-html-trial","25","690757","0.0-3.0-22.0","","6342-8","""fat""","""debudebu.wav""","32","fat","RI","","","","","","11"
"","9295","same-different-html-trial","26","707073","0.0-3.0-23.0","","6342-8","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","12"
"","20473","same-different-html-trial","27","734560","0.0-3.0-24.0","","6342-8","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","13"
"","6122","same-different-html-trial","28","747695","0.0-3.0-25.0","","6342-8","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","14"
"","6196","same-different-html-trial","29","760904","0.0-3.0-26.0","","6342-8","""plump""","""potchari.wav""","32","plump","NRI","","","","","","15"
"","8322","same-different-html-trial","30","776243","0.0-3.0-27.0","","6342-8","""happy""","""uki.wav""","32","happy","SRI","","","","","","16"
"","5282","same-different-html-trial","31","788550","0.0-3.0-28.0","","6342-8","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","17"
"","31069","same-different-html-trial","32","826634","0.0-3.0-29.0","","6342-8","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","18"
