"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2169}]","2170","instructions","0","2171","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1090},{""page_index"":1,""viewing_time"":1349},{""page_index"":2,""viewing_time"":922},{""page_index"":3,""viewing_time"":576},{""page_index"":4,""viewing_time"":4819}]","8756","instructions","1","10928","0.0-1.0","","","","","","","","","","","","",""
"","35937","survey-multi-choice","2","46874","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1502},{""page_index"":1,""viewing_time"":2434}]","3937","instructions","3","50813","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4288","same-different-html-trial","4","61112","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6723}]","6723","instructions","5","68837","0.0-3.0-2.0","","","","","","","","","","","","",""
"","10974","same-different-html","6","81816","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5512}]","5512","instructions","7","88329","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4657","same-different-html","8","94992","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2575},{""page_index"":1,""viewing_time"":1722}]","4297","instructions","9","100290","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3467","same-different-html-trial","10","109768","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2228}]","2228","instructions","11","112997","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2582","same-different-html","12","117583","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3604","same-different-html","13","124192","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1600},{""page_index"":1,""viewing_time"":3185}]","4786","instructions","14","129979","0.0-3.0-11.0","","","","","","","","","","","","",""
"","8878","same-different-html-trial","15","144863","0.0-3.0-12.0","","5107-10","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","1"
"","2728","same-different-html-trial","16","154599","0.0-3.0-13.0","","5107-10","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","2"
"","10938","same-different-html-trial","17","172544","0.0-3.0-14.0","","5107-10","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","3"
"","1642","same-different-html-trial","18","181192","0.0-3.0-15.0","","5107-10","""rare""","""mare.wav""","32","rare","NAdj","","","","","","4"
"","2754","same-different-html-trial","19","190952","0.0-3.0-16.0","","5107-10","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","5"
"","400","same-different-html-trial","20","198360","0.0-3.0-17.0","","5107-10","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","6"
"","1568","same-different-html-trial","21","206935","0.0-3.0-18.0","","5107-10","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","7"
"","1672","same-different-html-trial","22","215615","0.0-3.0-19.0","","5107-10","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","8"
"","607","same-different-html-trial","23","223232","0.0-3.0-20.0","","5107-10","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","9"
"","1632","same-different-html-trial","24","231872","0.0-3.0-21.0","","5107-10","""plump""","""potchari.wav""","32","plump","NRI","","","","","","10"
"","961","same-different-html-trial","25","239840","0.0-3.0-22.0","","5107-10","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","11"
"","1414","same-different-html-trial","26","248263","0.0-3.0-23.0","","5107-10","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","12"
"","499","same-different-html-trial","27","255769","0.0-3.0-24.0","","5107-10","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","13"
"","70","same-different-html-trial","28","262847","0.0-3.0-25.0","","5107-10","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","14"
"","650","same-different-html-trial","29","270503","0.0-3.0-26.0","","5107-10","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","15"
"","258","same-different-html-trial","30","277769","0.0-3.0-27.0","","5107-10","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","16"
"","575","same-different-html-trial","31","285353","0.0-3.0-28.0","","5107-10","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","17"
