"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":14520}]","14521","instructions","0","14522","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5802},{""page_index"":1,""viewing_time"":1204},{""page_index"":2,""viewing_time"":4609},{""page_index"":3,""viewing_time"":7879},{""page_index"":4,""viewing_time"":1661}]","21155","instructions","1","35677","0.0-1.0","","","","","","","","","","","","",""
"","10791","survey-multi-choice","2","46476","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1085},{""page_index"":1,""viewing_time"":2266}]","3351","instructions","3","49827","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4521","same-different-html-trial","4","60374","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2355}]","2355","instructions","5","63730","0.0-3.0-2.0","","","","","","","","","","","","",""
"","9016","same-different-html","6","74755","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":12494}]","12495","instructions","7","88252","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4855","same-different-html","8","95113","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3117},{""page_index"":1,""viewing_time"":1790}]","4908","instructions","9","101025","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1761","same-different-html-trial","10","108802","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3517}]","3518","instructions","11","113325","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2944","same-different-html","12","118275","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2910","same-different-html","13","124197","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2379},{""page_index"":1,""viewing_time"":1409}]","3788","instructions","14","128985","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2756","same-different-html-trial","15","137764","0.0-3.0-12.0","","3815-3","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","1"
"","2532","same-different-html-trial","16","147315","0.0-3.0-13.0","","3815-3","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","2"
"","2682","same-different-html-trial","17","157013","0.0-3.0-14.0","","3815-3","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","3"
"","1960","same-different-html-trial","18","165996","0.0-3.0-15.0","","3815-3","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","4"
"","2784","same-different-html-trial","19","175805","0.0-3.0-16.0","","3815-3","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","5"
"","6216","same-different-html-trial","20","189037","0.0-3.0-17.0","","3815-3","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","6"
"","4827","same-different-html-trial","21","200881","0.0-3.0-18.0","","3815-3","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","7"
"","2203","same-different-html-trial","22","210097","0.0-3.0-19.0","","3815-3","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","8"
"","2020","same-different-html-trial","23","219134","0.0-3.0-20.0","","3815-3","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","9"
"","22447","same-different-html-trial","24","248598","0.0-3.0-21.0","","3815-3","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","10"
"","4457","same-different-html-trial","25","260070","0.0-3.0-22.0","","3815-3","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","11"
"","2798","same-different-html-trial","26","269893","0.0-3.0-23.0","","3815-3","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","12"
"","10468","same-different-html-trial","27","287377","0.0-3.0-24.0","","3815-3","""free""","""hima.wav""","32","free","NAdj","","","","","","13"
"","25921","same-different-html-trial","28","320318","0.0-3.0-25.0","","3815-3","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","14"
"","11093","same-different-html-trial","29","338431","0.0-3.0-26.0","","3815-3","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","15"
"","1301","same-different-html-trial","30","346752","0.0-3.0-27.0","","3815-3","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","16"
"","7584","same-different-html-trial","31","361352","0.0-3.0-28.0","","3815-3","""happy""","""uki.wav""","32","happy","SRI","","","","","","17"
"","2059","same-different-html-trial","32","370423","0.0-3.0-29.0","","3815-3","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","18"
"","6077","same-different-html-trial","33","383513","0.0-3.0-30.0","","3815-3","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","19"
"","636","same-different-html-trial","34","391168","0.0-3.0-31.0","","3815-3","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","20"
"","1850","same-different-html-trial","35","400032","0.0-3.0-32.0","","3815-3","""rare""","""mare.wav""","32","rare","NAdj","","","","","","21"
"","6176","same-different-html-trial","36","413226","0.0-3.0-33.0","","3815-3","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","22"
"","12061","same-different-html-trial","37","432305","0.0-3.0-34.0","","3815-3","""fat""","""debudebu.wav""","32","fat","RI","","","","","","23"
"","7216","same-different-html-trial","38","446544","0.0-3.0-35.0","","3815-3","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","24"
