"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":48468}]","48468","instructions","0","48468","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1772},{""page_index"":1,""viewing_time"":2067},{""page_index"":2,""viewing_time"":2139},{""page_index"":3,""viewing_time"":7206},{""page_index"":4,""viewing_time"":22891}]","36076","instructions","1","84545","0.0-1.0","","","","","","","","","","","","",""
"","10784","survey-multi-choice","2","95332","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1515},{""page_index"":1,""viewing_time"":3344}]","4860","instructions","3","100192","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3146","same-different-html-trial","4","109348","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4967}]","4968","instructions","5","115318","0.0-3.0-2.0","","","","","","","","","","","","",""
"","11004","same-different-html","6","128326","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3393}]","3394","instructions","7","132721","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1768","same-different-html","8","136492","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2449},{""page_index"":1,""viewing_time"":1916}]","4365","instructions","9","141859","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2156","same-different-html-trial","10","150021","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3156}]","3157","instructions","11","154180","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2464","same-different-html","12","158648","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1424","same-different-html","13","163076","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1265},{""page_index"":1,""viewing_time"":15902}]","17167","instructions","14","181245","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2205","same-different-html-trial","15","189456","0.0-3.0-12.0","","6651-7","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","1"
"","1620","same-different-html-trial","16","198082","0.0-3.0-13.0","","6651-7","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","2"
"","1556","same-different-html-trial","17","206645","0.0-3.0-14.0","","6651-7","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","3"
"","1950","same-different-html-trial","18","215601","0.0-3.0-15.0","","6651-7","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","4"
"","1512","same-different-html-trial","19","224122","0.0-3.0-16.0","","6651-7","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","5"
"","1793","same-different-html-trial","20","232930","0.0-3.0-17.0","","6651-7","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","6"
"","1344","same-different-html-trial","21","241283","0.0-3.0-18.0","","6651-7","""free""","""hima.wav""","32","free","NAdj","","","","","","7"
"","1260","same-different-html-trial","22","249551","0.0-3.0-19.0","","6651-7","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","8"
"","1382","same-different-html-trial","23","257939","0.0-3.0-20.0","","6651-7","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","9"
"","1089","same-different-html-trial","24","266037","0.0-3.0-21.0","","6651-7","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","10"
"","486","same-different-html-trial","25","273529","0.0-3.0-22.0","","6651-7","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","11"
"","1182","same-different-html-trial","26","281722","0.0-3.0-23.0","","6651-7","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","12"
"","1362","same-different-html-trial","27","290091","0.0-3.0-24.0","","6651-7","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","13"
"","986","same-different-html-trial","28","298083","0.0-3.0-25.0","","6651-7","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","14"
"","1095","same-different-html-trial","29","306190","0.0-3.0-26.0","","6651-7","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","15"
"","855","same-different-html-trial","30","314052","0.0-3.0-27.0","","6651-7","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","16"
"","1592","same-different-html-trial","31","322654","0.0-3.0-28.0","","6651-7","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","17"
"","1475","same-different-html-trial","32","331136","0.0-3.0-29.0","","6651-7","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","18"
"","1103","same-different-html-trial","33","339248","0.0-3.0-30.0","","6651-7","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","19"
"","1845","same-different-html-trial","34","348101","0.0-3.0-31.0","","6651-7","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","20"
"","1176","same-different-html-trial","35","356288","0.0-3.0-32.0","","6651-7","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","21"
"","1440","same-different-html-trial","36","364736","0.0-3.0-33.0","","6651-7","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","22"
"","1305","same-different-html-trial","37","373050","0.0-3.0-34.0","","6651-7","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","23"
"","963","same-different-html-trial","38","381021","0.0-3.0-35.0","","6651-7","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","24"
"","1198","same-different-html-trial","39","389227","0.0-3.0-36.0","","6651-7","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","25"
"","1579","same-different-html-trial","40","397813","0.0-3.0-37.0","","6651-7","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","26"
"","1122","same-different-html-trial","41","405943","0.0-3.0-38.0","","6651-7","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","27"
"","1030","same-different-html-trial","42","413980","0.0-3.0-39.0","","6651-7","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","28"
"","944","same-different-html-trial","43","421931","0.0-3.0-40.0","","6651-7","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","29"
"","848","same-different-html-trial","44","429785","0.0-3.0-41.0","","6651-7","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","30"
"","851","same-different-html-trial","45","437647","0.0-3.0-42.0","","6651-7","""free""","""hima.wav""","32","free","NAdj","","","","","","31"
"","2074","same-different-html-trial","46","446729","0.0-3.0-43.0","","6651-7","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","32"
"","1206","same-different-html-trial","47","454941","0.0-3.0-44.0","","6651-7","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","33"
"","872","same-different-html-trial","48","462823","0.0-3.0-45.0","","6651-7","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","34"
"","1102","same-different-html-trial","49","470934","0.0-3.0-46.0","","6651-7","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","35"
"","422","same-different-html-trial","50","479032","0.0-3.0-47.0","","6651-7","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","36"
"","3332","same-different-html-trial","51","489372","0.0-3.0-48.0","","6651-7","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","37"
"","1934","same-different-html-trial","52","498318","0.0-3.0-49.0","","6651-7","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","38"
"","848","same-different-html-trial","53","506175","0.0-3.0-50.0","","6651-7","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","39"
"","841","same-different-html-trial","54","514022","0.0-3.0-51.0","","6651-7","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","40"
"","1103","same-different-html-trial","55","522132","0.0-3.0-52.0","","6651-7","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","41"
"","956","same-different-html-trial","56","530095","0.0-3.0-53.0","","6651-7","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","42"
"","896","same-different-html-trial","57","538508","0.0-3.0-54.0","","6651-7","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","43"
