"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7145}]","7149","instructions","0","7236","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":29472},{""page_index"":1,""viewing_time"":2273},{""page_index"":2,""viewing_time"":2201},{""page_index"":3,""viewing_time"":9479},{""page_index"":4,""viewing_time"":43436}]","86864","instructions","1","94104","0.0-1.0","","","","","","","","","","","","",""
"","35392","survey-multi-choice","2","129528","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1209},{""page_index"":1,""viewing_time"":17939}]","19150","instructions","3","148680","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5819","same-different-html-trial","4","160551","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4761}]","4766","instructions","5","166319","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7234","same-different-html","6","175575","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2673}]","2676","instructions","7","179253","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4888","same-different-html","8","186158","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":3967},{""page_index"":1,""viewing_time"":2914}]","6882","instructions","9","194044","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1981","same-different-html-trial","10","202049","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2966}]","2969","instructions","11","206020","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3943","same-different-html","12","211976","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3058","same-different-html","13","218044","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2231},{""page_index"":1,""viewing_time"":15055}]","17289","instructions","14","236343","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3640","same-different-html-trial","15","246029","0.0-3.0-12.0","","6477-7","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","1"
"","3309","same-different-html-trial","16","256361","0.0-3.0-13.0","","6477-7","""fat""","""debudebu.wav""","32","fat","RI","","","","","","2"
"","4588","same-different-html-trial","17","267979","0.0-3.0-14.0","","6477-7","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","3"
"","2680","same-different-html-trial","18","277688","0.0-3.0-15.0","","6477-7","""chatty""","""berabera.wav""","32","chatty","RI","","","","","","4"
"","7322","same-different-html-trial","19","292038","0.0-3.0-16.0","","6477-7","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","5"
"","4240","same-different-html-trial","20","303315","0.0-3.0-17.0","","6477-7","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","6"
"","4787","same-different-html-trial","21","315138","0.0-3.0-18.0","","6477-7","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","7"
"","3407","same-different-html-trial","22","325574","0.0-3.0-19.0","","6477-7","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","8"
"","3267","same-different-html-trial","23","335875","0.0-3.0-20.0","","6477-7","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","9"
"","7698","same-different-html-trial","24","350600","0.0-3.0-21.0","","6477-7","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","10"
"","2167","same-different-html-trial","25","359818","0.0-3.0-22.0","","6477-7","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","11"
"","3087","same-different-html-trial","26","370027","0.0-3.0-23.0","","6477-7","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","12"
"","1557","same-different-html-trial","27","378612","0.0-3.0-24.0","","6477-7","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","13"
"","3960","same-different-html-trial","28","389636","0.0-3.0-25.0","","6477-7","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","14"
"","2073","same-different-html-trial","29","398893","0.0-3.0-26.0","","6477-7","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","15"
"","3516","same-different-html-trial","30","409554","0.0-3.0-27.0","","6477-7","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","16"
"","1628","same-different-html-trial","31","418249","0.0-3.0-28.0","","6477-7","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","17"
"","1785","same-different-html-trial","32","427162","0.0-3.0-29.0","","6477-7","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","18"
"","4410","same-different-html-trial","33","438606","0.0-3.0-30.0","","6477-7","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","19"
"","4641","same-different-html-trial","34","450493","0.0-3.0-31.0","","6477-7","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","20"
"","2319","same-different-html-trial","35","459885","0.0-3.0-32.0","","6477-7","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","21"
"","5532","same-different-html-trial","36","472476","0.0-3.0-33.0","","6477-7","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","22"
"","2933","same-different-html-trial","37","482468","0.0-3.0-34.0","","6477-7","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","23"
"","1657","same-different-html-trial","38","491177","0.0-3.0-35.0","","6477-7","""resolute""","""bassaribassari.wav""","32","resolute","RNRI","","","","","","24"
"","1389","same-different-html-trial","39","499625","0.0-3.0-36.0","","6477-7","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","25"
"","1804","same-different-html-trial","40","508453","0.0-3.0-37.0","","6477-7","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","26"
"","1839","same-different-html-trial","41","517316","0.0-3.0-38.0","","6477-7","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","27"
"","1629","same-different-html-trial","42","526207","0.0-3.0-39.0","","6477-7","""chatty""","""berabera.wav""","32","chatty","RI","","","","","","28"
"","1425","same-different-html-trial","43","534706","0.0-3.0-40.0","","6477-7","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","29"
"","1564","same-different-html-trial","44","543363","0.0-3.0-41.0","","6477-7","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","30"
"","1692","same-different-html-trial","45","552085","0.0-3.0-42.0","","6477-7","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","31"
"","4718","same-different-html-trial","46","563832","0.0-3.0-43.0","","6477-7","""resolute""","""bassaribassari.wav""","32","resolute","RNRI","","","","","","32"
"","2732","same-different-html-trial","47","573640","0.0-3.0-44.0","","6477-7","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","33"
"","1675","same-different-html-trial","48","582374","0.0-3.0-45.0","","6477-7","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","34"
"","2109","same-different-html-trial","49","591526","0.0-3.0-46.0","","6477-7","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","35"
"","4343","same-different-html-trial","50","602938","0.0-3.0-47.0","","6477-7","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","36"
"","1309","same-different-html-trial","51","611303","0.0-3.0-48.0","","6477-7","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","37"
"","2425","same-different-html-trial","52","621149","0.0-3.0-49.0","","6477-7","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","38"
"","10440","same-different-html-trial","53","638685","0.0-3.0-50.0","","6477-7","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","39"
"","2286","same-different-html-trial","54","648021","0.0-3.0-51.0","","6477-7","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","40"
"","2193","same-different-html-trial","55","657284","0.0-3.0-52.0","","6477-7","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","41"
"","5506","same-different-html-trial","56","669880","0.0-3.0-53.0","","6477-7","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","42"
"","1683","same-different-html-trial","57","678694","0.0-3.0-54.0","","6477-7","""fat""","""debudebu.wav""","32","fat","RI","","","","","","43"
"","1703","same-different-html-trial","58","687473","0.0-3.0-55.0","","6477-7","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","44"
"","1871","same-different-html-trial","59","696379","0.0-3.0-56.0","","6477-7","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","45"
"","2297","same-different-html-trial","60","705822","0.0-3.0-57.0","","6477-7","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","46"
"","5515","same-different-html-trial","61","718370","0.0-3.0-58.0","","6477-7","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","47"
"","3543","same-different-html-trial","62","728957","0.0-3.0-59.0","","6477-7","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","48"
"[{""page_index"":0,""viewing_time"":5266}]","5270","instructions","63","735230","0.0-3.0-60.0","","","","","","","","","","","","",""
"","2534","same-different-html","64","739788","0.0-3.0-61.0","","6477-7","""gaudy""","""kabi.wav""","191","gaudy","NAdj","same","1","T","gaudy","Y","1"
"","1533","same-different-html","65","744337","0.0-3.0-62.0","","6477-7","""sudden""","""pata.wav""","191","sudden","NRI","same","1","T","sudden","Y","2"
"","3668","same-different-html","66","751025","0.0-3.0-63.0","","6477-7","""agitated""","""hikuhiku.wav""","191","agitated","RI","same","1","T","agitated","Y","3"
"","2895","same-different-html","67","756931","0.0-3.0-64.0","","6477-7","""rare""","""seka.wav""","90","hasty","SRI","different","1","D","rare","Y","4"
"","3291","same-different-html","68","763236","0.0-3.0-65.0","","6477-7","""steaming""","""hoka.wav""","191","steaming","SRI","same","1","T","steaming","Y","5"
"","1901","same-different-html","69","768166","0.0-3.0-66.0","","6477-7","""sudden""","""hikuhiku.wav""","90","agitated","RI","different","1","D","sudden","Y","6"
"","2183","same-different-html","70","773367","0.0-3.0-67.0","","6477-7","""glossy""","""zoku.wav""","90","vulgar","NAdj","different","1","D","glossy","Y","7"
"","2924","same-different-html","71","779304","0.0-3.0-68.0","","6477-7","""decisive""","""pishapisha.wav""","191","decisive","RNRI","same","1","T","decisive","Y","8"
"","2976","same-different-html","72","785293","0.0-3.0-69.0","","6477-7","""nonchalantly""","""kero.wav""","191","nonchalantly","NRI","same","1","T","nonchalantly","Y","9"
"","2924","same-different-html","73","791244","0.0-3.0-70.0","","6477-7","""steaming""","""mucha.wav""","90","rash","NAdj","different","1","D","steaming","Y","10"
"","3100","same-different-html","74","797507","0.0-3.0-71.0","","6477-7","""tasteless""","""tsuya.wav""","191","glossy","SRI","different","0","D","tasteless","Y","11"
"","2926","same-different-html","75","803447","0.0-3.0-72.0","","6477-7","""resolute""","""bassaribassari.wav""","191","resolute","RNRI","same","1","T","resolute","Y","12"
"","2851","same-different-html","76","809312","0.0-3.0-73.0","","6477-7","""careful""","""rakuraku.wav""","191","comfortable","RNAdj","different","0","D","careful","Y","13"
"","2878","same-different-html","77","815200","0.0-3.0-74.0","","6477-7","""clear""","""maremare.wav""","191","rare","RNAdj","different","0","D","clear","Y","14"
"","2918","same-different-html","78","821130","0.0-3.0-75.0","","6477-7","""gaping""","""yawayawa.wav""","191","fragile","RNAdj","different","0","D","gaping","Y","15"
"","3424","same-different-html","79","827570","0.0-3.0-76.0","","6477-7","""fragile""","""debudebu.wav""","90","fat","RI","different","1","D","fragile","Y","16"
"","2864","same-different-html","80","833460","0.0-3.0-77.0","","6477-7","""fat""","""kabi.wav""","90","gaudy","NAdj","different","1","D","fat","Y","17"
"","2900","same-different-html","81","839399","0.0-3.0-78.0","","6477-7","""vulgar""","""kero.wav""","90","nonchalantly","NRI","different","1","D","vulgar","Y","18"
"","3004","same-different-html","82","845489","0.0-3.0-79.0","","6477-7","""subdued""","""jimi.wav""","191","subdued","NAdj","same","1","T","subdued","Y","19"
"","3018","same-different-html","83","851601","0.0-3.0-80.0","","6477-7","""gaping""","""poka.wav""","90","gaping","NRI","same","0","T","gaping","Y","20"
"","2962","same-different-html","84","857576","0.0-3.0-81.0","","6477-7","""rash""","""jimi.wav""","191","subdued","NAdj","different","0","D","rash","Y","21"
"","3123","same-different-html","85","863709","0.0-3.0-82.0","","6477-7","""chatty""","""berabera.wav""","191","chatty","RI","same","1","T","chatty","Y","22"
"","2903","same-different-html","86","869658","0.0-3.0-83.0","","6477-7","""fragile""","""yawayawa.wav""","191","fragile","RNAdj","same","1","T","fragile","Y","23"
"","3061","same-different-html","87","875735","0.0-3.0-84.0","","6477-7","""rash""","""mucha.wav""","191","rash","NAdj","same","1","T","rash","Y","24"
"","3384","same-different-html","88","882168","0.0-3.0-85.0","","6477-7","""chatty""","""moji.wav""","90","hesitant","SRI","different","1","D","chatty","Y","25"
"","2902","same-different-html","89","888083","0.0-3.0-86.0","","6477-7","""hesitant""","""moji.wav""","191","hesitant","SRI","same","1","T","hesitant","Y","26"
"","2822","same-different-html","90","893935","0.0-3.0-87.0","","6477-7","""perfect""","""batchiri.wav""","191","perfect","NRI","same","1","T","perfect","Y","27"
"","2930","same-different-html","91","899878","0.0-3.0-88.0","","6477-7","""nonchalantly""","""jikkurijikkuri.wav""","191","careful","RNRI","different","0","D","nonchalantly","Y","28"
"","3230","same-different-html","92","906152","0.0-3.0-89.0","","6477-7","""vulgar""","""zoku.wav""","191","vulgar","NAdj","same","1","T","vulgar","Y","29"
"","2923","same-different-html","93","912187","0.0-3.0-90.0","","6477-7","""tasteless""","""yaboyabo.wav""","191","tasteless","RNAdj","same","1","T","tasteless","Y","30"
"","2942","same-different-html","94","918147","0.0-3.0-91.0","","6477-7","""gaudy""","""bukubuku.wav""","191","chubby","RI","different","0","D","gaudy","Y","31"
"","1740","same-different-html","95","922905","0.0-3.0-92.0","","6477-7","""chubby""","""bukubuku.wav""","90","chubby","RI","same","0","T","chubby","Y","32"
"","2818","same-different-html","96","928739","0.0-3.0-93.0","","6477-7","""comfortable""","""poka.wav""","191","gaping","NRI","different","0","D","comfortable","Y","33"
"","2888","same-different-html","97","934636","0.0-3.0-94.0","","6477-7","""subdued""","""batchiri.wav""","191","perfect","NRI","different","0","D","subdued","Y","34"
