"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":15584}]","15585","instructions","0","15587","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5742},{""page_index"":1,""viewing_time"":11103},{""page_index"":2,""viewing_time"":11006},{""page_index"":3,""viewing_time"":12066},{""page_index"":4,""viewing_time"":44550}]","84467","instructions","1","100055","0.0-1.0","","","","","","","","","","","","",""
"","19932","survey-multi-choice","2","119995","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1498},{""page_index"":1,""viewing_time"":4761}]","6259","instructions","3","126254","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3424","same-different-html-trial","4","135689","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8706}]","8707","instructions","5","145396","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4392","same-different-html","6","151792","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3339}]","3340","instructions","7","156134","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3395","same-different-html","8","161532","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":6046},{""page_index"":1,""viewing_time"":2556}]","8603","instructions","9","171135","0.0-3.0-6.0","","","","","","","","","","","","",""
"","4222","same-different-html-trial","10","181359","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4098}]","4098","instructions","11","186459","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3104","same-different-html","12","191567","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2827","same-different-html","13","197399","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2334},{""page_index"":1,""viewing_time"":13717}]","16051","instructions","14","214451","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2359","same-different-html-trial","15","222819","0.0-3.0-12.0","","131-1","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","1"
"","2405","same-different-html-trial","16","232231","0.0-3.0-13.0","","131-1","""fat""","""debu.wav""","32","fat","SRI","","","","","","2"
"","2167","same-different-html-trial","17","241402","0.0-3.0-14.0","","131-1","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","3"
"","2093","same-different-html-trial","18","250501","0.0-3.0-15.0","","131-1","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","4"
"","2416","same-different-html-trial","19","259921","0.0-3.0-16.0","","131-1","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","5"
"","2540","same-different-html-trial","20","269467","0.0-3.0-17.0","","131-1","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","6"
"","2654","same-different-html-trial","21","279126","0.0-3.0-18.0","","131-1","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","7"
"","2656","same-different-html-trial","22","288786","0.0-3.0-19.0","","131-1","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","8"
"","2878","same-different-html-trial","23","298673","0.0-3.0-20.0","","131-1","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","9"
"","3120","same-different-html-trial","24","308796","0.0-3.0-21.0","","131-1","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","10"
"","2688","same-different-html-trial","25","318489","0.0-3.0-22.0","","131-1","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","11"
"","6052","same-different-html-trial","26","331548","0.0-3.0-23.0","","131-1","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","12"
