"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":20390}]","20393","instructions","0","20428","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2908},{""page_index"":1,""viewing_time"":6127},{""page_index"":2,""viewing_time"":5865},{""page_index"":3,""viewing_time"":16052},{""page_index"":4,""viewing_time"":62600}]","93554","instructions","1","113985","0.0-1.0","","","","","","","","","","","","",""
"","31190","survey-multi-choice","2","145215","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2312},{""page_index"":1,""viewing_time"":7368}]","9682","instructions","3","154900","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4193","same-different-html-trial","4","165152","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10485}]","10486","instructions","5","176640","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7485","same-different-html","6","186147","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5525}]","5526","instructions","7","192676","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1994","same-different-html","8","196691","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4788},{""page_index"":1,""viewing_time"":2418}]","7208","instructions","9","204900","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3149","same-different-html-trial","10","214076","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7063}]","7065","instructions","11","222148","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2318","same-different-html","12","226480","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1567","same-different-html","13","231090","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":5566},{""page_index"":1,""viewing_time"":36980}]","42548","instructions","14","274640","0.0-3.0-11.0","","","","","","","","","","","","",""
"","9180","same-different-html-trial","15","289855","0.0-3.0-12.0","","1598-4","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","1"
"","4549","same-different-html-trial","16","301445","0.0-3.0-13.0","","1598-4","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","2"
"","5482","same-different-html-trial","17","313959","0.0-3.0-14.0","","1598-4","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","3"
"","2362","same-different-html-trial","18","323363","0.0-3.0-15.0","","1598-4","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","4"
"","2471","same-different-html-trial","19","332889","0.0-3.0-16.0","","1598-4","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","5"
"","3772","same-different-html-trial","20","343711","0.0-3.0-17.0","","1598-4","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","6"
"","3831","same-different-html-trial","21","354575","0.0-3.0-18.0","","1598-4","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","7"
"","2108","same-different-html-trial","22","363756","0.0-3.0-19.0","","1598-4","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","8"
"","2011","same-different-html-trial","23","372808","0.0-3.0-20.0","","1598-4","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","9"
"","2928","same-different-html-trial","24","382780","0.0-3.0-21.0","","1598-4","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","10"
"","1842","same-different-html-trial","25","391671","0.0-3.0-22.0","","1598-4","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","11"
"","2928","same-different-html-trial","26","401631","0.0-3.0-23.0","","1598-4","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","12"
"","2007","same-different-html-trial","27","410689","0.0-3.0-24.0","","1598-4","""happy""","""uki.wav""","32","happy","SRI","","","","","","13"
"","1555","same-different-html-trial","28","419278","0.0-3.0-25.0","","1598-4","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","14"
"","2119","same-different-html-trial","29","428444","0.0-3.0-26.0","","1598-4","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","15"
"","8092","same-different-html-trial","30","443570","0.0-3.0-27.0","","1598-4","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","16"
"","1676","same-different-html-trial","31","452363","0.0-3.0-28.0","","1598-4","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","17"
"","1697","same-different-html-trial","32","461101","0.0-3.0-29.0","","1598-4","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","18"
"","1666","same-different-html-trial","33","469801","0.0-3.0-30.0","","1598-4","""rude""","""zuke.wav""","32","rude","SRI","","","","","","19"
"","4717","same-different-html-trial","34","481553","0.0-3.0-31.0","","1598-4","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","20"
"","1647","same-different-html-trial","35","490262","0.0-3.0-32.0","","1598-4","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","21"
"","1617","same-different-html-trial","36","498916","0.0-3.0-33.0","","1598-4","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","22"
"","5304","same-different-html-trial","37","511258","0.0-3.0-34.0","","1598-4","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","23"
"","3840","same-different-html-trial","38","522150","0.0-3.0-35.0","","1598-4","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","24"
"","1684","same-different-html-trial","39","530862","0.0-3.0-36.0","","1598-4","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","25"
"","5079","same-different-html-trial","40","542971","0.0-3.0-37.0","","1598-4","""happy""","""uki.wav""","32","happy","SRI","","","","","","26"
"","1919","same-different-html-trial","41","551941","0.0-3.0-38.0","","1598-4","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","27"
"","3450","same-different-html-trial","42","562431","0.0-3.0-39.0","","1598-4","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","28"
"","2079","same-different-html-trial","43","571540","0.0-3.0-40.0","","1598-4","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","29"
"","1952","same-different-html-trial","44","580559","0.0-3.0-41.0","","1598-4","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","30"
"","1764","same-different-html-trial","45","589406","0.0-3.0-42.0","","1598-4","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","31"
"","2946","same-different-html-trial","46","599400","0.0-3.0-43.0","","1598-4","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","32"
"","2051","same-different-html-trial","47","608482","0.0-3.0-44.0","","1598-4","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","33"
"","10580","same-different-html-trial","48","626096","0.0-3.0-45.0","","1598-4","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","34"
"","10335","same-different-html-trial","49","643482","0.0-3.0-46.0","","1598-4","""rude""","""zuke.wav""","32","rude","SRI","","","","","","35"
"","1989","same-different-html-trial","50","652501","0.0-3.0-47.0","","1598-4","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","36"
"","4023","same-different-html-trial","51","663553","0.0-3.0-48.0","","1598-4","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","37"
"","3686","same-different-html-trial","52","674313","0.0-3.0-49.0","","1598-4","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","38"
"","3178","same-different-html-trial","53","684520","0.0-3.0-50.0","","1598-4","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","39"
