"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":6696}]","6696","instructions","0","6698","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1319},{""page_index"":1,""viewing_time"":1032},{""page_index"":2,""viewing_time"":1368},{""page_index"":3,""viewing_time"":4303},{""page_index"":4,""viewing_time"":13720}]","21742","instructions","1","28440","0.0-1.0","","","","","","","","","","","","",""
"","8059","survey-multi-choice","2","36505","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1094},{""page_index"":1,""viewing_time"":3864}]","4958","instructions","3","41463","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4935","same-different-html-trial","4","52416","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4162}]","4162","instructions","5","57580","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5512","same-different-html","6","65095","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2667}]","2667","instructions","7","68763","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3895","same-different-html","8","74663","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":6051},{""page_index"":1,""viewing_time"":2120}]","8171","instructions","9","83834","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2637","same-different-html-trial","10","92479","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6325}]","6326","instructions","11","99805","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4182","same-different-html","12","105990","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2803","same-different-html","13","111802","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1626},{""page_index"":1,""viewing_time"":10360}]","11986","instructions","14","124789","0.0-3.0-11.0","","","","","","","","","","","","",""
"","15469","same-different-html-trial","15","146265","0.0-3.0-12.0","","2132-6","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","1"
"","4480","same-different-html-trial","16","157752","0.0-3.0-13.0","","2132-6","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","2"
"","6109","same-different-html-trial","17","170868","0.0-3.0-14.0","","2132-6","""free""","""hima.wav""","32","free","NAdj","","","","","","3"
"","9503","same-different-html-trial","18","187379","0.0-3.0-15.0","","2132-6","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","4"
"","2961","same-different-html-trial","19","197348","0.0-3.0-16.0","","2132-6","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","5"
"","1639","same-different-html-trial","20","205995","0.0-3.0-17.0","","2132-6","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","6"
"","1695","same-different-html-trial","21","214698","0.0-3.0-18.0","","2132-6","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","7"
"","2192","same-different-html-trial","22","223898","0.0-3.0-19.0","","2132-6","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","8"
"","2113","same-different-html-trial","23","233023","0.0-3.0-20.0","","2132-6","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","9"
"","2249","same-different-html-trial","24","242279","0.0-3.0-21.0","","2132-6","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","10"
"","2112","same-different-html-trial","25","251398","0.0-3.0-22.0","","2132-6","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","11"
"","1474","same-different-html-trial","26","259878","0.0-3.0-23.0","","2132-6","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","12"
"","1952","same-different-html-trial","27","268837","0.0-3.0-24.0","","2132-6","""rare""","""mare.wav""","32","rare","NAdj","","","","","","13"
"","4328","same-different-html-trial","28","280173","0.0-3.0-25.0","","2132-6","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","14"
"","7229","same-different-html-trial","29","294409","0.0-3.0-26.0","","2132-6","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","15"
"","3136","same-different-html-trial","30","304553","0.0-3.0-27.0","","2132-6","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","16"
"","1895","same-different-html-trial","31","313456","0.0-3.0-28.0","","2132-6","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","17"
"","1721","same-different-html-trial","32","322185","0.0-3.0-29.0","","2132-6","""messy""","""gocha.wav""","32","messy","SRI","","","","","","18"
