"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":22824}]","22827","instructions","0","22833","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":981},{""page_index"":1,""viewing_time"":4264},{""page_index"":2,""viewing_time"":2913},{""page_index"":3,""viewing_time"":13392},{""page_index"":4,""viewing_time"":18775}]","40326","instructions","1","63162","0.0-1.0","","","","","","","","","","","","",""
"","104268","survey-multi-choice","2","167448","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1593},{""page_index"":1,""viewing_time"":6728}]","8322","instructions","3","175771","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2204","same-different-html-trial","4","184006","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5113}]","5115","instructions","5","190123","0.0-3.0-2.0","","","","","","","","","","","","",""
"","39712","same-different-html","6","231962","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3286}]","3288","instructions","7","236252","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3891","same-different-html","8","242154","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2207},{""page_index"":1,""viewing_time"":6199}]","8407","instructions","9","251562","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2477","same-different-html-trial","10","260060","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1484}]","1485","instructions","11","262546","0.0-3.0-8.0","","","","","","","","","","","","",""
"","5122","same-different-html","12","269677","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
