"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":25148}]","25148","instructions","0","25151","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4357},{""page_index"":1,""viewing_time"":4871},{""page_index"":2,""viewing_time"":5743},{""page_index"":3,""viewing_time"":11817},{""page_index"":4,""viewing_time"":81120}]","107909","instructions","1","133062","0.0-1.0","","","","","","","","","","","","",""
"","22344","survey-multi-choice","2","155415","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1677},{""page_index"":1,""viewing_time"":9208}]","10885","instructions","3","166301","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4232","same-different-html-trial","4","176546","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10257}]","10258","instructions","5","187804","0.0-3.0-2.0","","","","","","","","","","","","",""
"","1394","same-different-html","6","191203","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5097}]","5097","instructions","7","197300","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1611","same-different-html","8","200914","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":8993},{""page_index"":1,""viewing_time"":3016}]","12010","instructions","9","213925","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3686","same-different-html-trial","10","223619","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4168}]","4168","instructions","11","228788","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1543","same-different-html","12","232336","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1424","same-different-html","13","236762","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":2266},{""page_index"":1,""viewing_time"":28264}]","30531","instructions","14","268293","0.0-3.0-11.0","","","","","","","","","","","","",""
"","4052","same-different-html-trial","15","278352","0.0-3.0-12.0","","5122-3","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","1"
"","5945","same-different-html-trial","16","291306","0.0-3.0-13.0","","5122-3","""free""","""himahima.wav""","32","free","RNAdj","","","","","","2"
"","6218","same-different-html-trial","17","304530","0.0-3.0-14.0","","5122-3","""useless""","""dame.wav""","32","useless","NAdj","","","","","","3"
"","4112","same-different-html-trial","18","315650","0.0-3.0-15.0","","5122-3","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","4"
"","6345","same-different-html-trial","19","329001","0.0-3.0-16.0","","5122-3","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","5"
"","9520","same-different-html-trial","20","345529","0.0-3.0-17.0","","5122-3","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","6"
"","2896","same-different-html-trial","21","355433","0.0-3.0-18.0","","5122-3","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","7"
"","6105","same-different-html-trial","22","368549","0.0-3.0-19.0","","5122-3","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","8"
"","7668","same-different-html-trial","23","383224","0.0-3.0-20.0","","5122-3","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","9"
"","4634","same-different-html-trial","24","394865","0.0-3.0-21.0","","5122-3","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","10"
"","10064","same-different-html-trial","25","411936","0.0-3.0-22.0","","5122-3","""resolute""","""bassaribassari.wav""","32","resolute","RNRI","","","","","","11"
"","2578","same-different-html-trial","26","421522","0.0-3.0-23.0","","5122-3","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","12"
"","7238","same-different-html-trial","27","435768","0.0-3.0-24.0","","5122-3","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","13"
"","2872","same-different-html-trial","28","445648","0.0-3.0-25.0","","5122-3","""wobbly""","""yurayura.wav""","32","wobbly","RI","","","","","","14"
"","2730","same-different-html-trial","29","455386","0.0-3.0-26.0","","5122-3","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","15"
"","4567","same-different-html-trial","30","466960","0.0-3.0-27.0","","5122-3","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","16"
"","5473","same-different-html-trial","31","479442","0.0-3.0-28.0","","5122-3","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","17"
"","15089","same-different-html-trial","32","501538","0.0-3.0-29.0","","5122-3","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","18"
"","2352","same-different-html-trial","33","510898","0.0-3.0-30.0","","5122-3","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","19"
"","1544","same-different-html-trial","34","519447","0.0-3.0-31.0","","5122-3","""humid""","""mushi.wav""","32","humid","SRI","","","","","","20"
"","2404","same-different-html-trial","35","528858","0.0-3.0-32.0","","5122-3","""fat""","""debudebu.wav""","32","fat","RI","","","","","","21"
