"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2409}]","2410","instructions","0","2413","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1308},{""page_index"":1,""viewing_time"":2167},{""page_index"":2,""viewing_time"":2041},{""page_index"":3,""viewing_time"":5695},{""page_index"":4,""viewing_time"":22846}]","34057","instructions","1","36471","0.0-1.0","","","","","","","","","","","","",""
"","8944","survey-multi-choice","2","45426","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1276},{""page_index"":1,""viewing_time"":9751}]","11028","instructions","3","56455","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5395","same-different-html-trial","4","67862","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3607}]","3607","instructions","5","72470","0.0-3.0-2.0","","","","","","","","","","","","",""
"","13945","same-different-html","6","88420","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2280}]","2280","instructions","7","91700","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4794","same-different-html","8","98496","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":2339},{""page_index"":1,""viewing_time"":1752}]","4091","instructions","9","103588","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2522","same-different-html-trial","10","112116","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2221}]","2223","instructions","11","115340","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3285","same-different-html","12","120627","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","90","","","same","0","","","0",""
"","3123","same-different-html","13","126753","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1472},{""page_index"":1,""viewing_time"":7423}]","8895","instructions","14","136648","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2158","same-different-html-trial","15","144811","0.0-3.0-12.0","","2511-9","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","1"
"","6920","same-different-html-trial","16","158740","0.0-3.0-13.0","","2511-9","""free""","""himahima.wav""","32","free","RNAdj","","","","","","2"
"","1594","same-different-html-trial","17","167343","0.0-3.0-14.0","","2511-9","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","3"
"","734","same-different-html-trial","18","175081","0.0-3.0-15.0","","2511-9","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","4"
"","372","same-different-html-trial","19","182459","0.0-3.0-16.0","","2511-9","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","5"
"","2821","same-different-html-trial","20","192287","0.0-3.0-17.0","","2511-9","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","6"
"","1310","same-different-html-trial","21","200608","0.0-3.0-18.0","","2511-9","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","7"
"","5651","same-different-html-trial","22","213262","0.0-3.0-19.0","","2511-9","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","8"
"","1012","same-different-html-trial","23","221281","0.0-3.0-20.0","","2511-9","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","9"
"","973","same-different-html-trial","24","229262","0.0-3.0-21.0","","2511-9","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","10"
"","31661","same-different-html-trial","25","268621","0.0-3.0-22.0","","2511-9","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","11"
"","3487","same-different-html-trial","26","279112","0.0-3.0-23.0","","2511-9","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","12"
"","1492","same-different-html-trial","27","287613","0.0-3.0-24.0","","2511-9","""plump""","""potchari.wav""","32","plump","NRI","","","","","","13"
"","1125","same-different-html-trial","28","295742","0.0-3.0-25.0","","2511-9","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","14"
"","3352","same-different-html-trial","29","306099","0.0-3.0-26.0","","2511-9","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","15"
"","2777","same-different-html-trial","30","315886","0.0-3.0-27.0","","2511-9","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","16"
"","964","same-different-html-trial","31","323859","0.0-3.0-28.0","","2511-9","""humid""","""mushi.wav""","32","humid","SRI","","","","","","17"
"","3855","same-different-html-trial","32","334719","0.0-3.0-29.0","","2511-9","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","18"
"","3901","same-different-html-trial","33","345629","0.0-3.0-30.0","","2511-9","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","19"
"","4335","same-different-html-trial","34","356967","0.0-3.0-31.0","","2511-9","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","20"
"","2625","same-different-html-trial","35","366599","0.0-3.0-32.0","","2511-9","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","21"
"","2031","same-different-html-trial","36","375637","0.0-3.0-33.0","","2511-9","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","22"
"","3207","same-different-html-trial","37","385867","0.0-3.0-34.0","","2511-9","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","23"
"","492","same-different-html-trial","38","393366","0.0-3.0-35.0","","2511-9","""rare""","""mare.wav""","32","rare","NAdj","","","","","","24"
"","383","same-different-html-trial","39","400761","0.0-3.0-36.0","","2511-9","""rare""","""mare.wav""","32","rare","NAdj","","","","","","25"
"","492","same-different-html-trial","40","408258","0.0-3.0-37.0","","2511-9","""plump""","""potchari.wav""","32","plump","NRI","","","","","","26"
"","431","same-different-html-trial","41","415693","0.0-3.0-38.0","","2511-9","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","27"
"","314","same-different-html-trial","42","423012","0.0-3.0-39.0","","2511-9","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","28"
"","414","same-different-html-trial","43","430430","0.0-3.0-40.0","","2511-9","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","29"
"","255","same-different-html-trial","44","437692","0.0-3.0-41.0","","2511-9","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","30"
"","236","same-different-html-trial","45","444934","0.0-3.0-42.0","","2511-9","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","31"
"","272","same-different-html-trial","46","452212","0.0-3.0-43.0","","2511-9","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","32"
"","407","same-different-html-trial","47","459622","0.0-3.0-44.0","","2511-9","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","33"
"","453","same-different-html-trial","48","467080","0.0-3.0-45.0","","2511-9","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","34"
"","637","same-different-html-trial","49","474720","0.0-3.0-46.0","","2511-9","""humid""","""mushi.wav""","32","humid","SRI","","","","","","35"
"","321","same-different-html-trial","50","482045","0.0-3.0-47.0","","2511-9","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","36"
"","280","same-different-html-trial","51","489331","0.0-3.0-48.0","","2511-9","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","37"
"","593","same-different-html-trial","52","496929","0.0-3.0-49.0","","2511-9","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","38"
"","495","same-different-html-trial","53","504430","0.0-3.0-50.0","","2511-9","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","39"
"","414","same-different-html-trial","54","511847","0.0-3.0-51.0","","2511-9","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","40"
"","384","same-different-html-trial","55","519238","0.0-3.0-52.0","","2511-9","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","41"
"","336","same-different-html-trial","56","526579","0.0-3.0-53.0","","2511-9","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","42"
"","389","same-different-html-trial","57","533979","0.0-3.0-54.0","","2511-9","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","43"
"","95","same-different-html-trial","58","541078","0.0-3.0-55.0","","2511-9","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","44"
"","233","same-different-html-trial","59","548318","0.0-3.0-56.0","","2511-9","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","45"
"","69","same-different-html-trial","60","555396","0.0-3.0-57.0","","2511-9","""free""","""himahima.wav""","32","free","RNAdj","","","","","","46"
"","369","same-different-html-trial","61","562770","0.0-3.0-58.0","","2511-9","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","47"
"","514","same-different-html-trial","62","570287","0.0-3.0-59.0","","2511-9","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","48"
"[{""page_index"":0,""viewing_time"":10207}]","10207","instructions","63","581496","0.0-3.0-60.0","","","","","","","","","","","","",""
"","1593","same-different-html","64","585092","0.0-3.0-61.0","","2511-9","""beneficial""","""toku.wav""","90","beneficial","NAdj","same","0","T","beneficial","Y","1"
"","1713","same-different-html","65","589809","0.0-3.0-62.0","","2511-9","""rash""","""muchamucha.wav""","90","rash","RNAdj","same","0","T","rash","Y","2"
"","1780","same-different-html","66","594591","0.0-3.0-63.0","","2511-9","""nonchalantly""","""bera.wav""","191","chatty","SRI","different","0","D","nonchalantly","Y","3"
"","874","same-different-html","67","598470","0.0-3.0-64.0","","2511-9","""supple""","""mare.wav""","191","rare","NAdj","different","0","D","supple","Y","4"
"","262","same-different-html","68","601737","0.0-3.0-65.0","","2511-9","""free""","""mushi.wav""","90","humid","SRI","different","1","D","free","Y","5"
"","309","same-different-html","69","605051","0.0-3.0-66.0","","2511-9","""glossy""","""tsuyatsuya.wav""","191","glossy","RI","same","1","T","glossy","Y","6"
"","979","same-different-html","70","609033","0.0-3.0-67.0","","2511-9","""suspenseful""","""batchiribatchiri.wav""","191","perfect","RNRI","different","0","D","suspenseful","Y","7"
"","326","same-different-html","71","612362","0.0-3.0-68.0","","2511-9","""rare""","""mare.wav""","90","rare","NAdj","same","0","T","rare","Y","8"
"","297","same-different-html","72","615667","0.0-3.0-69.0","","2511-9","""chatty""","""bera.wav""","90","chatty","SRI","same","0","T","chatty","Y","9"
"","234","same-different-html","73","618904","0.0-3.0-70.0","","2511-9","""pure""","""tsuyatsuya.wav""","191","glossy","RI","different","0","D","pure","Y","10"
"","226","same-different-html","74","622132","0.0-3.0-71.0","","2511-9","""rare""","""gara.wav""","90","to change ocmpletely","NRI","different","1","D","rare","Y","11"
"","380","same-different-html","75","625516","0.0-3.0-72.0","","2511-9","""crowded""","""bisshiri.wav""","90","crowded","NRI","same","0","T","crowded","Y","12"
"","847","same-different-html","76","629365","0.0-3.0-73.0","","2511-9","""happy""","""potchari.wav""","90","plump","NRI","different","1","D","happy","Y","13"
"","1273","same-different-html","77","633645","0.0-3.0-74.0","","2511-9","""hasty""","""bisshiri.wav""","90","crowded","NRI","different","1","D","hasty","Y","14"
"","984","same-different-html","78","637632","0.0-3.0-75.0","","2511-9","""free""","""himahima.wav""","191","free","RNAdj","same","1","T","free","Y","15"
"","852","same-different-html","79","641486","0.0-3.0-76.0","","2511-9","""rude""","""musumusu.wav""","191","sullen","RNRI","different","0","D","rude","Y","16"
"","1317","same-different-html","80","645808","0.0-3.0-77.0","","2511-9","""to change ocmpletely""","""seka.wav""","191","hasty","SRI","different","0","D","to change ocmpletely","Y","17"
"","256","same-different-html","81","649065","0.0-3.0-78.0","","2511-9","""beneficial""","""mukumuku.wav""","191","pure","RNAdj","different","0","D","beneficial","Y","18"
"","292","same-different-html","82","652360","0.0-3.0-79.0","","2511-9","""sullen""","""ukiuki.wav""","90","happy","RI","different","1","D","sullen","Y","19"
"","278","same-different-html","83","655640","0.0-3.0-80.0","","2511-9","""clear""","""kibi.wav""","90","energetic","SRI","different","1","D","clear","Y","20"
"","270","same-different-html","84","658915","0.0-3.0-81.0","","2511-9","""energetic""","""kibi.wav""","90","energetic","SRI","same","0","T","energetic","Y","21"
"","330","same-different-html","85","662247","0.0-3.0-82.0","","2511-9","""excessive""","""himahima.wav""","90","free","RNAdj","different","1","D","excessive","Y","22"
"","286","same-different-html","86","665535","0.0-3.0-83.0","","2511-9","""to change ocmpletely""","""gara.wav""","191","to change ocmpletely","NRI","same","1","T","to change ocmpletely","Y","23"
"","287","same-different-html","87","668826","0.0-3.0-84.0","","2511-9","""humid""","""mushi.wav""","90","humid","SRI","same","0","T","humid","Y","24"
"","343","same-different-html","88","672171","0.0-3.0-85.0","","2511-9","""perfect""","""batchiribatchiri.wav""","90","perfect","RNRI","same","0","T","perfect","Y","25"
"","234","same-different-html","89","675409","0.0-3.0-86.0","","2511-9","""perfect""","""toku.wav""","191","beneficial","NAdj","different","0","D","perfect","Y","26"
"","289","same-different-html","90","678703","0.0-3.0-87.0","","2511-9","""glossy""","""kukkiri.wav""","191","clear","NRI","different","0","D","glossy","Y","27"
"","437","same-different-html","91","682144","0.0-3.0-88.0","","2511-9","""humid""","""zukezuke.wav""","90","rude","RI","different","1","D","humid","Y","28"
"","270","same-different-html","92","685417","0.0-3.0-89.0","","2511-9","""rash""","""koku.wav""","90","harsh","NAdj","different","1","D","rash","Y","29"
"","440","same-different-html","93","688862","0.0-3.0-90.0","","2511-9","""excessive""","""kadokado.wav""","90","excessive","RNAdj","same","0","T","excessive","Y","30"
"","251","same-different-html","94","692118","0.0-3.0-91.0","","2511-9","""hasty""","""seka.wav""","90","hasty","SRI","same","0","T","hasty","Y","31"
"","389","same-different-html","95","695509","0.0-3.0-92.0","","2511-9","""gaudy""","""kerokero.wav""","90","nonchalantly","RNRI","different","1","D","gaudy","Y","32"
"","1326","same-different-html","96","699837","0.0-3.0-93.0","","2511-9","""suspenseful""","""harahara.wav""","191","suspenseful","RI","same","1","T","suspenseful","Y","33"
"","337","same-different-html","97","703177","0.0-3.0-94.0","","2511-9","""nonchalantly""","""kerokero.wav""","191","nonchalantly","RNRI","same","1","T","nonchalantly","Y","34"
"","254","same-different-html","98","706435","0.0-3.0-95.0","","2511-9","""harsh""","""harahara.wav""","191","suspenseful","RI","different","0","D","harsh","Y","35"
