"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":5401}]","5402","instructions","0","5402","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3044},{""page_index"":1,""viewing_time"":7839},{""page_index"":2,""viewing_time"":4285},{""page_index"":3,""viewing_time"":15108},{""page_index"":4,""viewing_time"":36756}]","67032","instructions","1","72434","0.0-1.0","","","","","","","","","","","","",""
"","12730","survey-multi-choice","2","85167","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2781},{""page_index"":1,""viewing_time"":5052}]","7834","instructions","3","93001","0.0-3.0-0.0","","","","","","","","","","","","",""
"","1906","same-different-html-trial","4","100922","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7950}]","7950","instructions","5","109872","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7163","same-different-html","6","119042","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5228}]","5229","instructions","7","125273","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4340","same-different-html","8","131618","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":6115},{""page_index"":1,""viewing_time"":2272}]","8388","instructions","9","141007","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1850","same-different-html-trial","10","148866","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10216}]","10216","instructions","11","160084","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4136","same-different-html","12","166226","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3448","same-different-html","13","172683","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3759},{""page_index"":1,""viewing_time"":18416}]","22175","instructions","14","195859","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3478","same-different-html-trial","15","205345","0.0-3.0-12.0","","131-3","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","1"
"","1402","same-different-html-trial","16","213760","0.0-3.0-13.0","","131-3","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","2"
"","4816","same-different-html-trial","17","225586","0.0-3.0-14.0","","131-3","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","3"
"","10726","same-different-html-trial","18","243326","0.0-3.0-15.0","","131-3","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","4"
"","13927","same-different-html-trial","19","264266","0.0-3.0-16.0","","131-3","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","5"
"","1677","same-different-html-trial","20","272954","0.0-3.0-17.0","","131-3","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","6"
"","1885","same-different-html-trial","21","281850","0.0-3.0-18.0","","131-3","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","7"
"","1517","same-different-html-trial","22","290378","0.0-3.0-19.0","","131-3","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","8"
"","1238","same-different-html-trial","23","298627","0.0-3.0-20.0","","131-3","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","9"
"","3112","same-different-html-trial","24","308746","0.0-3.0-21.0","","131-3","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","10"
"","2437","same-different-html-trial","25","318193","0.0-3.0-22.0","","131-3","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","11"
"","1908","same-different-html-trial","26","327114","0.0-3.0-23.0","","131-3","""fat""","""debu.wav""","32","fat","SRI","","","","","","12"
"","2025","same-different-html-trial","27","336346","0.0-3.0-24.0","","131-3","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","13"
"","4806","same-different-html-trial","28","348162","0.0-3.0-25.0","","131-3","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","14"
"","1572","same-different-html-trial","29","356745","0.0-3.0-26.0","","131-3","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","15"
"","3278","same-different-html-trial","30","367034","0.0-3.0-27.0","","131-3","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","16"
"","3037","same-different-html-trial","31","377082","0.0-3.0-28.0","","131-3","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","17"
"","2428","same-different-html-trial","32","386522","0.0-3.0-29.0","","131-3","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","18"
"","2468","same-different-html-trial","33","396002","0.0-3.0-30.0","","131-3","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","19"
"","2695","same-different-html-trial","34","405706","0.0-3.0-31.0","","131-3","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","20"
"","2592","same-different-html-trial","35","415306","0.0-3.0-32.0","","131-3","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","21"
"","3286","same-different-html-trial","36","425603","0.0-3.0-33.0","","131-3","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","22"
"","3037","same-different-html-trial","37","435650","0.0-3.0-34.0","","131-3","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","23"
"","2046","same-different-html-trial","38","444705","0.0-3.0-35.0","","131-3","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","24"
"","1693","same-different-html-trial","39","453410","0.0-3.0-36.0","","131-3","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","25"
"","1636","same-different-html-trial","40","462058","0.0-3.0-37.0","","131-3","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","26"
"","2479","same-different-html-trial","41","471545","0.0-3.0-38.0","","131-3","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","27"
"","2462","same-different-html-trial","42","481018","0.0-3.0-39.0","","131-3","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","28"
"","1141","same-different-html-trial","43","489170","0.0-3.0-40.0","","131-3","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","29"
"","1261","same-different-html-trial","44","497442","0.0-3.0-41.0","","131-3","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","30"
"","3244","same-different-html-trial","45","507698","0.0-3.0-42.0","","131-3","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","31"
"","598","same-different-html-trial","46","515305","0.0-3.0-43.0","","131-3","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","32"
"","1760","same-different-html-trial","47","524075","0.0-3.0-44.0","","131-3","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","33"
"","1395","same-different-html-trial","48","532482","0.0-3.0-45.0","","131-3","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","34"
"","1334","same-different-html-trial","49","540826","0.0-3.0-46.0","","131-3","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","35"
"","1685","same-different-html-trial","50","549521","0.0-3.0-47.0","","131-3","""fat""","""debu.wav""","32","fat","SRI","","","","","","36"
"","3133","same-different-html-trial","51","559666","0.0-3.0-48.0","","131-3","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","37"
"","1246","same-different-html-trial","52","567922","0.0-3.0-49.0","","131-3","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","38"
"","1359","same-different-html-trial","53","576290","0.0-3.0-50.0","","131-3","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","39"
"","1732","same-different-html-trial","54","585033","0.0-3.0-51.0","","131-3","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","40"
