"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2620}]","2622","instructions","0","2629","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1537},{""page_index"":1,""viewing_time"":1262},{""page_index"":2,""viewing_time"":2498},{""page_index"":3,""viewing_time"":8206},{""page_index"":4,""viewing_time"":3066}]","16571","instructions","1","19203","0.0-1.0","","","","","","","","","","","","",""
"","15758","survey-multi-choice","2","34989","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1819},{""page_index"":1,""viewing_time"":6121}]","7940","instructions","3","42930","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2977","same-different-html-trial","4","51941","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2292}]","2294","instructions","5","55234","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5271","same-different-html","6","62516","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":2066}]","2066","instructions","7","65584","0.0-3.0-4.0","","","","","","","","","","","","",""
"","11435","same-different-html","8","79026","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":2535},{""page_index"":1,""viewing_time"":7041}]","9577","instructions","9","89602","0.0-3.0-6.0","","","","","","","","","","","","",""
"","4068","same-different-html-trial","10","99685","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2629}]","2631","instructions","11","103316","0.0-3.0-8.0","","","","","","","","","","","","",""
"","5220","same-different-html","12","110543","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","6365","same-different-html","13","119919","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":13135},{""page_index"":1,""viewing_time"":1504}]","14640","instructions","14","135561","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3658","same-different-html-trial","15","145234","0.0-3.0-12.0","","9597-3","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","1"
"","727","same-different-html-trial","16","152978","0.0-3.0-13.0","","9597-3","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","2"
"","9913","same-different-html-trial","17","169903","0.0-3.0-14.0","","9597-3","""rare""","""mare.wav""","32","rare","NAdj","","","","","","3"
"","1688","same-different-html-trial","18","178608","0.0-3.0-15.0","","9597-3","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","4"
"","1467","same-different-html-trial","19","188351","0.0-3.0-16.0","","9597-3","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","5"
"","1451","same-different-html-trial","20","196817","0.0-3.0-17.0","","9597-3","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","6"
"","667","same-different-html-trial","21","204499","0.0-3.0-18.0","","9597-3","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","7"
"","1606","same-different-html-trial","22","213127","0.0-3.0-19.0","","9597-3","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","8"
"","19333","same-different-html-trial","23","239474","0.0-3.0-20.0","","9597-3","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","9"
"","1751","same-different-html-trial","24","248239","0.0-3.0-21.0","","9597-3","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","10"
"","616","same-different-html-trial","25","255873","0.0-3.0-22.0","","9597-3","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","11"
"","1492","same-different-html-trial","26","264385","0.0-3.0-23.0","","9597-3","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","12"
"","804","same-different-html-trial","27","272208","0.0-3.0-24.0","","9597-3","""happy""","""uki.wav""","32","happy","SRI","","","","","","13"
"","506","same-different-html-trial","28","279728","0.0-3.0-25.0","","9597-3","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","14"
"","5322","same-different-html-trial","29","292063","0.0-3.0-26.0","","9597-3","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","15"
"","1114","same-different-html-trial","30","300193","0.0-3.0-27.0","","9597-3","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","16"
"","3118","same-different-html-trial","31","310336","0.0-3.0-28.0","","9597-3","""free""","""himahima.wav""","32","free","RNAdj","","","","","","17"
"","3770","same-different-html-trial","32","321120","0.0-3.0-29.0","","9597-3","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","18"
"","2669","same-different-html-trial","33","330802","0.0-3.0-30.0","","9597-3","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","19"
"","1880","same-different-html-trial","34","339711","0.0-3.0-31.0","","9597-3","""plump""","""potchari.wav""","32","plump","NRI","","","","","","20"
"","729","same-different-html-trial","35","347456","0.0-3.0-32.0","","9597-3","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","21"
"","2664","same-different-html-trial","36","357136","0.0-3.0-33.0","","9597-3","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","22"
"","1223","same-different-html-trial","37","365375","0.0-3.0-34.0","","9597-3","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","23"
"","2360","same-different-html-trial","38","374769","0.0-3.0-35.0","","9597-3","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","24"
"","2953","same-different-html-trial","39","384735","0.0-3.0-36.0","","9597-3","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","25"
"","1494","same-different-html-trial","40","393248","0.0-3.0-37.0","","9597-3","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","26"
"","618","same-different-html-trial","41","400882","0.0-3.0-38.0","","9597-3","""plump""","""potchari.wav""","32","plump","NRI","","","","","","27"
"","866","same-different-html-trial","42","408767","0.0-3.0-39.0","","9597-3","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","28"
"","1412","same-different-html-trial","43","417199","0.0-3.0-40.0","","9597-3","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","29"
"","1404","same-different-html-trial","44","425616","0.0-3.0-41.0","","9597-3","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","30"
"","1674","same-different-html-trial","45","434305","0.0-3.0-42.0","","9597-3","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","31"
