"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":203396}]","203397","instructions","0","203398","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1635},{""page_index"":1,""viewing_time"":3095},{""page_index"":2,""viewing_time"":4593},{""page_index"":3,""viewing_time"":14615},{""page_index"":4,""viewing_time"":53537}]","77476","instructions","1","280876","0.0-1.0","","","","","","","","","","","","",""
"","19435","survey-multi-choice","2","300316","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1442},{""page_index"":1,""viewing_time"":3356}]","4799","instructions","3","305116","0.0-3.0-0.0","","","","","","","","","","","","",""
"","10168","same-different-html-trial","4","321307","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":31141}]","31141","instructions","5","353449","0.0-3.0-2.0","","","","","","","","","","","","",""
"","26806","same-different-html","6","382263","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3181}]","3183","instructions","7","386448","0.0-3.0-4.0","","","","","","","","","","","","",""
"","6939","same-different-html","8","395392","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4135},{""page_index"":1,""viewing_time"":1865}]","6001","instructions","9","402393","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2044","same-different-html-trial","10","410441","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3749}]","3749","instructions","11","415190","0.0-3.0-8.0","","","","","","","","","","","","",""
"","6784","same-different-html","12","423982","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3843","same-different-html","13","430834","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1870},{""page_index"":1,""viewing_time"":21709}]","23580","instructions","14","455415","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2604","same-different-html-trial","15","464028","0.0-3.0-12.0","","5431-5","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","1"
"","6556","same-different-html-trial","16","477638","0.0-3.0-13.0","","5431-5","""messy""","""gocha.wav""","32","messy","SRI","","","","","","2"
"","6138","same-different-html-trial","17","490789","0.0-3.0-14.0","","5431-5","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","3"
"","4294","same-different-html-trial","18","502097","0.0-3.0-15.0","","5431-5","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","4"
"","4325","same-different-html-trial","19","513436","0.0-3.0-16.0","","5431-5","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","5"
"","5852","same-different-html-trial","20","526301","0.0-3.0-17.0","","5431-5","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","6"
"","4091","same-different-html-trial","21","537406","0.0-3.0-18.0","","5431-5","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","7"
"","4257","same-different-html-trial","22","548671","0.0-3.0-19.0","","5431-5","""fat""","""debudebu.wav""","32","fat","RI","","","","","","8"
"","1597","same-different-html-trial","23","557950","0.0-3.0-20.0","","5431-5","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","9"
"","1535","same-different-html-trial","24","566496","0.0-3.0-21.0","","5431-5","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","10"
"","654","same-different-html-trial","25","574164","0.0-3.0-22.0","","5431-5","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","11"
"","1434","same-different-html-trial","26","582614","0.0-3.0-23.0","","5431-5","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","12"
"","1615","same-different-html-trial","27","591247","0.0-3.0-24.0","","5431-5","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","13"
"","3406","same-different-html-trial","28","602755","0.0-3.0-25.0","","5431-5","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","14"
"","1311","same-different-html-trial","29","611075","0.0-3.0-26.0","","5431-5","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","15"
"","1069","same-different-html-trial","30","620425","0.0-3.0-27.0","","5431-5","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","16"
"","13041","same-different-html-trial","31","642394","0.0-3.0-28.0","","5431-5","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","17"
"","1959","same-different-html-trial","32","651363","0.0-3.0-29.0","","5431-5","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","18"
"","203","same-different-html-trial","33","661798","0.0-3.0-30.0","","5431-5","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","19"
"","2195","same-different-html-trial","34","671004","0.0-3.0-31.0","","5431-5","""offended""","""kachin.wav""","32","offended","NRI","","","","","","20"
"","8128","same-different-html-trial","35","689477","0.0-3.0-32.0","","5431-5","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","21"
"","1173","same-different-html-trial","36","697663","0.0-3.0-33.0","","5431-5","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","22"
"","3511","same-different-html-trial","37","709863","0.0-3.0-34.0","","5431-5","""rude""","""zuke.wav""","32","rude","SRI","","","","","","23"
"","3262","same-different-html-trial","38","720629","0.0-3.0-35.0","","5431-5","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","24"
"","486","same-different-html-trial","39","728125","0.0-3.0-36.0","","5431-5","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","25"
"","2405","same-different-html-trial","40","737761","0.0-3.0-37.0","","5431-5","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","26"
"","591","same-different-html-trial","41","746717","0.0-3.0-38.0","","5431-5","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","27"
"","465","same-different-html-trial","42","756820","0.0-3.0-39.0","","5431-5","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","28"
"","1337","same-different-html-trial","43","765171","0.0-3.0-40.0","","5431-5","""rude""","""zuke.wav""","32","rude","SRI","","","","","","29"
"","1314","same-different-html-trial","44","773495","0.0-3.0-41.0","","5431-5","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","30"
"","9030","same-different-html-trial","45","791398","0.0-3.0-42.0","","5431-5","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","31"
"","258","same-different-html-trial","46","798990","0.0-3.0-43.0","","5431-5","""messy""","""gocha.wav""","32","messy","SRI","","","","","","32"
"","1230","same-different-html-trial","47","807231","0.0-3.0-44.0","","5431-5","""fat""","""debudebu.wav""","32","fat","RI","","","","","","33"
"","5284","same-different-html-trial","48","819526","0.0-3.0-45.0","","5431-5","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","34"
"","472","same-different-html-trial","49","827013","0.0-3.0-46.0","","5431-5","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","35"
