"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2426}]","2427","instructions","0","2428","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1605},{""page_index"":1,""viewing_time"":8602},{""page_index"":2,""viewing_time"":1705},{""page_index"":3,""viewing_time"":5284},{""page_index"":4,""viewing_time"":7513}]","24710","instructions","1","27138","0.0-1.0","","","","","","","","","","","","",""
"","27474","survey-multi-choice","2","54618","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1720},{""page_index"":1,""viewing_time"":1685}]","3405","instructions","3","58023","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3010","same-different-html-trial","4","67045","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8897}]","8897","instructions","5","76944","0.0-3.0-2.0","","","","","","","","","","","","",""
"","11565","same-different-html","6","90511","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":2657}]","2657","instructions","7","94169","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3032","same-different-html","8","99206","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2764},{""page_index"":1,""viewing_time"":1802}]","4566","instructions","9","104772","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2096","same-different-html-trial","10","112876","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4282}]","4282","instructions","11","118158","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3452","same-different-html","12","123615","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1192","same-different-html","13","127812","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":1722},{""page_index"":1,""viewing_time"":6468}]","8192","instructions","14","137006","0.0-3.0-11.0","","","","","","","","","","","","",""
"","601","same-different-html-trial","15","143613","0.0-3.0-12.0","","2466-10","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","1"
"","598","same-different-html-trial","16","151219","0.0-3.0-13.0","","2466-10","""tasteless""","""yaboyabo.wav""","32","tasteless","RNAdj","","","","","","2"
"","289","same-different-html-trial","17","158517","0.0-3.0-14.0","","2466-10","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","3"
"","244","same-different-html-trial","18","165766","0.0-3.0-15.0","","2466-10","""sudden""","""pata.wav""","32","sudden","NRI","","","","","","4"
"","254","same-different-html-trial","19","173029","0.0-3.0-16.0","","2466-10","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","5"
"","395","same-different-html-trial","20","180427","0.0-3.0-17.0","","2466-10","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","6"
"","2532","same-different-html-trial","21","189964","0.0-3.0-18.0","","2466-10","""useless""","""dame.wav""","32","useless","NAdj","","","","","","7"
"","412","same-different-html-trial","22","197379","0.0-3.0-19.0","","2466-10","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","8"
"","1493","same-different-html-trial","23","205876","0.0-3.0-20.0","","2466-10","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","9"
"","279","same-different-html-trial","24","213163","0.0-3.0-21.0","","2466-10","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","10"
"","2185","same-different-html-trial","25","223181","0.0-3.0-22.0","","2466-10","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","11"
"","1098","same-different-html-trial","26","231283","0.0-3.0-23.0","","2466-10","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","12"
"","656","same-different-html-trial","27","238948","0.0-3.0-24.0","","2466-10","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","13"
"","1180","same-different-html-trial","28","247132","0.0-3.0-25.0","","2466-10","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","14"
"","6121","same-different-html-trial","29","260259","0.0-3.0-26.0","","2466-10","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","15"
"","419","same-different-html-trial","30","267683","0.0-3.0-27.0","","2466-10","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","16"
"","321","same-different-html-trial","31","275011","0.0-3.0-28.0","","2466-10","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","17"
"","386","same-different-html-trial","32","282403","0.0-3.0-29.0","","2466-10","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","18"
"","3729","same-different-html-trial","33","293139","0.0-3.0-30.0","","2466-10","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","19"
"","362","same-different-html-trial","34","300507","0.0-3.0-31.0","","2466-10","""offended""","""kachin.wav""","32","offended","NRI","","","","","","20"
"","787","same-different-html-trial","35","308301","0.0-3.0-32.0","","2466-10","""fat""","""debu.wav""","32","fat","SRI","","","","","","21"
"","328","same-different-html-trial","36","315636","0.0-3.0-33.0","","2466-10","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","22"
"","266","same-different-html-trial","37","322909","0.0-3.0-34.0","","2466-10","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","23"
"","374","same-different-html-trial","38","330291","0.0-3.0-35.0","","2466-10","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","24"
"","350","same-different-html-trial","39","337645","0.0-3.0-36.0","","2466-10","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","25"
