"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":13738}]","13738","instructions","0","13739","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1433},{""page_index"":1,""viewing_time"":1651},{""page_index"":2,""viewing_time"":2651},{""page_index"":3,""viewing_time"":1496},{""page_index"":4,""viewing_time"":13446}]","20677","instructions","1","34417","0.0-1.0","","","","","","","","","","","","",""
"","8048","survey-multi-choice","2","42470","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1196},{""page_index"":1,""viewing_time"":1563}]","2759","instructions","3","45231","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2235","same-different-html-trial","4","53472","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1544}]","1544","instructions","5","56017","0.0-3.0-2.0","","","","","","","","","","","","",""
"","15268","same-different-html","6","73288","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":6231}]","6231","instructions","7","80519","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3302","same-different-html","8","85824","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2326},{""page_index"":1,""viewing_time"":976}]","3302","instructions","9","90127","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2078","same-different-html-trial","10","98208","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1205}]","1205","instructions","11","100413","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4713","same-different-html","12","107128","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3437","same-different-html","13","113568","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1499},{""page_index"":1,""viewing_time"":1019}]","2518","instructions","14","117088","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1320","same-different-html-trial","15","124409","0.0-3.0-12.0","","9597-8","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","1"
"","1028","same-different-html-trial","16","132440","0.0-3.0-13.0","","9597-8","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","2"
"","4109","same-different-html-trial","17","143551","0.0-3.0-14.0","","9597-8","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","3"
"","892","same-different-html-trial","18","151449","0.0-3.0-15.0","","9597-8","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","4"
"","964","same-different-html-trial","19","159416","0.0-3.0-16.0","","9597-8","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","5"
"","2370","same-different-html-trial","20","168791","0.0-3.0-17.0","","9597-8","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","6"
"","3998","same-different-html-trial","21","179793","0.0-3.0-18.0","","9597-8","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","7"
"","1260","same-different-html-trial","22","188055","0.0-3.0-19.0","","9597-8","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","8"
"","753","same-different-html-trial","23","195815","0.0-3.0-20.0","","9597-8","""happy""","""uki.wav""","32","happy","SRI","","","","","","9"
"","1797","same-different-html-trial","24","204615","0.0-3.0-21.0","","9597-8","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","10"
"","4988","same-different-html-trial","25","216607","0.0-3.0-22.0","","9597-8","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","11"
"","2022","same-different-html-trial","26","225631","0.0-3.0-23.0","","9597-8","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","12"
"","9614","same-different-html-trial","27","242247","0.0-3.0-24.0","","9597-8","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","13"
"","2358","same-different-html-trial","28","251607","0.0-3.0-25.0","","9597-8","""free""","""himahima.wav""","32","free","RNAdj","","","","","","14"
"","798","same-different-html-trial","29","259408","0.0-3.0-26.0","","9597-8","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","15"
"","4741","same-different-html-trial","30","271152","0.0-3.0-27.0","","9597-8","""rare""","""mare.wav""","32","rare","NAdj","","","","","","16"
"","6975","same-different-html-trial","31","285135","0.0-3.0-28.0","","9597-8","""plump""","""potchari.wav""","32","plump","NRI","","","","","","17"
"","15684","same-different-html-trial","32","307823","0.0-3.0-29.0","","9597-8","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","18"
"","1133","same-different-html-trial","33","315959","0.0-3.0-30.0","","9597-8","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","19"
"","1429","same-different-html-trial","34","324391","0.0-3.0-31.0","","9597-8","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","20"
"","8808","same-different-html-trial","35","340199","0.0-3.0-32.0","","9597-8","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","21"
"","3310","same-different-html-trial","36","350511","0.0-3.0-33.0","","9597-8","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","22"
"","503","same-different-html-trial","37","358016","0.0-3.0-34.0","","9597-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","23"
"","1374","same-different-html-trial","38","366391","0.0-3.0-35.0","","9597-8","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","24"
"","4292","same-different-html-trial","39","377687","0.0-3.0-36.0","","9597-8","""rare""","""mare.wav""","32","rare","NAdj","","","","","","25"
"","853","same-different-html-trial","40","385543","0.0-3.0-37.0","","9597-8","""chubby""","""buku.wav""","32","chubby","SRI","","","","","","26"
"","1213","same-different-html-trial","41","393759","0.0-3.0-38.0","","9597-8","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","27"
"","2229","same-different-html-trial","42","402991","0.0-3.0-39.0","","9597-8","""free""","""himahima.wav""","32","free","RNAdj","","","","","","28"
