"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2837}]","2840","instructions","0","2850","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":855},{""page_index"":1,""viewing_time"":855},{""page_index"":2,""viewing_time"":1016},{""page_index"":3,""viewing_time"":828},{""page_index"":4,""viewing_time"":2116}]","5673","instructions","1","8528","0.0-1.0","","","","","","","","","","","","",""
"","17270","survey-multi-choice","2","25840","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1663},{""page_index"":1,""viewing_time"":7467}]","9131","instructions","3","34972","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3717","same-different-html-trial","4","44822","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4982}]","4984","instructions","5","50808","0.0-3.0-2.0","","","","","","","","","","","","",""
"","10107","same-different-html","6","62938","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":1789}]","1794","instructions","7","65737","0.0-3.0-4.0","","","","","","","","","","","","",""
"","6764","same-different-html","8","74532","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2010},{""page_index"":1,""viewing_time"":2834}]","4845","instructions","9","80382","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2012","same-different-html-trial","10","88462","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1401}]","1401","instructions","11","90865","0.0-3.0-8.0","","","","","","","","","","","","",""
"","5406","same-different-html","12","98296","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3228","same-different-html","13","104558","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1426},{""page_index"":1,""viewing_time"":14690}]","16118","instructions","14","121679","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2190","same-different-html-trial","15","129926","0.0-3.0-12.0","","3136-10","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","1"
"","324","same-different-html-trial","16","137307","0.0-3.0-13.0","","3136-10","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","2"
"","1790","same-different-html-trial","17","146167","0.0-3.0-14.0","","3136-10","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","3"
"","3337","same-different-html-trial","18","156532","0.0-3.0-15.0","","3136-10","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","4"
"","2127","same-different-html-trial","19","165731","0.0-3.0-16.0","","3136-10","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","5"
"","988","same-different-html-trial","20","173788","0.0-3.0-17.0","","3136-10","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","6"
"","1634","same-different-html-trial","21","182495","0.0-3.0-18.0","","3136-10","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","7"
"","617","same-different-html-trial","22","190188","0.0-3.0-19.0","","3136-10","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","8"
"","3190","same-different-html-trial","23","200438","0.0-3.0-20.0","","3136-10","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","9"
"","731","same-different-html-trial","24","208245","0.0-3.0-21.0","","3136-10","""messy""","""gocha.wav""","32","messy","SRI","","","","","","10"
"","6746","same-different-html-trial","25","222054","0.0-3.0-22.0","","3136-10","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","11"
"","3330","same-different-html-trial","26","232455","0.0-3.0-23.0","","3136-10","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","12"
"","2783","same-different-html-trial","27","242312","0.0-3.0-24.0","","3136-10","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","13"
"","4561","same-different-html-trial","28","253943","0.0-3.0-25.0","","3136-10","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","14"
"","6644","same-different-html-trial","29","267658","0.0-3.0-26.0","","3136-10","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","15"
"","1889","same-different-html-trial","30","276615","0.0-3.0-27.0","","3136-10","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","16"
"","9159","same-different-html-trial","31","292827","0.0-3.0-28.0","","3136-10","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","17"
"","5447","same-different-html-trial","32","305346","0.0-3.0-29.0","","3136-10","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","18"
"","426","same-different-html-trial","33","312847","0.0-3.0-30.0","","3136-10","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","19"
"","1108","same-different-html-trial","34","321025","0.0-3.0-31.0","","3136-10","""rare""","""mare.wav""","32","rare","NAdj","","","","","","20"
"","1244","same-different-html-trial","35","329311","0.0-3.0-32.0","","3136-10","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","21"
"","2033","same-different-html-trial","36","338414","0.0-3.0-33.0","","3136-10","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","22"
"","1081","same-different-html-trial","37","346573","0.0-3.0-34.0","","3136-10","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","23"
"","1296","same-different-html-trial","38","354934","0.0-3.0-35.0","","3136-10","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","24"
"","2241","same-different-html-trial","39","364242","0.0-3.0-36.0","","3136-10","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","25"
"","2907","same-different-html-trial","40","374220","0.0-3.0-37.0","","3136-10","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","26"
"","3794","same-different-html-trial","41","385072","0.0-3.0-38.0","","3136-10","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","27"
"","3748","same-different-html-trial","42","395881","0.0-3.0-39.0","","3136-10","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","28"
"","3902","same-different-html-trial","43","406853","0.0-3.0-40.0","","3136-10","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","29"
"","648","same-different-html-trial","44","414559","0.0-3.0-41.0","","3136-10","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","30"
"","312","same-different-html-trial","45","421932","0.0-3.0-42.0","","3136-10","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","31"
"","992","same-different-html-trial","46","429978","0.0-3.0-43.0","","3136-10","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","32"
"","1129","same-different-html-trial","47","438186","0.0-3.0-44.0","","3136-10","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","33"
"","298","same-different-html-trial","48","445548","0.0-3.0-45.0","","3136-10","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","34"
"","3494","same-different-html-trial","49","456104","0.0-3.0-46.0","","3136-10","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","35"
"","1102","same-different-html-trial","50","464263","0.0-3.0-47.0","","3136-10","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","36"
"","1848","same-different-html-trial","51","473187","0.0-3.0-48.0","","3136-10","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","37"
"","334","same-different-html-trial","52","480584","0.0-3.0-49.0","","3136-10","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","38"
"","81","same-different-html-trial","53","487734","0.0-3.0-50.0","","3136-10","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","39"
"","1331","same-different-html-trial","54","496136","0.0-3.0-51.0","","3136-10","""rare""","""mare.wav""","32","rare","NAdj","","","","","","40"
"","643","same-different-html-trial","55","503845","0.0-3.0-52.0","","3136-10","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","41"
"","525","same-different-html-trial","56","511432","0.0-3.0-53.0","","3136-10","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","42"
"","3554","same-different-html-trial","57","522048","0.0-3.0-54.0","","3136-10","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","43"
"","3631","same-different-html-trial","58","532738","0.0-3.0-55.0","","3136-10","""messy""","""gocha.wav""","32","messy","SRI","","","","","","44"
"","350","same-different-html-trial","59","540156","0.0-3.0-56.0","","3136-10","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","45"
"","966","same-different-html-trial","60","548194","0.0-3.0-57.0","","3136-10","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","46"
"","1930","same-different-html-trial","61","557181","0.0-3.0-58.0","","3136-10","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","47"
"","749","same-different-html-trial","62","564980","0.0-3.0-59.0","","3136-10","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","48"
"[{""page_index"":0,""viewing_time"":3202}]","3204","instructions","63","569185","0.0-3.0-60.0","","","","","","","","","","","","",""
"","1734","same-different-html","64","572948","0.0-3.0-61.0","","3136-10","""smooth""","""bassari.wav""","90","resolute","NRI","different","1","D","smooth","Y","1"
"","2536","same-different-html","65","578510","0.0-3.0-62.0","","3136-10","""smooth""","""nopperi.wav""","191","smooth","NRI","same","1","T","smooth","Y","2"
"","2109","same-different-html","66","583657","0.0-3.0-63.0","","3136-10","""careful""","""hisohiso.wav""","90","whispering","RI","different","1","D","careful","Y","3"
"","1691","same-different-html","67","588377","0.0-3.0-64.0","","3136-10","""glossy""","""gocha.wav""","90","messy","SRI","different","1","D","glossy","Y","4"
"","2081","same-different-html","68","593502","0.0-3.0-65.0","","3136-10","""stupid""","""pokapoka.wav""","191","gaping","RNRI","different","0","D","stupid","Y","5"
"","1858","same-different-html","69","598417","0.0-3.0-66.0","","3136-10","""nonchalantly""","""zatsuzatsu.wav""","90","sloppy","RNAdj","different","1","D","nonchalantly","Y","6"
"","2217","same-different-html","70","603671","0.0-3.0-67.0","","3136-10","""excessive""","""zoku.wav""","191","vulgar","NAdj","different","0","D","excessive","Y","7"
"","2192","same-different-html","71","608894","0.0-3.0-68.0","","3136-10","""careful""","""jikkuri.wav""","191","careful","NRI","same","1","T","careful","Y","8"
"","1501","same-different-html","72","613421","0.0-3.0-69.0","","3136-10","""glossy""","""tsuyatsuya.wav""","191","glossy","RI","same","1","T","glossy","Y","9"
"","1787","same-different-html","73","618252","0.0-3.0-70.0","","3136-10","""messy""","""fubifubi.wav""","191","deficient","RNAdj","different","0","D","messy","Y","10"
"","1736","same-different-html","74","623019","0.0-3.0-71.0","","3136-10","""resolute""","""bassari.wav""","191","resolute","NRI","same","1","T","resolute","Y","11"
