"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7353}]","7353","instructions","0","7355","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1726},{""page_index"":1,""viewing_time"":2172},{""page_index"":2,""viewing_time"":2900},{""page_index"":3,""viewing_time"":8340},{""page_index"":4,""viewing_time"":41929}]","57068","instructions","1","64425","0.0-1.0","","","","","","","","","","","","",""
"","10201","survey-multi-choice","2","74633","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1482},{""page_index"":1,""viewing_time"":3189}]","4671","instructions","3","79304","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2591","same-different-html-trial","4","87923","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4834}]","4834","instructions","5","93758","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7240","same-different-html","6","103016","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2689}]","2689","instructions","7","106706","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3211","same-different-html","8","111926","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2955},{""page_index"":1,""viewing_time"":2221}]","5176","instructions","9","118104","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1555","same-different-html-trial","10","125674","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2693}]","2693","instructions","11","129369","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3192","same-different-html","12","134571","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2807","same-different-html","13","140387","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2586},{""page_index"":1,""viewing_time"":15105}]","17691","instructions","14","159080","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1410","same-different-html-trial","15","166501","0.0-3.0-12.0","","539-5","""comfortable""","""rakuraku.wav""","32","comfortable","RNAdj","","","","","","1"
"","7223","same-different-html-trial","16","180739","0.0-3.0-13.0","","539-5","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","2"
"","1366","same-different-html-trial","17","189121","0.0-3.0-14.0","","539-5","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","3"
"","1195","same-different-html-trial","18","197334","0.0-3.0-15.0","","539-5","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","4"
"","540","same-different-html-trial","19","204887","0.0-3.0-16.0","","539-5","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","5"
"","1949","same-different-html-trial","20","213851","0.0-3.0-17.0","","539-5","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","6"
"","349","same-different-html-trial","21","221210","0.0-3.0-18.0","","539-5","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","7"
"","1346","same-different-html-trial","22","229573","0.0-3.0-19.0","","539-5","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","8"
"","1280","same-different-html-trial","23","237871","0.0-3.0-20.0","","539-5","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","9"
"","555","same-different-html-trial","24","245443","0.0-3.0-21.0","","539-5","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","10"
"","1793","same-different-html-trial","25","254251","0.0-3.0-22.0","","539-5","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","11"
"","1902","same-different-html-trial","26","263167","0.0-3.0-23.0","","539-5","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","12"
"","1854","same-different-html-trial","27","272037","0.0-3.0-24.0","","539-5","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","13"
"","1729","same-different-html-trial","28","280777","0.0-3.0-25.0","","539-5","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","14"
"","4043","same-different-html-trial","29","291834","0.0-3.0-26.0","","539-5","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","15"
"","1403","same-different-html-trial","30","300248","0.0-3.0-27.0","","539-5","""fat""","""debu.wav""","32","fat","SRI","","","","","","16"
"","3801","same-different-html-trial","31","311065","0.0-3.0-28.0","","539-5","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","17"
"","2275","same-different-html-trial","32","320354","0.0-3.0-29.0","","539-5","""happy""","""uki.wav""","32","happy","SRI","","","","","","18"
"","1272","same-different-html-trial","33","328640","0.0-3.0-30.0","","539-5","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","19"
"","1790","same-different-html-trial","34","338222","0.0-3.0-31.0","","539-5","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","20"
"","378","same-different-html-trial","35","345617","0.0-3.0-32.0","","539-5","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","21"
"","1670","same-different-html-trial","36","354302","0.0-3.0-33.0","","539-5","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","22"
