"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":110420}]","110421","instructions","0","110423","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1189},{""page_index"":1,""viewing_time"":116528},{""page_index"":2,""viewing_time"":1064},{""page_index"":3,""viewing_time"":3279},{""page_index"":4,""viewing_time"":1241}]","123301","instructions","1","233726","0.0-1.0","","","","","","","","","","","","",""
"","13861","survey-multi-choice","2","247590","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1039},{""page_index"":1,""viewing_time"":1361}]","2400","instructions","3","249990","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2182","same-different-html-trial","4","258190","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1983}]","1983","instructions","5","261173","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7834","same-different-html","6","271010","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4282}]","4282","instructions","7","276293","0.0-3.0-4.0","","","","","","","","","","","","",""
"","7189","same-different-html","8","285487","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":90302},{""page_index"":1,""viewing_time"":993}]","91295","instructions","9","377783","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1842","same-different-html-trial","10","385630","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":113869}]","113869","instructions","11","500500","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4121","same-different-html","12","506623","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1619","same-different-html","13","511246","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1764},{""page_index"":1,""viewing_time"":3600}]","5364","instructions","14","517612","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1325","same-different-html-trial","15","524943","0.0-3.0-12.0","","1598-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","1"
"","258","same-different-html-trial","16","532206","0.0-3.0-13.0","","1598-8","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","2"
"","787","same-different-html-trial","17","540000","0.0-3.0-14.0","","1598-8","""rude""","""zuke.wav""","32","rude","SRI","","","","","","3"
"","1695","same-different-html-trial","18","548703","0.0-3.0-15.0","","1598-8","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","4"
"","634","same-different-html-trial","19","556526","0.0-3.0-16.0","","1598-8","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","5"
"","337","same-different-html-trial","20","563871","0.0-3.0-17.0","","1598-8","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","6"
