"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":35960}]","35961","instructions","0","35964","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2575},{""page_index"":1,""viewing_time"":4673},{""page_index"":2,""viewing_time"":2567},{""page_index"":3,""viewing_time"":10440},{""page_index"":4,""viewing_time"":44951}]","65207","instructions","1","101173","0.0-1.0","","","","","","","","","","","","",""
"","14985","survey-multi-choice","2","116167","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3066},{""page_index"":1,""viewing_time"":9459}]","12526","instructions","3","128694","0.0-3.0-0.0","","","","","","","","","","","","",""
"","11784","same-different-html-trial","4","146558","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":26282}]","26283","instructions","5","173843","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5865","same-different-html","6","181716","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3118}]","3118","instructions","7","185834","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3451","same-different-html","8","191294","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":5227},{""page_index"":1,""viewing_time"":3558}]","8785","instructions","9","201080","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3411","same-different-html-trial","10","210509","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6581}]","6582","instructions","11","218093","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3273","same-different-html","12","223375","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2121","same-different-html","13","228505","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1827},{""page_index"":1,""viewing_time"":25466}]","27294","instructions","14","256799","0.0-3.0-11.0","","","","","","","","","","","","",""
