"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":11521}]","11523","instructions","0","11524","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2126},{""page_index"":1,""viewing_time"":4463},{""page_index"":2,""viewing_time"":2581},{""page_index"":3,""viewing_time"":8019},{""page_index"":4,""viewing_time"":11162}]","28351","instructions","1","39875","0.0-1.0","","","","","","","","","","","","",""
"","12811","survey-multi-choice","2","52690","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1817},{""page_index"":1,""viewing_time"":7558}]","9375","instructions","3","62065","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4370","same-different-html-trial","4","72451","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12108}]","12108","instructions","5","85561","0.0-3.0-2.0","","","","","","","","","","","","",""
"","6993","same-different-html","6","94559","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5233}]","5233","instructions","7","100793","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3408","same-different-html","8","106208","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4823},{""page_index"":1,""viewing_time"":1588}]","6411","instructions","9","113620","0.0-3.0-6.0","","","","","","","","","","","","",""
"","1976","same-different-html-trial","10","121608","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4121}]","4121","instructions","11","126730","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1256","same-different-html","12","129991","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1363","same-different-html","13","134360","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2589},{""page_index"":1,""viewing_time"":14182}]","16771","instructions","14","152133","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1522","same-different-html-trial","15","159663","0.0-3.0-12.0","","2269-2","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","1"
"","1326","same-different-html-trial","16","168007","0.0-3.0-13.0","","2269-2","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","2"
"","1037","same-different-html-trial","17","176055","0.0-3.0-14.0","","2269-2","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","3"
"","1886","same-different-html-trial","18","184952","0.0-3.0-15.0","","2269-2","""resolute""","""bassaribassari.wav""","32","resolute","RNRI","","","","","","4"
"","1228","same-different-html-trial","19","193191","0.0-3.0-16.0","","2269-2","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","5"
"","1389","same-different-html-trial","20","201591","0.0-3.0-17.0","","2269-2","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","6"
"","932","same-different-html-trial","21","209534","0.0-3.0-18.0","","2269-2","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","7"
"","1249","same-different-html-trial","22","217792","0.0-3.0-19.0","","2269-2","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","8"
"","1052","same-different-html-trial","23","225854","0.0-3.0-20.0","","2269-2","""useless""","""dame.wav""","32","useless","NAdj","","","","","","9"
"","1236","same-different-html-trial","24","234102","0.0-3.0-21.0","","2269-2","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","10"
"","1124","same-different-html-trial","25","242238","0.0-3.0-22.0","","2269-2","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","11"
"","1821","same-different-html-trial","26","251070","0.0-3.0-23.0","","2269-2","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","12"
"","1539","same-different-html-trial","27","259622","0.0-3.0-24.0","","2269-2","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","13"
"","1390","same-different-html-trial","28","268022","0.0-3.0-25.0","","2269-2","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","14"
"","1871","same-different-html-trial","29","276902","0.0-3.0-26.0","","2269-2","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","15"
"","1117","same-different-html-trial","30","285030","0.0-3.0-27.0","","2269-2","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","16"
"","1119","same-different-html-trial","31","293157","0.0-3.0-28.0","","2269-2","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","17"
