"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":31880}]","31881","instructions","0","31883","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3457},{""page_index"":1,""viewing_time"":5974},{""page_index"":2,""viewing_time"":9893},{""page_index"":3,""viewing_time"":8556},{""page_index"":4,""viewing_time"":51773}]","79653","instructions","1","111538","0.0-1.0","","","","","","","","","","","","",""
"","15829","survey-multi-choice","2","127382","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1777},{""page_index"":1,""viewing_time"":10248}]","12026","instructions","3","139409","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5624","same-different-html-trial","4","151054","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":14398}]","14399","instructions","5","166455","0.0-3.0-2.0","","","","","","","","","","","","",""
"","10256","same-different-html","6","178717","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3986}]","3987","instructions","7","183706","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3973","same-different-html","8","189684","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":5260},{""page_index"":1,""viewing_time"":6209}]","11469","instructions","9","202153","0.0-3.0-6.0","","","","","","","","","","","","",""
"","5512","same-different-html-trial","10","213677","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8540}]","8541","instructions","11","223219","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4788","same-different-html","12","230012","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3624","same-different-html","13","236642","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2349},{""page_index"":1,""viewing_time"":30163}]","32513","instructions","14","270158","0.0-3.0-11.0","","","","","","","","","","","","",""
"","11241","same-different-html-trial","15","287416","0.0-3.0-12.0","","3478-8","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","1"
"","9917","same-different-html-trial","16","304347","0.0-3.0-13.0","","3478-8","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","2"
"","9333","same-different-html-trial","17","320691","0.0-3.0-14.0","","3478-8","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","3"
"","7061","same-different-html-trial","18","334763","0.0-3.0-15.0","","3478-8","""whole""","""goso.wav""","32","whole","NRI","","","","","","4"
"","11045","same-different-html-trial","19","352818","0.0-3.0-16.0","","3478-8","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","5"
"","9204","same-different-html-trial","20","369034","0.0-3.0-17.0","","3478-8","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","6"
"","6444","same-different-html-trial","21","382491","0.0-3.0-18.0","","3478-8","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","7"
"","7502","same-different-html-trial","22","397004","0.0-3.0-19.0","","3478-8","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","8"
"","7986","same-different-html-trial","23","412003","0.0-3.0-20.0","","3478-8","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","9"
"","12212","same-different-html-trial","24","431228","0.0-3.0-21.0","","3478-8","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","10"
"","5190","same-different-html-trial","25","443429","0.0-3.0-22.0","","3478-8","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","11"
"","6131","same-different-html-trial","26","456572","0.0-3.0-23.0","","3478-8","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","12"
"","10045","same-different-html-trial","27","473627","0.0-3.0-24.0","","3478-8","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","13"
"","8715","same-different-html-trial","28","489356","0.0-3.0-25.0","","3478-8","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","14"
"","10564","same-different-html-trial","29","506931","0.0-3.0-26.0","","3478-8","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","15"
"","10553","same-different-html-trial","30","524500","0.0-3.0-27.0","","3478-8","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","16"
"","9788","same-different-html-trial","31","541299","0.0-3.0-28.0","","3478-8","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","17"
"","10813","same-different-html-trial","32","559123","0.0-3.0-29.0","","3478-8","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","18"
"","16639","same-different-html-trial","33","582772","0.0-3.0-30.0","","3478-8","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","19"
"","8166","same-different-html-trial","34","597949","0.0-3.0-31.0","","3478-8","""happy""","""uki.wav""","32","happy","SRI","","","","","","20"
"","10291","same-different-html-trial","35","615252","0.0-3.0-32.0","","3478-8","""useless""","""dame.wav""","32","useless","NAdj","","","","","","21"
