"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":17197}]","17198","instructions","0","17200","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2052},{""page_index"":1,""viewing_time"":3968},{""page_index"":2,""viewing_time"":1784},{""page_index"":3,""viewing_time"":8375},{""page_index"":4,""viewing_time"":73022}]","89201","instructions","1","106402","0.0-1.0","","","","","","","","","","","","",""
"","16091","survey-multi-choice","2","122500","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1894},{""page_index"":1,""viewing_time"":8255}]","10150","instructions","3","132650","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4281","same-different-html-trial","4","142955","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9315}]","9317","instructions","5","153274","0.0-3.0-2.0","","","","","","","","","","","","",""
"","9186","same-different-html","6","164468","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4476}]","4476","instructions","7","169945","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4317","same-different-html","8","176274","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4906},{""page_index"":1,""viewing_time"":3112}]","8018","instructions","9","185297","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3080","same-different-html-trial","10","194399","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7251}]","7252","instructions","11","202656","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3266","same-different-html","12","207930","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3025","same-different-html","13","213968","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1492},{""page_index"":1,""viewing_time"":32375}]","33867","instructions","14","248838","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3034","same-different-html-trial","15","257891","0.0-3.0-12.0","","8320-1","""messy""","""gocha.wav""","32","messy","SRI","","","","","","1"
"","2684","same-different-html-trial","16","267597","0.0-3.0-13.0","","8320-1","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","2"
"","2659","same-different-html-trial","17","277277","0.0-3.0-14.0","","8320-1","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","3"
"","2158","same-different-html-trial","18","286457","0.0-3.0-15.0","","8320-1","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","4"
"","2624","same-different-html-trial","19","296100","0.0-3.0-16.0","","8320-1","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","5"
"","2418","same-different-html-trial","20","305542","0.0-3.0-17.0","","8320-1","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","6"
"","2549","same-different-html-trial","21","315113","0.0-3.0-18.0","","8320-1","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","7"
"","2233","same-different-html-trial","22","324368","0.0-3.0-19.0","","8320-1","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","8"
"","2985","same-different-html-trial","23","334376","0.0-3.0-20.0","","8320-1","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","9"
"","2599","same-different-html-trial","24","343997","0.0-3.0-21.0","","8320-1","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","10"
"","2837","same-different-html-trial","25","353858","0.0-3.0-22.0","","8320-1","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","11"
"","3100","same-different-html-trial","26","363981","0.0-3.0-23.0","","8320-1","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","12"
"","2655","same-different-html-trial","27","373656","0.0-3.0-24.0","","8320-1","""resolute""","""bassaribassari.wav""","32","resolute","RNRI","","","","","","13"
"","1927","same-different-html-trial","28","382611","0.0-3.0-25.0","","8320-1","""free""","""hima.wav""","32","free","NAdj","","","","","","14"
"","2715","same-different-html-trial","29","392349","0.0-3.0-26.0","","8320-1","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","15"
"","2578","same-different-html-trial","30","401948","0.0-3.0-27.0","","8320-1","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","16"
"","2370","same-different-html-trial","31","411335","0.0-3.0-28.0","","8320-1","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","17"
"","2841","same-different-html-trial","32","421192","0.0-3.0-29.0","","8320-1","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","18"
"","2008","same-different-html-trial","33","430227","0.0-3.0-30.0","","8320-1","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","19"
"","2481","same-different-html-trial","34","439724","0.0-3.0-31.0","","8320-1","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","20"
"","2612","same-different-html-trial","35","449362","0.0-3.0-32.0","","8320-1","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","21"
"","2380","same-different-html-trial","36","458764","0.0-3.0-33.0","","8320-1","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","22"
"","3272","same-different-html-trial","37","469058","0.0-3.0-34.0","","8320-1","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","23"
"","3072","same-different-html-trial","38","479147","0.0-3.0-35.0","","8320-1","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","24"
"","2621","same-different-html-trial","39","488789","0.0-3.0-36.0","","8320-1","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","25"
"","2274","same-different-html-trial","40","498090","0.0-3.0-37.0","","8320-1","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","26"
"","2496","same-different-html-trial","41","507612","0.0-3.0-38.0","","8320-1","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","27"
"","2443","same-different-html-trial","42","517073","0.0-3.0-39.0","","8320-1","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","28"
"","2651","same-different-html-trial","43","526742","0.0-3.0-40.0","","8320-1","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","29"
"","2686","same-different-html-trial","44","536453","0.0-3.0-41.0","","8320-1","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","30"
"","2440","same-different-html-trial","45","545910","0.0-3.0-42.0","","8320-1","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","31"
"","2637","same-different-html-trial","46","555566","0.0-3.0-43.0","","8320-1","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","32"
"","2935","same-different-html-trial","47","565529","0.0-3.0-44.0","","8320-1","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","33"
"","2626","same-different-html-trial","48","575185","0.0-3.0-45.0","","8320-1","""resolute""","""bassaribassari.wav""","32","resolute","RNRI","","","","","","34"
"","2911","same-different-html-trial","49","585121","0.0-3.0-46.0","","8320-1","""free""","""hima.wav""","32","free","NAdj","","","","","","35"
"","3739","same-different-html-trial","50","595886","0.0-3.0-47.0","","8320-1","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","36"
"","2478","same-different-html-trial","51","605379","0.0-3.0-48.0","","8320-1","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","37"
"","3172","same-different-html-trial","52","615574","0.0-3.0-49.0","","8320-1","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","38"
"","4160","same-different-html-trial","53","626752","0.0-3.0-50.0","","8320-1","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","39"
"","2687","same-different-html-trial","54","636459","0.0-3.0-51.0","","8320-1","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","40"
"","2696","same-different-html-trial","55","646177","0.0-3.0-52.0","","8320-1","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","41"
"","2696","same-different-html-trial","56","655893","0.0-3.0-53.0","","8320-1","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","42"
"","2428","same-different-html-trial","57","665348","0.0-3.0-54.0","","8320-1","""fast asleep""","""gussuri.wav""","32","fast asleep","NRI","","","","","","43"
"","2509","same-different-html-trial","58","674882","0.0-3.0-55.0","","8320-1","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","44"
"","2816","same-different-html-trial","59","684723","0.0-3.0-56.0","","8320-1","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","45"
"","2556","same-different-html-trial","60","694302","0.0-3.0-57.0","","8320-1","""messy""","""gocha.wav""","32","messy","SRI","","","","","","46"
"","3329","same-different-html-trial","61","704649","0.0-3.0-58.0","","8320-1","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","47"
"","5017","same-different-html-trial","62","716692","0.0-3.0-59.0","","8320-1","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","48"
"[{""page_index"":0,""viewing_time"":35385}]","35385","instructions","63","753078","0.0-3.0-60.0","","","","","","","","","","","","",""
