"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":5654}]","5655","instructions","0","5656","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4019},{""page_index"":1,""viewing_time"":4091},{""page_index"":2,""viewing_time"":2692},{""page_index"":3,""viewing_time"":5598},{""page_index"":4,""viewing_time"":19680}]","36080","instructions","1","41736","0.0-1.0","","","","","","","","","","","","",""
"","11049","survey-multi-choice","2","52789","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2319},{""page_index"":1,""viewing_time"":6430}]","8749","instructions","3","61539","0.0-3.0-0.0","","","","","","","","","","","","",""
"","24707","same-different-html-trial","4","92256","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6746}]","6746","instructions","5","100004","0.0-3.0-2.0","","","","","","","","","","","","",""
"","18993","same-different-html","6","121003","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4507}]","4507","instructions","7","126511","0.0-3.0-4.0","","","","","","","","","","","","",""
"","7035","same-different-html","8","135553","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1670},{""page_index"":1,""viewing_time"":1149}]","2819","instructions","9","139374","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3044","same-different-html-trial","10","148425","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3999}]","3999","instructions","11","153427","0.0-3.0-8.0","","","","","","","","","","","","",""
"","6154","same-different-html","12","161585","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2480","same-different-html","13","167072","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1516},{""page_index"":1,""viewing_time"":7452}]","8968","instructions","14","177043","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2559","same-different-html-trial","15","185609","0.0-3.0-12.0","","2554-6","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","1"
"","1228","same-different-html-trial","16","193848","0.0-3.0-13.0","","2554-6","""plump""","""potchari.wav""","32","plump","NRI","","","","","","2"
"","5242","same-different-html-trial","17","206104","0.0-3.0-14.0","","2554-6","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","3"
"","6921","same-different-html-trial","18","220033","0.0-3.0-15.0","","2554-6","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","4"
"","981","same-different-html-trial","19","228024","0.0-3.0-16.0","","2554-6","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","5"
"","5726","same-different-html-trial","20","240761","0.0-3.0-17.0","","2554-6","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","6"
"","2885","same-different-html-trial","21","251321","0.0-3.0-18.0","","2554-6","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","7"
"","1445","same-different-html-trial","22","259776","0.0-3.0-19.0","","2554-6","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","8"
"","1616","same-different-html-trial","23","268401","0.0-3.0-20.0","","2554-6","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","9"
"","2529","same-different-html-trial","24","277937","0.0-3.0-21.0","","2554-6","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","10"
"","1466","same-different-html-trial","25","286408","0.0-3.0-22.0","","2554-6","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","11"
