"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":10815}]","10816","instructions","0","10819","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1747},{""page_index"":1,""viewing_time"":3399},{""page_index"":2,""viewing_time"":4774},{""page_index"":3,""viewing_time"":8461},{""page_index"":4,""viewing_time"":38681}]","57062","instructions","1","67882","0.0-1.0","","","","","","","","","","","","",""
"","14499","survey-multi-choice","2","82387","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1707},{""page_index"":1,""viewing_time"":5206}]","6913","instructions","3","89300","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3905","same-different-html-trial","4","99218","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3194}]","3194","instructions","5","103412","0.0-3.0-2.0","","","","","","","","","","","","",""
"","14954","same-different-html","6","120369","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":5090}]","5090","instructions","7","126460","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3399","same-different-html","8","131864","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":4336},{""page_index"":1,""viewing_time"":1748}]","6085","instructions","9","138949","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2450","same-different-html-trial","10","147406","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3686}]","3686","instructions","11","152093","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4497","same-different-html","12","158592","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2381","same-different-html","13","163979","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3064},{""page_index"":1,""viewing_time"":17640}]","20704","instructions","14","185685","0.0-3.0-11.0","","","","","","","","","","","","",""
"","4532","same-different-html-trial","15","196224","0.0-3.0-12.0","","9982-6","""pure""","""muku.wav""","32","pure","NAdj","","","","","","1"
"","4246","same-different-html-trial","16","207479","0.0-3.0-13.0","","9982-6","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","2"
"","1834","same-different-html-trial","17","216322","0.0-3.0-14.0","","9982-6","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","3"
"","2539","same-different-html-trial","18","225870","0.0-3.0-15.0","","9982-6","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","4"
