"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":644125}]","644126","instructions","0","644129","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":756},{""page_index"":1,""viewing_time"":808},{""page_index"":2,""viewing_time"":1231},{""page_index"":3,""viewing_time"":16849},{""page_index"":4,""viewing_time"":1991}]","21635","instructions","1","665766","0.0-1.0","","","","","","","","","","","","",""
"","39404","survey-multi-choice","2","705177","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2220},{""page_index"":1,""viewing_time"":975}]","3195","instructions","3","708373","0.0-3.0-0.0","","","","","","","","","","","","",""
"","141664","same-different-html-trial","4","858949","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1738}]","1738","instructions","5","861689","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4032","same-different-html","6","867734","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":2958}]","2958","instructions","7","871694","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3710","same-different-html","8","877409","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1604},{""page_index"":1,""viewing_time"":1048}]","2652","instructions","9","881063","0.0-3.0-6.0","","","","","","","","","","","","",""
"","166893","same-different-html-trial","10","1053966","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6422}]","6423","instructions","11","1061391","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4897","same-different-html","12","1068300","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3597","same-different-html","13","1074906","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":6163},{""page_index"":1,""viewing_time"":1143}]","7307","instructions","14","1083220","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1612","same-different-html-trial","15","1090842","0.0-3.0-12.0","","131-9","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","1"
"","796","same-different-html-trial","16","1098649","0.0-3.0-13.0","","131-9","""fat""","""debu.wav""","32","fat","SRI","","","","","","2"
"","933","same-different-html-trial","17","1106593","0.0-3.0-14.0","","131-9","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","3"
"","2505","same-different-html-trial","18","1116108","0.0-3.0-15.0","","131-9","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","4"
