"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":12835}]","12836","instructions","0","12838","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2134},{""page_index"":1,""viewing_time"":2642},{""page_index"":2,""viewing_time"":8103},{""page_index"":3,""viewing_time"":13021},{""page_index"":4,""viewing_time"":38200}]","64101","instructions","1","76939","0.0-1.0","","","","","","","","","","","","",""
"","14573","survey-multi-choice","2","91516","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1938},{""page_index"":1,""viewing_time"":6383}]","8322","instructions","3","99838","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4764","same-different-html-trial","4","110614","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10455}]","10455","instructions","5","122074","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4478","same-different-html","6","128560","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":1741}]","1741","instructions","7","131305","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3889","same-different-html","8","137200","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2938},{""page_index"":1,""viewing_time"":1496}]","4435","instructions","9","142637","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2652","same-different-html-trial","10","151302","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1743}]","1743","instructions","11","154045","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3822","same-different-html","12","159873","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1586","same-different-html","13","164471","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1595},{""page_index"":1,""viewing_time"":30909}]","32504","instructions","14","197976","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3105","same-different-html-trial","15","207096","0.0-3.0-12.0","","5336-2","""whole""","""gosogoso.wav""","32","whole","RNRI","","","","","","1"
"","4940","same-different-html-trial","16","219050","0.0-3.0-13.0","","5336-2","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","2"
"","5042","same-different-html-trial","17","231112","0.0-3.0-14.0","","5336-2","""hesitant""","""mojimoji.wav""","32","hesitant","RI","","","","","","3"
"","4951","same-different-html-trial","18","243082","0.0-3.0-15.0","","5336-2","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","4"
"","12348","same-different-html-trial","19","262450","0.0-3.0-16.0","","5336-2","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","5"
"","4381","same-different-html-trial","20","273850","0.0-3.0-17.0","","5336-2","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","6"
"","4367","same-different-html-trial","21","285237","0.0-3.0-18.0","","5336-2","""pure""","""mukumuku.wav""","32","pure","RNAdj","","","","","","7"
"","2198","same-different-html-trial","22","294454","0.0-3.0-19.0","","5336-2","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","8"
"","244","same-different-html-trial","23","301716","0.0-3.0-20.0","","5336-2","""rude""","""zuke.wav""","32","rude","SRI","","","","","","9"
"","806","same-different-html-trial","24","309538","0.0-3.0-21.0","","5336-2","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","10"
"","1510","same-different-html-trial","25","318067","0.0-3.0-22.0","","5336-2","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","11"
"","3387","same-different-html-trial","26","328475","0.0-3.0-23.0","","5336-2","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","12"
"","1728","same-different-html-trial","27","337219","0.0-3.0-24.0","","5336-2","""humid""","""mushi.wav""","32","humid","SRI","","","","","","13"
"","1802","same-different-html-trial","28","346036","0.0-3.0-25.0","","5336-2","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","14"
"","925","same-different-html-trial","29","353980","0.0-3.0-26.0","","5336-2","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","15"
"","1418","same-different-html-trial","30","362417","0.0-3.0-27.0","","5336-2","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","16"
"","1893","same-different-html-trial","31","371323","0.0-3.0-28.0","","5336-2","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","17"
"","4017","same-different-html-trial","32","382360","0.0-3.0-29.0","","5336-2","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","18"
"","1224","same-different-html-trial","33","390604","0.0-3.0-30.0","","5336-2","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","19"
"","3183","same-different-html-trial","34","400801","0.0-3.0-31.0","","5336-2","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","20"
"","4368","same-different-html-trial","35","412188","0.0-3.0-32.0","","5336-2","""fat""","""debudebu.wav""","32","fat","RI","","","","","","21"
"","1186","same-different-html-trial","36","420396","0.0-3.0-33.0","","5336-2","""crowded""","""bisshiribisshiri.wav""","32","crowded","RNRI","","","","","","22"
