"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":11248}]","11249","instructions","0","11252","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8303},{""page_index"":1,""viewing_time"":6413},{""page_index"":2,""viewing_time"":3195},{""page_index"":3,""viewing_time"":11437},{""page_index"":4,""viewing_time"":41799}]","71147","instructions","1","82400","0.0-1.0","","","","","","","","","","","","",""
"","16531","survey-multi-choice","2","98935","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1348},{""page_index"":1,""viewing_time"":8817}]","10165","instructions","3","109100","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3615","same-different-html-trial","4","118731","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11000}]","11000","instructions","5","130732","0.0-3.0-2.0","","","","","","","","","","","","",""
"","8555","same-different-html","6","141293","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2866}]","2866","instructions","7","145162","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2438","same-different-html","8","149606","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":5341},{""page_index"":1,""viewing_time"":2254}]","7596","instructions","9","158202","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2030","same-different-html-trial","10","166237","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4173}]","4173","instructions","11","171410","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1422","same-different-html","12","174836","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1779","same-different-html","13","179621","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2501},{""page_index"":1,""viewing_time"":12037}]","14539","instructions","14","195162","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3470","same-different-html-trial","15","204637","0.0-3.0-12.0","","6738-3","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","1"
"","5262","same-different-html-trial","16","216908","0.0-3.0-13.0","","6738-3","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","2"
"","3304","same-different-html-trial","17","227220","0.0-3.0-14.0","","6738-3","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","3"
"","3294","same-different-html-trial","18","237525","0.0-3.0-15.0","","6738-3","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","4"
"","1973","same-different-html-trial","19","246508","0.0-3.0-16.0","","6738-3","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","5"
"","1918","same-different-html-trial","20","255437","0.0-3.0-17.0","","6738-3","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","6"
"","2088","same-different-html-trial","21","264532","0.0-3.0-18.0","","6738-3","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","7"
"","1263","same-different-html-trial","22","272806","0.0-3.0-19.0","","6738-3","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","8"
"","1716","same-different-html-trial","23","281532","0.0-3.0-20.0","","6738-3","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","9"
"","1748","same-different-html-trial","24","290293","0.0-3.0-21.0","","6738-3","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","10"
"","2179","same-different-html-trial","25","299484","0.0-3.0-22.0","","6738-3","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","11"
"","1246","same-different-html-trial","26","307739","0.0-3.0-23.0","","6738-3","""messy""","""gocha.wav""","32","messy","SRI","","","","","","12"
"","1682","same-different-html-trial","27","316428","0.0-3.0-24.0","","6738-3","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","13"
"","2373","same-different-html-trial","28","325811","0.0-3.0-25.0","","6738-3","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","14"
"","1313","same-different-html-trial","29","334132","0.0-3.0-26.0","","6738-3","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","15"
"","1310","same-different-html-trial","30","342453","0.0-3.0-27.0","","6738-3","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","16"
"","1319","same-different-html-trial","31","350779","0.0-3.0-28.0","","6738-3","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","17"
"","2561","same-different-html-trial","32","360349","0.0-3.0-29.0","","6738-3","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","18"
"","2458","same-different-html-trial","33","369820","0.0-3.0-30.0","","6738-3","""plump""","""potchari.wav""","32","plump","NRI","","","","","","19"
"","2298","same-different-html-trial","34","379126","0.0-3.0-31.0","","6738-3","""free""","""hima.wav""","32","free","NAdj","","","","","","20"
"","1896","same-different-html-trial","35","388029","0.0-3.0-32.0","","6738-3","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","21"
"","1687","same-different-html-trial","36","396726","0.0-3.0-33.0","","6738-3","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","22"
"","3012","same-different-html-trial","37","406748","0.0-3.0-34.0","","6738-3","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","23"
"","1236","same-different-html-trial","38","414995","0.0-3.0-35.0","","6738-3","""pure""","""muku.wav""","32","pure","NAdj","","","","","","24"
"","1583","same-different-html-trial","39","423590","0.0-3.0-36.0","","6738-3","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","25"
"","1896","same-different-html-trial","40","432492","0.0-3.0-37.0","","6738-3","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","26"
"","1233","same-different-html-trial","41","440733","0.0-3.0-38.0","","6738-3","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","27"
"","2108","same-different-html-trial","42","449852","0.0-3.0-39.0","","6738-3","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","28"
"","3309","same-different-html-trial","43","460165","0.0-3.0-40.0","","6738-3","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","29"
"","3016","same-different-html-trial","44","470189","0.0-3.0-41.0","","6738-3","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","30"
"","3935","same-different-html-trial","45","481132","0.0-3.0-42.0","","6738-3","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","31"
"","2998","same-different-html-trial","46","491141","0.0-3.0-43.0","","6738-3","""dejected""","""gakugaku.wav""","32","dejected","RNRI","","","","","","32"
"","1830","same-different-html-trial","47","499980","0.0-3.0-44.0","","6738-3","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","33"
"","1345","same-different-html-trial","48","508332","0.0-3.0-45.0","","6738-3","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","34"
"","1646","same-different-html-trial","49","516988","0.0-3.0-46.0","","6738-3","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","35"
"","1254","same-different-html-trial","50","525251","0.0-3.0-47.0","","6738-3","""plump""","""potchari.wav""","32","plump","NRI","","","","","","36"
"","1039","same-different-html-trial","51","533300","0.0-3.0-48.0","","6738-3","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","37"
"","1769","same-different-html-trial","52","542076","0.0-3.0-49.0","","6738-3","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","38"
"","1287","same-different-html-trial","53","550372","0.0-3.0-50.0","","6738-3","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","39"
"","2097","same-different-html-trial","54","559477","0.0-3.0-51.0","","6738-3","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","40"
"","3206","same-different-html-trial","55","569692","0.0-3.0-52.0","","6738-3","""pure""","""muku.wav""","32","pure","NAdj","","","","","","41"
"","5631","same-different-html-trial","56","582334","0.0-3.0-53.0","","6738-3","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","42"
"","9669","same-different-html-trial","57","599012","0.0-3.0-54.0","","6738-3","""decisive""","""pishapisha.wav""","32","decisive","RNRI","","","","","","43"
"","1968","same-different-html-trial","58","607988","0.0-3.0-55.0","","6738-3","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","44"
